,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
0,BGH,20231125175532,$12.92,12/19/2023,9.76%,,10/10/2023,1.2672,Investment Managers,,
1,IGR,20231125175533,$4.51,12/19/2023,15.89%,,10/09/2023,0.72,Finance Companies,,
2,EC,20231125175535,$12.40,12/19/2023,11.96%,,3/08/2023,2.4837,Oil & Gas Production,,
3,FDUS,20231125175536,$19.63,12/19/2023,14.26%,,10/30/2023,2.8,Finance/Investors Services,,
4,MAIN,20231125175537,$41.17,12/19/2023,6.83%,,11/01/2023,2.82,Finance/Investors Services,,
5,MERC,20231125175539,$9.87,12/19/2023,3.04%,,11/02/2023,0.3,Paper,,
6,RPT^D,20231125175540,$52.00,12/19/2023,6.96%,,10/25/2023,3.625,N/A,,
7,SSIC,20231125175542,$9.54,12/19/2023,N/A,,11/25/2023,0.0, Medicinal Chemicals and Botanical Products ,,
8,VST,20231125175543,$34.81,12/19/2023,2.36%,,11/01/2023,0.824,Electric Utilities: Central,,
9,WHF,20231125175545,$12.31,12/19/2023,12.02%,,11/09/2023,1.48,Finance Companies,,
10,IGR,20231125175546,$4.51,12/19/2023,15.89%,,10/09/2023,0.72,Finance Companies,,
11,BGH,20231125175547,$12.92,12/19/2023,9.76%,,10/10/2023,1.2672,Investment Managers,,
12,MAIN,20231125175549,$41.17,12/19/2023,6.83%,,11/01/2023,2.82,Finance/Investors Services,,
13,EC,20231125175550,$12.40,12/19/2023,11.96%,,3/08/2023,2.4837,Oil & Gas Production,,
14,VST,20231125175552,$34.81,12/19/2023,2.36%,,11/01/2023,0.852,Electric Utilities: Central,,
15,UWMC,20231125175553,$5.58,12/19/2023,7.22%,,11/08/2023,0.4,Finance: Consumer Services,,
16,CNSWF,20231125175555,"$2,322.0013",12/19/2023,0.17%,,11/09/2023,4.0,N/A,,
17,ELME,20231125175557,$13.05,12/20/2023,5.5%,,10/26/2023,0.72,Real Estate Investment Trusts,,
18,KLIC,20231125175558,$50.16,12/20/2023,1.52%,,11/15/2023,0.76,Semiconductors,,
19,STX,20231125175559,$76.55,12/20/2023,3.66%,,10/26/2023,2.8,Electronic Components,,
20,TKC,20231125175601,$4.92,12/20/2023,1.59%,,8/09/2023,0.0953,Telecommunications Equipment,,
21,ELME,20231125175602,$13.05,12/20/2023,5.5%,,10/26/2023,0.72,Real Estate Investment Trusts,,
22,LUV,20231125175603,$24.71,12/20/2023,2.9%,,11/16/2023,0.72,Air Freight/Delivery Services,,
23,PAI,20231125175604,$11.51,12/20/2023,4.94%,,11/21/2023,0.582,"Trusts, Except Educational, Religious, and Charitable",,
24,MHF,20231125175606,$6.32,12/20/2023,3.95%,,11/14/2023,0.264,Finance/Investors Services,,
25,SBI,20231125175607,$7.49,12/20/2023,3.75%,,11/14/2023,0.372,Finance/Investors Services,,
26,MMU,20231125175609,$9.65,12/20/2023,4.6%,,11/14/2023,0.498,Investment Managers,,
27,HIO,20231125175610,$3.73,12/20/2023,11.36%,,11/14/2023,0.426,Finance/Investors Services,,
28,HIX,20231125175612,$4.55,12/20/2023,12.89%,,11/14/2023,0.588,Finance/Investors Services,,
29,TKC,20231125175613,$4.92,12/20/2023,1.59%,,8/09/2023,0.0953,Telecommunications Equipment,,
30,WEA,20231125175614,$10.60,12/20/2023,7.99%,,11/21/2023,0.84,"Trusts, Except Educational, Religious, and Charitable",,
31,EHI,20231125175616,$6.71,12/20/2023,11.93%,,11/14/2023,0.804,Investment Managers,,
32,WIA,20231125175617,$7.94,12/20/2023,7.58%,,11/21/2023,0.6,"Trusts, Except Educational, Religious, and Charitable",,
33,EMD,20231125175619,$8.51,12/20/2023,11.78%,,11/14/2023,1.014,Finance/Investors Services,,
34,SCD,20231125175621,$12.72,12/20/2023,10.5%,,11/14/2023,1.356,"Trusts, Except Educational, Religious, and Charitable",,
35,WIW,20231125175622,$8.47,12/20/2023,8.58%,,11/21/2023,0.726,Finance Companies,,
36,IGI,20231125175623,$16.28,12/20/2023,5.04%,,11/14/2023,0.834,Investment Managers,,
37,GDO,20231125175625,$11.79,12/20/2023,10.32%,,11/14/2023,1.224,Finance Companies,,
38,DMO,20231125175626,$10.76,12/20/2023,12.74%,,11/14/2023,1.44,"Trusts, Except Educational, Religious, and Charitable",,
39,HYI,20231125175628,$11.41,12/20/2023,9.94%,,11/14/2023,1.14,Investment Managers,,
40,BWG,20231125175629,$7.79,12/20/2023,12.29%,,11/14/2023,0.9877,Finance/Investors Services,,
41,BABA,20231125175631,$78.96,12/20/2023,N/A,,11/16/2023,1.0,Business Services,,
42,QSR,20231125175632,$70.37,12/20/2023,3.17%,,11/03/2023,2.2,Restaurants,,
43,WDI,20231125175633,$13.24,12/20/2023,12.67%,,11/14/2023,1.716,"Trusts, Except Educational, Religious, and Charitable",,
44,RSTRF,20231125175635,$67.5583,12/20/2023,3.2%,,11/03/2023,2.2,N/A,,
45,BABAF,20231125175636,$10.00,12/20/2023,N/A,,N/A,0.125,N/A,,
46,SDXAY,20231125175638,$22.15,12/20/2023,2.27%,,N/A,0.6656,N/A,,
47,SRLY,20231125175639,$25.00,12/20/2023,8%,,11/14/2023,0.0,N/A,,
48,ARCO,20231125175641,$11.47,12/21/2023,1.74%,,3/14/2023,0.16,Restaurants,,
