,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/04/2023,Cash,$0.22,09/07/2023,10/05/2023,11/06/2023,USD
1,07/05/2023,Cash,$0.22,06/06/2023,07/06/2023,08/07/2023,USD
2,04/05/2023,Cash,$0.22,03/08/2023,04/06/2023,05/01/2023,USD
3,01/04/2023,Cash,$0.22,12/05/2022,01/05/2023,02/06/2023,USD
4,10/05/2022,Cash,$0.195,09/09/2022,10/06/2022,11/07/2022,USD
5,07/06/2022,Cash,$0.195,06/08/2022,07/07/2022,08/01/2022,USD
6,04/06/2022,Cash,$0.195,03/08/2022,04/07/2022,05/02/2022,USD
7,01/05/2022,Cash,$0.195,12/15/2021,01/06/2022,02/07/2022,USD
8,10/06/2021,Cash,$0.19,09/08/2021,10/07/2021,11/01/2021,USD
9,06/30/2021,Cash,$0.19,06/08/2021,07/01/2021,08/02/2021,USD
10,03/31/2021,Cash,$0.19,03/09/2021,04/01/2021,05/03/2021,USD
11,01/06/2021,Cash,$0.19,12/16/2020,01/07/2021,02/01/2021,USD
12,09/30/2020,Cash,$0.185,09/08/2020,10/01/2020,11/02/2020,USD
13,07/01/2020,Cash,$0.185,06/17/2020,07/02/2020,08/03/2020,USD
14,04/01/2020,Cash,$0.185,03/04/2020,04/02/2020,05/04/2020,USD
15,12/31/2019,Cash,$0.185,12/19/2019,01/02/2020,02/03/2020,USD
16,10/02/2019,Cash,$0.18,09/06/2019,10/03/2019,11/04/2019,USD
17,07/03/2019,Cash,$0.18,06/06/2019,07/05/2019,08/05/2019,USD
18,04/03/2019,Cash,$0.18,03/07/2019,04/04/2019,05/06/2019,USD
19,01/02/2019,Cash,$0.18,12/19/2018,01/03/2019,02/04/2019,USD
20,10/03/2018,Cash,$0.175,09/07/2018,10/04/2018,11/05/2018,USD
21,07/03/2018,Cash,$0.175,06/07/2018,07/05/2018,08/06/2018,USD
22,04/04/2018,Cash,$0.175,03/06/2018,04/05/2018,05/07/2018,USD
23,01/03/2018,Cash,$0.175,12/13/2017,01/04/2018,02/05/2018,USD
24,10/04/2017,Cash,$0.17,09/06/2017,10/05/2017,11/06/2017,USD
25,07/03/2017,Cash,$0.17,06/07/2017,07/06/2017,08/07/2017,USD
26,04/04/2017,Cash,$0.17,03/07/2017,04/06/2017,05/01/2017,USD
27,01/03/2017,Cash,$0.17,12/13/2016,01/05/2017,02/06/2017,USD
28,10/04/2016,Cash,$0.165,09/07/2016,10/06/2016,11/07/2016,USD
29,07/05/2016,Cash,$0.165,06/08/2016,07/07/2016,08/01/2016,USD
30,04/05/2016,Cash,$0.165,03/08/2016,04/07/2016,05/02/2016,USD
31,01/05/2016,Cash,$0.165,12/08/2015,01/07/2016,02/01/2016,USD
32,09/29/2015,Cash,$0.16,09/02/2015,10/01/2015,11/02/2015,USD
33,06/30/2015,Cash,$0.16,06/02/2015,07/02/2015,08/03/2015,USD
