,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/11/2023,Cash,$1.29,09/28/2023,10/12/2023,11/15/2023,USD
1,07/12/2023,Cash,$1.12,05/15/2023,07/13/2023,08/15/2023,USD
2,04/12/2023,Cash,$1.12,03/23/2023,04/13/2023,05/15/2023,USD
3,01/11/2023,Cash,$1.12,12/16/2022,01/12/2023,02/15/2023,USD
4,01/09/2023,Cash,$1.12,12/16/2022,01/10/2023,02/15/2023,USD
5,10/12/2022,Cash,$1.12,09/22/2022,10/13/2022,11/15/2022,USD
6,07/13/2022,Cash,$0.97,05/13/2022,07/14/2022,08/15/2022,USD
7,04/13/2022,Cash,$0.97,03/17/2022,04/14/2022,05/13/2022,USD
8,01/12/2022,Cash,$0.97,N/A,01/13/2022,02/15/2022,USD
9,10/13/2021,Cash,$0.97,09/23/2021,10/14/2021,11/15/2021,USD
10,07/14/2021,Cash,$0.88,06/24/2021,07/15/2021,08/13/2021,USD
11,04/14/2021,Cash,$0.88,03/17/2021,04/15/2021,05/14/2021,USD
12,01/13/2021,Cash,$0.88,12/17/2020,01/14/2021,02/12/2021,USD
13,10/09/2020,Cash,$0.88,09/24/2020,10/13/2020,11/13/2020,USD
14,07/15/2020,Cash,$0.80,06/24/2020,07/16/2020,08/14/2020,USD
15,04/15/2020,Cash,$0.80,03/18/2020,04/16/2020,05/15/2020,USD
16,01/15/2020,Cash,$0.80,12/19/2019,01/16/2020,02/14/2020,USD
17,10/16/2019,Cash,$0.80,09/26/2019,10/17/2019,11/15/2019,USD
18,04/10/2019,Cash,$1.46,03/28/2019,04/11/2019,05/15/2019,USD
19,10/17/2018,Cash,$1.46,09/27/2018,10/18/2018,11/15/2018,USD
20,04/11/2018,Cash,$1.33,03/22/2018,04/12/2018,05/15/2018,USD
21,10/18/2017,Cash,$1.33,09/28/2017,10/19/2017,11/15/2017,USD
22,04/11/2017,Cash,$1.21,03/23/2017,04/13/2017,05/15/2017,USD
23,10/19/2016,Cash,$1.21,09/29/2016,10/21/2016,11/15/2016,USD
24,04/13/2016,Cash,$1.10,03/24/2016,04/15/2016,05/13/2016,USD
25,10/14/2015,Cash,$1.10,09/24/2015,10/16/2015,11/13/2015,USD
26,04/08/2015,Cash,$1.02,03/25/2015,04/10/2015,05/15/2015,USD
27,10/15/2014,Cash,$1.02,09/23/2014,10/17/2014,11/17/2014,USD
28,04/09/2014,Cash,$0.93,03/27/2014,04/11/2014,05/15/2014,USD
29,10/09/2013,Cash,$0.93,09/26/2013,10/11/2013,11/15/2013,USD
30,04/10/2013,Cash,$0.81,03/27/2013,04/12/2013,05/15/2013,USD
31,10/10/2012,Cash,$0.81,09/27/2012,10/12/2012,11/15/2012,USD
32,04/11/2012,Cash,$0.675,03/22/2012,04/13/2012,05/15/2012,USD
33,10/12/2011,Cash,$0.675,09/27/2011,10/14/2011,11/15/2011,USD
34,04/13/2011,Cash,$0.45,03/24/2011,04/15/2011,05/13/2011,USD
35,10/13/2010,Cash,$0.45,09/30/2010,10/15/2010,11/15/2010,USD
36,04/14/2010,Cash,$0.375,03/25/2010,04/16/2010,05/14/2010,USD
37,10/14/2009,Cash,$0.75,10/01/2009,10/16/2009,11/16/2009,USD
38,10/08/2008,Cash,$0.50,09/25/2008,10/10/2008,11/17/2008,USD
39,10/08/2008,Cash,$0.50,09/25/2008,10/10/2008,11/17/2008,USD
40,10/10/2007,Cash,$0.42,09/27/2007,10/12/2007,11/15/2007,USD
41,10/11/2006,Cash,$0.35,N/A,10/13/2006,11/15/2006,USD
42,10/13/2005,Cash,$0.30,10/06/2005,10/17/2005,11/15/2005,USD
