,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,08/29/2023,Cash,$0.152754,08/17/2023,08/30/2023,09/27/2023,USD
1,08/23/2022,Cash,$0.109632,N/A,08/24/2022,09/21/2022,USD
2,06/02/2022,Cash,$0.096008,02/09/2022,06/03/2022,07/06/2022,USD
3,08/26/2021,Cash,$0.09346,08/17/2021,08/27/2021,09/17/2021,USD
4,06/07/2021,Cash,$0.072981,02/11/2021,06/08/2021,07/07/2021,USD
5,08/21/2020,Cash,$0.010657,08/13/2020,08/24/2020,09/18/2020,USD
6,08/23/2019,Cash,$0.166208,08/16/2019,08/26/2019,09/20/2019,USD
7,05/21/2019,Cash,$0.167475,02/15/2019,05/22/2019,06/21/2019,USD
8,08/24/2018,Cash,$0.16205,08/17/2018,08/27/2018,09/21/2018,USD
9,05/22/2018,Cash,$0.164507,02/16/2018,05/23/2018,06/22/2018,USD
10,08/17/2017,Cash,$0.152653,N/A,08/21/2017,09/15/2017,USD
11,05/23/2017,Cash,$0.137917,N/A,05/24/2017,06/23/2017,USD
12,05/22/2017,Cash,$0.146231,N/A,05/24/2017,06/23/2017,USD
13,08/18/2016,Cash,$0.147264,N/A,08/22/2016,09/16/2016,USD
14,05/23/2016,Cash,$0.145795,N/A,05/25/2016,06/24/2016,USD
15,08/20/2015,Cash,$0.134196,N/A,08/24/2015,09/18/2015,USD
16,05/21/2015,Cash,$0.133596,N/A,05/26/2015,06/19/2015,USD
17,08/21/2014,Cash,$0.146124,N/A,08/25/2014,09/19/2014,USD
18,05/22/2014,Cash,$0.150348,N/A,05/27/2014,06/20/2014,USD
19,08/15/2013,Cash,$0.145673,N/A,08/19/2013,09/13/2013,USD
20,05/17/2013,Cash,$0.14179,N/A,05/21/2013,06/14/2013,USD
21,08/16/2012,Cash,$0.12276,N/A,08/20/2012,09/14/2012,USD
22,05/18/2012,Cash,$0.107797,N/A,05/22/2012,06/15/2012,USD
23,08/08/2008,Cash,$0.45222,N/A,08/12/2008,09/15/2008,USD
24,04/25/2008,Cash,$0.504608,N/A,04/29/2008,05/23/2008,USD
25,08/10/2007,Cash,$0.4095,N/A,08/14/2007,09/14/2007,USD
26,04/26/2007,Cash,$0.421476,N/A,04/30/2007,05/23/2007,USD
27,08/14/2006,Cash,$0.3066,N/A,08/16/2006,09/21/2006,USD
28,04/26/2006,Cash,$0.285775,N/A,04/28/2006,05/16/2006,USD
29,08/15/2005,Cash,$0.274054,N/A,08/17/2005,09/23/2005,USD
30,04/25/2005,Cash,$0.274617,N/A,04/22/2005,05/17/2005,USD
31,08/16/2004,Cash,$0.256599,N/A,08/18/2004,09/24/2004,USD
32,04/21/2004,Cash,$0.23746,N/A,04/23/2004,05/18/2004,USD
33,08/11/2003,Cash,$0.22652,N/A,08/13/2003,09/19/2003,USD
34,08/12/2002,Cash,$0.359973,N/A,08/14/2002,09/20/2002,USD
35,04/17/2002,Cash,$0.408756,N/A,04/19/2002,05/14/2002,USD
36,08/13/2001,Cash,$0.330632,N/A,08/15/2001,09/14/2001,USD
37,05/01/2001,Cash,$0.392436,N/A,05/03/2001,05/25/2001,USD
38,08/14/2000,Cash,$0.27396,N/A,08/16/2000,09/15/2000,USD
39,04/27/2000,Cash,$0.617688,N/A,05/01/2000,05/30/2000,USD
40,08/16/1999,Cash,$0.538203,N/A,08/18/1999,09/17/1999,USD
41,04/28/1999,Cash,$0.623172,N/A,04/30/1999,05/26/1999,USD
42,08/17/1998,Cash,$0.460898,N/A,08/19/1998,09/18/1998,USD
43,05/15/1998,Cash,$1.1170212,N/A,05/19/1998,06/05/1998,USD
44,08/27/1997,Cash,$0.68163,N/A,08/29/1997,09/18/1997,USD
45,05/13/1997,Cash,$0.8471,N/A,05/15/1997,05/30/1997,USD
46,09/10/1996,Cash,$0.6954,N/A,09/12/1996,10/01/1996,USD
47,05/13/1996,Cash,$0.859,N/A,05/15/1996,06/05/1996,USD
48,09/13/1995,Cash,$0.3295,N/A,09/15/1995,10/04/1995,USD
49,05/03/1995,Cash,$1.8744,N/A,05/09/1995,06/02/1995,USD
