,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/20/2023,Cash,$0.30,09/19/2023,10/23/2023,10/31/2023,USD
1,07/20/2023,Cash,$0.25,06/20/2023,07/21/2023,07/31/2023,USD
2,04/19/2023,Cash,$0.25,04/12/2023,04/20/2023,04/28/2023,USD
3,01/19/2023,Cash,$0.25,12/14/2022,01/20/2023,01/31/2023,USD
4,10/20/2022,Cash,$0.25,09/08/2022,10/21/2022,10/31/2022,USD
5,07/20/2022,Cash,$0.25,06/21/2022,07/21/2022,07/29/2022,USD
6,04/20/2022,Cash,$0.25,04/08/2022,04/21/2022,04/29/2022,USD
7,01/20/2022,Cash,$0.25,12/14/2021,01/21/2022,01/31/2022,USD
8,10/20/2021,Cash,$0.25,09/09/2021,10/21/2021,10/29/2021,USD
9,07/21/2021,Cash,$0.25,06/24/2021,07/22/2021,07/30/2021,USD
10,04/21/2021,Cash,$0.25,04/14/2021,04/22/2021,04/30/2021,USD
11,12/18/2020,Cash,$0.25,12/10/2020,12/21/2020,12/29/2020,USD
12,12/18/2020,Cash,$1.00,12/10/2020,12/21/2020,12/29/2020,USD
13,10/21/2020,Cash,$0.25,09/30/2020,10/22/2020,10/30/2020,USD
14,07/22/2020,Cash,$0.25,06/24/2020,07/23/2020,07/31/2020,USD
15,07/22/2020,Cash,$1.00,06/24/2020,07/23/2020,07/31/2020,USD
16,04/21/2020,Cash,$0.25,04/09/2020,04/22/2020,04/30/2020,USD
17,01/22/2020,Cash,$0.25,12/12/2019,01/23/2020,01/31/2020,USD
18,10/22/2019,Cash,$0.25,09/12/2019,10/23/2019,10/31/2019,USD
19,07/22/2019,Cash,$0.25,06/21/2019,07/23/2019,07/31/2019,USD
20,04/18/2019,Cash,$0.25,04/11/2019,04/22/2019,04/30/2019,USD
21,01/23/2019,Cash,$0.25,12/14/2018,01/24/2019,01/31/2019,USD
22,10/23/2018,Cash,$0.25,09/13/2018,10/24/2018,10/31/2018,USD
23,07/23/2018,Cash,$0.25,06/26/2018,07/24/2018,07/31/2018,USD
24,04/20/2018,Cash,$0.25,04/10/2018,04/23/2018,04/30/2018,USD
25,10/19/2017,Cash,$1.00,09/14/2017,10/20/2017,10/31/2017,USD
26,10/19/2017,Cash,$1.00,09/14/2017,10/20/2017,10/31/2017,USD
27,10/14/2016,Cash,$0.30,09/15/2016,10/18/2016,10/28/2016,USD
28,10/14/2016,Cash,$0.70,09/15/2016,10/18/2016,10/28/2016,USD
29,10/13/2015,Cash,$0.70,09/18/2015,10/15/2015,11/05/2015,USD
30,10/10/2014,Cash,$0.70,09/18/2014,10/15/2014,11/06/2014,USD
31,10/10/2013,Cash,$0.75,09/19/2013,10/15/2013,11/07/2013,USD
32,10/09/2012,Cash,$0.60,09/20/2012,10/11/2012,11/07/2012,USD
33,10/27/2011,Cash,$0.50,10/17/2011,10/31/2011,11/15/2011,USD
