,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/23/2023,Cash,$0.24,10/05/2023,10/24/2023,11/08/2023,USD
1,07/11/2023,Cash,$0.24,06/22/2023,07/12/2023,07/27/2023,USD
2,05/08/2023,Cash,$0.24,04/19/2023,05/09/2023,05/24/2023,USD
3,01/30/2023,Cash,$0.24,01/11/2023,01/31/2023,02/15/2023,USD
4,10/24/2022,Cash,$0.22,10/06/2022,10/25/2022,11/09/2022,USD
5,07/11/2022,Cash,$0.22,06/23/2022,07/12/2022,07/27/2022,USD
6,05/09/2022,Cash,$0.22,04/21/2022,05/10/2022,05/25/2022,USD
7,01/28/2022,Cash,$0.22,01/12/2022,01/31/2022,02/15/2022,USD
8,10/25/2021,Cash,$0.20,10/07/2021,10/26/2021,11/10/2021,USD
9,07/13/2021,Cash,$0.20,06/24/2021,07/14/2021,07/29/2021,USD
10,05/07/2021,Cash,$0.20,04/21/2021,05/10/2021,05/25/2021,USD
11,01/29/2021,Cash,$0.20,01/13/2021,02/01/2021,02/16/2021,USD
12,10/23/2020,Cash,$0.1875,10/06/2020,10/26/2020,11/10/2020,USD
13,07/13/2020,Cash,$0.1875,06/25/2020,07/14/2020,07/29/2020,USD
14,05/13/2020,Cash,$0.1875,04/24/2020,05/14/2020,05/29/2020,USD
15,01/31/2020,Cash,$0.1875,01/15/2020,02/03/2020,02/18/2020,USD
16,10/18/2019,Cash,$0.175,10/01/2019,10/21/2019,11/05/2019,USD
17,07/15/2019,Cash,$0.175,06/25/2019,07/16/2019,07/31/2019,USD
18,05/15/2019,Cash,$0.175,04/26/2019,05/16/2019,05/31/2019,USD
19,02/04/2019,Cash,$0.175,01/16/2019,02/05/2019,02/20/2019,USD
20,10/22/2018,Cash,$0.1575,10/02/2018,10/23/2018,11/07/2018,USD
21,07/17/2018,Cash,$0.1575,06/28/2018,07/18/2018,08/02/2018,USD
22,05/15/2018,Cash,$0.1575,04/26/2018,05/16/2018,05/31/2018,USD
23,01/29/2018,Cash,$0.1575,01/09/2018,01/30/2018,02/14/2018,USD
