,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/29/2023,Cash,$0.1875,11/08/2023,11/30/2023,12/13/2023,USD
1,08/30/2023,Cash,$0.1875,08/08/2023,08/31/2023,09/12/2023,USD
2,05/30/2023,Cash,$0.1875,05/09/2023,05/31/2023,06/13/2023,USD
3,02/27/2023,Cash,$0.125,02/08/2023,02/28/2023,03/14/2023,USD
4,11/29/2022,Cash,$0.125,11/09/2022,11/30/2022,12/13/2022,USD
5,08/30/2022,Cash,$0.125,08/10/2022,08/31/2022,09/13/2022,USD
6,05/27/2022,Cash,$0.125,05/11/2022,05/31/2022,06/13/2022,USD
7,03/13/2020,Cash,$0.25,N/A,03/16/2020,N/A,USD
8,12/13/2019,Cash,$0.25,N/A,12/16/2019,01/07/2020,USD
9,09/20/2019,Cash,$0.25,N/A,09/23/2019,10/07/2019,USD
10,06/20/2019,Cash,$0.25,N/A,06/22/2019,07/08/2019,USD
11,03/14/2019,Cash,$0.25,N/A,03/15/2019,04/05/2019,USD
12,12/17/2018,Cash,$0.25,N/A,12/18/2018,01/03/2019,USD
13,09/27/2018,Cash,$0.25,N/A,09/28/2018,10/12/2018,USD
14,06/21/2018,Cash,$0.25,N/A,06/22/2018,07/06/2018,USD
15,03/16/2018,Cash,$0.25,03/06/2018,03/19/2018,04/04/2018,USD
16,12/18/2017,Cash,$0.25,N/A,12/19/2017,01/03/2018,USD
17,09/19/2017,Cash,$0.25,09/06/2017,09/20/2017,10/04/2017,USD
18,06/15/2017,Cash,$0.25,N/A,06/19/2017,07/05/2017,USD
19,03/15/2017,Cash,$0.25,N/A,03/17/2017,04/03/2017,USD
20,12/16/2016,Cash,$0.25,N/A,12/20/2016,01/03/2017,USD
21,09/19/2016,Cash,$0.25,09/07/2016,09/21/2016,10/05/2016,USD
22,06/14/2016,Cash,$0.25,06/02/2016,06/16/2016,07/01/2016,USD
23,03/16/2016,Cash,$0.25,03/01/2016,03/18/2016,04/04/2016,USD
24,12/16/2015,Cash,$0.25,12/07/2015,12/18/2015,01/04/2016,USD
25,09/16/2015,Cash,$0.25,09/03/2015,09/18/2015,10/02/2015,USD
26,06/17/2015,Cash,$0.25,06/09/2015,06/19/2015,07/03/2015,USD
27,03/12/2015,Cash,$0.25,03/03/2015,03/16/2015,04/02/2015,USD
28,12/23/2014,Cash,$0.25,12/15/2014,12/26/2014,01/09/2015,USD
29,09/17/2014,Cash,$0.25,09/05/2014,09/19/2014,10/03/2014,USD
30,06/16/2014,Cash,$0.25,06/04/2014,06/18/2014,07/03/2014,USD
31,03/12/2014,Cash,$0.25,02/28/2014,03/14/2014,04/04/2014,USD
32,12/12/2013,Cash,$0.25,12/04/2013,12/16/2013,12/30/2013,USD
33,09/24/2013,Cash,$0.25,09/17/2013,09/26/2013,10/08/2013,USD
34,06/19/2013,Cash,$0.25,06/12/2013,06/21/2013,07/02/2013,USD
35,03/18/2013,Cash,$0.25,03/06/2013,03/20/2013,04/04/2013,USD
