,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/20/2023,Cash,$4.60,08/30/2023,09/21/2023,09/29/2023,USD
1,06/21/2023,Cash,$4.60,05/31/2023,06/22/2023,06/30/2023,USD
2,03/21/2023,Cash,$4.60,03/01/2023,03/22/2023,03/31/2023,USD
3,12/19/2022,Cash,$4.60,12/06/2022,12/20/2022,12/30/2022,USD
4,09/21/2022,Cash,$4.10,N/A,09/22/2022,09/30/2022,USD
5,06/21/2022,Cash,$4.10,05/25/2022,06/22/2022,06/30/2022,USD
6,03/21/2022,Cash,$4.10,03/02/2022,03/22/2022,03/31/2022,USD
7,12/21/2021,Cash,$4.10,12/07/2021,12/22/2021,12/31/2021,USD
8,09/21/2021,Cash,$3.60,09/01/2021,09/22/2021,09/30/2021,USD
9,06/21/2021,Cash,$3.60,06/02/2021,06/22/2021,06/30/2021,USD
10,03/19/2021,Cash,$3.60,03/03/2021,03/22/2021,03/31/2021,USD
11,12/18/2020,Cash,$3.60,12/09/2020,12/21/2020,12/31/2020,USD
12,09/21/2020,Cash,$3.25,09/02/2020,09/22/2020,09/30/2020,USD
13,06/19/2020,Cash,$3.25,06/03/2020,06/22/2020,06/30/2020,USD
14,03/20/2020,Cash,$3.25,03/11/2020,03/23/2020,03/31/2020,USD
15,12/20/2019,Cash,$3.25,12/10/2019,12/23/2019,12/31/2019,USD
16,09/20/2019,Cash,$2.65,09/11/2019,09/23/2019,10/01/2019,USD
17,06/21/2019,Cash,$2.65,06/12/2019,06/24/2019,07/02/2019,USD
18,03/20/2019,Cash,$2.65,03/13/2019,03/21/2019,03/29/2019,USD
19,12/18/2018,Cash,$2.65,12/04/2018,12/19/2018,12/28/2018,USD
20,09/18/2018,Cash,$1.75,09/05/2018,09/19/2018,09/28/2018,USD
21,06/19/2018,Cash,$1.75,06/06/2018,06/20/2018,06/29/2018,USD
22,03/21/2018,Cash,$1.75,03/14/2018,03/22/2018,03/29/2018,USD
23,12/18/2017,Cash,$1.75,12/04/2017,12/19/2017,12/29/2017,USD
24,09/18/2017,Cash,$1.02,08/29/2017,09/19/2017,09/29/2017,USD
25,06/15/2017,Cash,$1.02,05/31/2017,06/19/2017,06/30/2017,USD
26,03/16/2017,Cash,$1.02,02/28/2017,03/20/2017,03/31/2017,USD
27,12/14/2016,Cash,$1.02,12/06/2016,12/16/2016,12/30/2016,USD
28,09/15/2016,Cash,$0.51,08/31/2016,09/19/2016,09/30/2016,USD
29,06/15/2016,Cash,$0.50,06/01/2016,06/17/2016,06/30/2016,USD
30,03/16/2016,Cash,$0.49,03/02/2016,03/18/2016,03/31/2016,USD
31,12/16/2015,Cash,$0.44,12/07/2015,12/18/2015,12/30/2015,USD
32,09/16/2015,Cash,$0.42,09/02/2015,09/18/2015,09/30/2015,USD
33,06/17/2015,Cash,$0.40,06/03/2015,06/19/2015,06/30/2015,USD
34,03/18/2015,Cash,$0.38,03/04/2015,03/20/2015,03/31/2015,USD
35,12/17/2014,Cash,$0.35,12/08/2014,12/19/2014,12/31/2014,USD
36,09/17/2014,Cash,$0.32,09/03/2014,09/19/2014,09/30/2014,USD
37,06/17/2014,Cash,$0.29,06/04/2014,06/19/2014,06/30/2014,USD
38,03/18/2014,Cash,$0.27,03/05/2014,03/20/2014,03/31/2014,USD
39,12/18/2013,Cash,$0.25,12/10/2013,12/20/2013,12/31/2013,USD
40,09/17/2013,Cash,$0.23,09/04/2013,09/19/2013,09/30/2013,USD
41,06/13/2013,Cash,$0.21,06/05/2013,06/17/2013,06/28/2013,USD
