,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/19/2023,Cash,$0.42,09/15/2023,10/20/2023,10/27/2023,USD
1,09/21/2023,Cash,$0.45,09/11/2023,09/22/2023,09/29/2023,USD
2,06/20/2023,Cash,$0.39,06/09/2023,06/21/2023,06/28/2023,USD
3,03/23/2023,Cash,$0.39,03/08/2023,03/24/2023,03/31/2023,USD
4,12/28/2022,Cash,$0.49,12/16/2022,12/29/2022,01/05/2023,USD
5,09/21/2022,Cash,$0.39,09/12/2022,09/22/2022,09/29/2022,USD
6,06/21/2022,Cash,$0.39,06/09/2022,06/22/2022,06/29/2022,USD
7,03/18/2022,Cash,$0.39,03/03/2022,03/21/2022,03/28/2022,USD
8,12/28/2021,Cash,$0.48,12/17/2021,12/29/2021,01/05/2022,USD
9,09/20/2021,Cash,$0.38,09/10/2021,09/21/2021,09/28/2021,USD
10,06/18/2021,Cash,$0.38,06/11/2021,06/21/2021,06/28/2021,USD
11,03/17/2021,Cash,$0.38,03/03/2021,03/18/2021,03/25/2021,USD
12,12/18/2020,Cash,$0.43,12/02/2020,12/21/2020,01/05/2021,USD
13,09/24/2020,Cash,$0.38,09/11/2020,09/25/2020,09/30/2020,USD
14,06/18/2020,Cash,$0.38,06/11/2020,06/19/2020,06/26/2020,USD
15,03/17/2020,Cash,$0.38,03/04/2020,03/18/2020,03/25/2020,USD
16,12/20/2019,Cash,$0.38,12/06/2019,12/23/2019,01/03/2020,USD
17,09/20/2019,Cash,$0.38,09/11/2019,09/23/2019,09/27/2019,USD
18,06/19/2019,Cash,$0.38,06/06/2019,06/20/2019,06/26/2019,USD
19,03/18/2019,Cash,$0.38,03/08/2019,03/19/2019,03/26/2019,USD
20,12/21/2018,Cash,$0.52,12/07/2018,12/24/2018,01/02/2019,USD
21,09/21/2018,Cash,$0.38,09/13/2018,09/24/2018,09/28/2018,USD
22,06/20/2018,Cash,$0.38,06/07/2018,06/21/2018,06/28/2018,USD
23,03/19/2018,Cash,$0.38,03/09/2018,03/20/2018,03/27/2018,USD
24,12/21/2017,Cash,$0.38,12/07/2017,12/22/2017,01/03/2018,USD
25,09/20/2017,Cash,$0.38,09/08/2017,09/21/2017,09/28/2017,USD
26,06/16/2017,Cash,$0.37,06/02/2017,06/20/2017,06/29/2017,USD
27,03/20/2017,Cash,$0.37,03/10/2017,03/22/2017,03/29/2017,USD
28,12/20/2016,Cash,$0.37,12/08/2016,12/22/2016,01/03/2017,USD
29,09/23/2016,Cash,$0.37,09/13/2016,09/27/2016,09/30/2016,USD
30,06/16/2016,Cash,$0.37,06/06/2016,06/20/2016,06/29/2016,USD
31,03/17/2016,Cash,$0.35,03/07/2016,03/21/2016,03/29/2016,USD
32,12/18/2015,Cash,$0.35,12/08/2015,12/22/2015,01/04/2016,USD
33,09/17/2015,Cash,$0.33,09/10/2015,09/21/2015,09/29/2015,USD
34,06/17/2015,Cash,$0.33,05/20/2015,06/19/2015,06/29/2015,USD
35,03/18/2015,Cash,$0.50,03/05/2015,03/20/2015,03/30/2015,USD
36,12/10/2014,Cash,$0.50,12/02/2014,12/12/2014,01/02/2015,USD
37,09/10/2014,Cash,$0.50,09/02/2014,09/12/2014,09/26/2014,USD
38,06/11/2014,Cash,$0.50,06/03/2014,06/13/2014,06/27/2014,USD
39,03/13/2014,Cash,$0.50,03/06/2014,03/17/2014,04/01/2014,USD
40,12/19/2013,Cash,$0.28,12/13/2013,12/23/2013,01/02/2014,USD
