,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/07/2023,Cash,$1.60,08/22/2023,09/08/2023,09/28/2023,USD
1,03/09/2023,Cash,$1.80,N/A,03/10/2023,03/30/2023,USD
2,09/01/2022,Cash,$3.50,08/18/2022,09/02/2022,09/22/2022,USD
3,06/02/2022,Cash/Stock,$8.36641,04/16/2022,05/26/2022,06/01/2022,USD
4,02/24/2022,Cash,$3.00,03/02/2022,02/25/2022,03/28/2022,USD
5,09/02/2021,Cash,$4.00,09/08/2021,09/03/2021,09/21/2021,USD
6,03/04/2021,Cash,$2.02,N/A,03/05/2021,03/23/2021,USD
7,09/03/2020,Cash,$1.10,08/19/2020,09/04/2020,09/22/2020,USD
8,03/05/2020,Cash,$1.30,02/18/2020,03/06/2020,03/24/2020,USD
9,09/05/2019,Cash,$1.56,08/21/2019,09/06/2019,09/25/2019,USD
10,03/07/2019,Cash,$1.10,02/20/2019,03/08/2019,03/26/2019,USD
11,01/10/2019,Cash,$2.04,12/18/2018,01/11/2019,01/30/2019,USD
12,09/06/2018,Cash,$1.26,08/23/2018,09/07/2018,09/25/2018,USD
13,03/08/2018,Cash,$1.10,02/20/2018,03/09/2018,03/27/2018,USD
14,09/07/2017,Cash,$0.86,N/A,09/08/2017,09/26/2017,USD
15,03/08/2017,Cash,$0.80,N/A,03/10/2017,03/28/2017,USD
16,08/31/2016,Cash,$0.28,N/A,09/02/2016,09/20/2016,USD
17,03/09/2016,Cash,$0.32,N/A,03/11/2016,03/31/2016,USD
18,09/09/2015,Cash,$1.24,N/A,09/11/2015,09/29/2015,USD
19,03/11/2015,Cash,$1.24,N/A,03/13/2015,03/31/2015,USD
20,09/03/2014,Cash,$1.24,N/A,09/05/2014,09/23/2014,USD
21,03/05/2014,Cash,$1.18,N/A,03/07/2014,03/26/2014,USD
22,09/04/2013,Cash,$1.18,N/A,09/06/2013,09/25/2013,USD
23,03/06/2013,Cash,$1.14,N/A,03/08/2013,03/28/2013,USD
24,09/05/2012,Cash,$1.14,N/A,09/07/2012,09/28/2012,USD
25,02/29/2012,Cash,$1.10,N/A,03/02/2012,03/22/2012,USD
26,09/07/2011,Cash,$1.10,N/A,09/09/2011,09/29/2011,USD
27,03/09/2011,Cash,$0.92,N/A,03/11/2011,03/31/2011,USD
28,09/08/2010,Cash,$0.90,N/A,09/10/2010,09/30/2010,USD
29,03/03/2010,Cash,$0.84,N/A,03/05/2010,03/23/2010,USD
30,09/02/2009,Cash,$0.82,N/A,09/04/2009,09/25/2009,USD
31,02/25/2009,Cash,$0.82,N/A,02/27/2009,03/17/2009,USD
32,09/03/2008,Cash,$0.82,N/A,09/05/2008,09/25/2008,USD
33,02/27/2008,Cash,$0.58,N/A,02/29/2008,03/18/2008,USD
34,09/12/2007,Cash,$0.54,N/A,09/14/2007,09/28/2007,USD
35,02/28/2007,Cash,$0.40,N/A,03/02/2007,03/20/2007,USD
36,09/06/2006,Cash,$0.35,N/A,09/08/2006,09/27/2006,USD
37,09/07/2005,Cash,$0.29,N/A,09/09/2005,09/28/2005,USD
38,03/02/2005,Cash,$0.27,N/A,03/04/2005,03/23/2005,USD
39,09/01/2004,Cash,$0.19,N/A,09/03/2004,09/22/2004,USD
40,04/13/2004,Cash,$0.17,N/A,04/15/2004,05/05/2004,USD
41,11/10/2003,Cash,$0.16,N/A,11/13/2003,12/03/2003,USD
42,06/10/2003,Cash,$0.15,N/A,06/12/2003,07/02/2003,USD
43,11/12/2002,Cash,$0.14,N/A,11/14/2002,12/04/2002,USD
44,06/04/2002,Cash,$0.13,N/A,06/06/2002,07/03/2002,USD
45,11/13/2001,Cash,$0.13,N/A,11/15/2001,12/14/2001,USD
46,06/05/2001,Cash,$0.2644,N/A,06/07/2001,07/10/2001,USD
47,11/14/2000,Cash,$0.2292,N/A,11/16/2000,12/13/2000,USD
48,06/06/2000,Cash,$0.3105,N/A,06/08/2000,07/11/2000,USD
49,06/06/2000,Cash,$0.2964,N/A,06/08/2000,07/11/2000,USD
50,11/02/1999,Cash,$0.3055,N/A,11/04/1999,12/02/1999,USD
51,11/02/1999,Cash,$0.3055,N/A,11/04/1999,12/02/1999,USD
52,05/11/1999,Cash,$0.3281,N/A,05/13/1999,06/09/1999,USD
53,05/11/1999,Cash,$0.3281,N/A,05/13/1999,06/09/1999,USD
54,11/03/1998,Cash,$0.3185,N/A,11/05/1998,12/03/1998,USD
55,11/03/1998,Cash,$0.3185,N/A,11/05/1998,12/03/1998,USD
56,05/12/1998,Cash,$0.316,N/A,05/14/1998,06/10/1998,USD
57,05/12/1998,Cash,$0.316,N/A,05/14/1998,06/10/1998,USD
58,11/04/1997,Cash,$0.3411,N/A,11/06/1997,12/04/1997,USD
59,11/04/1997,Cash,$0.3411,N/A,11/06/1997,12/04/1997,USD
60,05/13/1997,Cash,$0.34476,N/A,05/15/1997,06/13/1997,USD
61,05/13/1997,Cash,$0.34476,N/A,05/15/1997,06/13/1997,USD
62,11/05/1996,Cash,$0.405,N/A,11/07/1996,12/09/1996,USD
63,11/05/1996,Cash,$0.405,N/A,11/07/1996,12/09/1996,USD
64,05/14/1996,Cash,$0.8245,N/A,05/16/1996,06/14/1996,USD
65,05/14/1996,Cash,$0.8245,N/A,05/16/1996,06/14/1996,USD
