,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,08/23/2023,Cash,$0.015,08/11/2023,08/24/2023,09/11/2023,USD
1,05/24/2023,Cash,$0.015,05/15/2023,05/25/2023,06/12/2023,USD
2,02/22/2023,Cash,$0.015,02/10/2023,02/23/2023,03/13/2023,USD
3,12/23/2022,Cash,$0.015,12/13/2022,12/27/2022,01/11/2023,USD
4,08/22/2022,Cash,$0.015,08/12/2022,08/23/2022,09/06/2022,USD
5,09/04/2008,Cash,$0.075,08/11/2008,09/08/2008,09/22/2008,USD
6,05/29/2008,Cash,$0.05,05/12/2008,06/02/2008,06/16/2008,USD
7,02/28/2008,Cash,$0.05,02/12/2008,03/03/2008,03/17/2008,USD
8,01/03/2008,Cash,$0.05,12/13/2007,01/07/2008,01/22/2008,USD
9,09/05/2007,Cash,$0.05,08/13/2007,09/07/2007,09/21/2007,USD
10,05/30/2007,Cash,$0.05,05/14/2007,06/01/2007,06/15/2007,USD
11,02/27/2007,Cash,$0.05,02/13/2007,03/01/2007,03/15/2007,USD
12,12/26/2006,Cash,$0.10,12/12/2006,12/28/2006,01/15/2007,USD
13,08/30/2006,Cash,$0.05,08/14/2006,09/01/2006,09/15/2006,USD
14,05/30/2006,Cash,$0.05,05/15/2006,06/01/2006,06/15/2006,USD
15,08/30/2005,Cash,$0.06,08/12/2005,09/01/2005,09/15/2005,USD
16,05/27/2005,Cash,$0.06,05/12/2005,06/01/2005,06/15/2005,USD
17,02/25/2005,Cash,$0.05,02/07/2005,03/01/2005,03/15/2005,USD
18,12/16/2004,Cash,$0.25,12/06/2004,12/20/2004,01/05/2005,USD
19,08/25/2004,Cash,$0.15,08/12/2004,08/27/2004,09/15/2004,USD
20,02/25/2004,Cash,$0.50,02/13/2004,02/27/2004,03/12/2004,USD
21,12/18/2003,Cash,$0.20,12/08/2003,12/22/2003,01/06/2004,USD
22,12/13/2001,Cash,$0.15,12/05/2001,12/17/2001,01/02/2002,USD
23,09/28/2001,Cash,$0.15,09/17/2001,10/02/2001,10/17/2001,USD
24,03/14/2001,Cash,$0.20,03/05/2001,03/16/2001,03/30/2001,USD
25,12/08/2000,Cash,$0.15,12/05/2000,12/12/2000,01/03/2001,USD
26,08/30/2000,Cash,$0.10,08/21/2000,09/01/2000,09/18/2000,USD
