,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/01/2023,Cash,$0.35,10/04/2023,11/02/2023,11/30/2023,USD
1,07/28/2023,Cash,$0.35,07/13/2023,07/31/2023,08/31/2023,USD
2,04/27/2023,Cash,$0.33,04/12/2023,04/28/2023,06/01/2023,USD
3,01/27/2023,Cash,$0.33,12/21/2022,01/30/2023,03/02/2023,USD
4,11/02/2022,Cash,$0.33,10/04/2022,11/03/2022,12/01/2022,USD
5,08/02/2022,Cash,$0.33,07/22/2022,08/03/2022,09/01/2022,USD
6,04/28/2022,Cash,$0.3125,04/14/2022,04/29/2022,06/01/2022,USD
7,01/28/2022,Cash,$0.3125,12/08/2021,01/31/2022,03/02/2022,USD
8,10/29/2021,Cash,$0.3125,09/29/2021,11/01/2021,12/01/2021,USD
9,08/02/2021,Cash,$0.3125,07/13/2021,08/03/2021,09/02/2021,USD
10,04/29/2021,Cash,$0.275,04/16/2021,04/30/2021,06/02/2021,USD
11,01/28/2021,Cash,$0.275,12/11/2020,01/29/2021,03/03/2021,USD
12,10/30/2020,Cash,$0.275,10/01/2020,11/02/2020,12/02/2020,USD
13,08/03/2020,Cash,$0.2125,07/24/2020,08/04/2020,09/03/2020,USD
14,04/29/2020,Cash,$0.2125,04/16/2020,04/30/2020,06/03/2020,USD
15,01/30/2020,Cash,$0.2125,12/11/2019,01/31/2020,03/03/2020,USD
16,10/31/2019,Cash,$0.2125,09/21/2019,11/01/2019,12/03/2019,USD
17,07/29/2019,Cash,$0.2125,07/18/2019,07/30/2019,08/29/2019,USD
18,04/29/2019,Cash,$0.2125,04/16/2019,04/30/2019,05/31/2019,USD
19,01/29/2019,Cash,$0.2125,12/07/2018,01/30/2019,03/01/2019,USD
20,10/16/2018,Cash,$0.2125,09/22/2018,10/17/2018,11/30/2018,USD
21,07/30/2018,Cash,$0.2125,07/19/2018,07/31/2018,08/30/2018,USD
22,04/27/2018,Cash,$0.2125,04/20/2018,04/30/2018,05/31/2018,USD
23,01/29/2018,Cash,$0.2125,12/12/2017,01/30/2018,03/01/2018,USD
24,10/30/2017,Cash,$0.2125,09/21/2017,10/31/2017,11/30/2017,USD
25,07/27/2017,Cash,$0.2125,07/20/2017,07/31/2017,08/31/2017,USD
26,04/26/2017,Cash,$0.20,04/03/2017,04/28/2017,05/30/2017,USD
27,01/26/2017,Cash,$0.20,12/08/2016,01/30/2017,03/01/2017,USD
28,10/27/2016,Cash,$0.25,09/23/2016,10/31/2016,11/30/2016,USD
29,07/27/2016,Cash,$0.25,07/12/2016,07/29/2016,08/31/2016,USD
30,04/27/2016,Cash,$0.25,04/07/2016,04/29/2016,06/01/2016,USD
31,01/27/2016,Cash,$0.25,12/15/2015,01/29/2016,03/01/2016,USD
32,10/28/2015,Cash,$0.25,09/25/2015,10/30/2015,12/01/2015,USD
33,07/28/2015,Cash,$0.25,07/14/2015,07/30/2015,09/01/2015,USD
34,04/28/2015,Cash,$0.25,04/02/2015,04/30/2015,06/02/2015,USD
35,01/28/2015,Cash,$0.25,12/02/2014,01/30/2015,03/03/2015,USD
36,10/29/2014,Cash,$0.25,09/19/2014,10/31/2014,12/02/2014,USD
37,07/24/2014,Cash,$0.25,07/15/2014,07/28/2014,08/28/2014,USD
38,04/28/2014,Cash,$0.25,04/03/2014,04/30/2014,05/30/2014,USD
39,01/29/2014,Cash,$0.25,12/03/2013,01/31/2014,03/04/2014,USD
40,10/29/2013,Cash,$0.25,09/26/2013,10/31/2013,12/03/2013,USD
41,07/29/2013,Cash,$0.25,07/16/2013,07/31/2013,08/30/2013,USD
42,04/26/2013,Cash,$0.25,04/03/2013,04/30/2013,05/31/2013,USD
43,01/29/2013,Cash,$0.25,12/11/2012,01/31/2013,03/05/2013,USD
