,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/31/2023,Cash,$0.006,N/A,11/01/2023,11/16/2023,USD
1,08/04/2023,Cash,$0.755,11/27/2007,08/07/2023,08/22/2023,USD
2,04/25/2023,Cash,$2.199,11/27/2007,04/26/2023,05/11/2023,USD
3,01/24/2023,Cash,$1.351,11/27/2007,01/25/2023,02/09/2023,USD
4,10/25/2022,Cash,$0.853,N/A,10/26/2022,11/10/2022,USD
5,07/29/2022,Cash,$0.749,11/27/2007,08/01/2022,08/16/2022,USD
6,04/26/2022,Cash,$0.125,11/27/2007,04/27/2022,05/12/2022,USD
7,04/27/2021,Cash,$0.034,11/27/2007,04/28/2021,05/13/2021,USD
8,04/30/2019,Cash,$0.272,11/27/2007,05/01/2019,05/16/2019,USD
9,01/29/2019,Cash,$0.149,11/27/2007,01/30/2019,02/14/2019,USD
10,10/30/2018,Cash,$0.085,11/27/2007,10/31/2018,11/15/2018,USD
11,08/03/2018,Cash,$0.351,11/27/2007,08/06/2018,08/21/2018,USD
12,04/25/2016,Cash,$0.441,11/27/2007,04/27/2016,05/12/2016,USD
13,01/25/2016,Cash,$0.751,11/27/2007,01/27/2016,02/11/2016,USD
14,10/26/2015,Cash,$0.983,11/27/2007,10/28/2015,11/12/2015,USD
15,07/30/2015,Cash,$0.317,11/27/2007,08/03/2015,08/18/2015,USD
16,04/27/2015,Cash,$0.35,11/27/2007,04/29/2015,05/14/2015,USD
17,01/26/2015,Cash,$0.252,11/27/2007,01/28/2015,02/12/2015,USD
18,10/27/2014,Cash,$0.381,11/27/2007,10/29/2014,11/13/2014,USD
19,08/06/2014,Cash,$0.434,N/A,08/09/2014,08/24/2014,USD
20,04/28/2014,Cash,$0.591,11/27/2007,04/30/2014,05/15/2014,USD
21,01/27/2014,Cash,$0.361,11/27/2007,01/29/2014,02/13/2014,USD
22,10/28/2013,Cash,$0.068,11/27/2007,10/30/2013,11/14/2013,USD
23,04/29/2013,Cash,$0.423,N/A,05/01/2013,05/16/2013,USD
24,01/28/2013,Cash,$0.199,11/27/2007,01/30/2013,02/14/2013,USD
25,05/20/2003,Cash,$0.0125,N/A,05/20/2003,N/A,USD
26,02/18/2003,Cash,$0.0125,N/A,02/18/2003,N/A,USD
27,11/19/2002,Cash,$0.0125,N/A,11/19/2002,N/A,USD
28,08/20/2002,Cash,$0.0125,N/A,08/20/2002,N/A,USD
29,05/21/2002,Cash,$0.0125,N/A,05/21/2002,N/A,USD
30,02/19/2002,Cash,$0.0125,N/A,02/19/2002,N/A,USD
31,11/19/2001,Cash,$0.0125,N/A,11/19/2001,N/A,USD
32,08/21/2001,Cash,$0.0125,N/A,08/21/2001,N/A,USD
33,05/22/2001,Cash,$0.0125,N/A,05/22/2001,N/A,USD
34,02/20/2001,Cash,$0.0125,N/A,02/20/2001,N/A,USD
35,11/20/2000,Cash,$0.0125,N/A,11/20/2000,N/A,USD
36,08/22/2000,Cash,$0.0125,N/A,08/22/2000,N/A,USD
37,05/23/2000,Cash,$0.0125,N/A,05/23/2000,N/A,USD
38,02/15/2000,Cash,$0.0125,N/A,02/15/2000,N/A,USD
39,11/16/1999,Cash,$0.0125,N/A,11/16/1999,N/A,USD
40,08/17/1999,Cash,$0.0125,N/A,08/17/1999,N/A,USD
41,05/18/1999,Cash,$0.0125,N/A,05/18/1999,N/A,USD
42,02/16/1999,Cash,$0.0125,N/A,02/16/1999,N/A,USD
43,11/18/1998,Cash,$0.01,N/A,11/18/1998,N/A,USD
44,08/07/1998,Cash,$0.01,N/A,08/07/1998,N/A,USD
45,05/08/1998,Cash,$0.01,N/A,05/08/1998,N/A,USD
46,02/05/1998,Cash,$0.01,N/A,02/05/1998,N/A,USD
