,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/31/2023,Cash,$0.43,09/07/2023,11/01/2023,11/15/2023,USD
1,07/31/2023,Cash,$0.43,06/01/2023,08/01/2023,08/15/2023,USD
2,04/28/2023,Cash,$0.38,03/02/2023,05/01/2023,05/15/2023,USD
3,01/31/2023,Cash,$0.38,12/01/2022,02/01/2023,02/15/2023,USD
4,10/31/2022,Cash,$0.38,08/31/2022,11/01/2022,11/15/2022,USD
5,07/29/2022,Cash,$0.38,06/02/2022,08/01/2022,08/15/2022,USD
6,04/29/2022,Cash,$0.35,03/03/2022,05/02/2022,05/16/2022,USD
7,01/31/2022,Cash,$0.35,12/02/2021,02/01/2022,02/15/2022,USD
8,10/29/2021,Cash,$0.35,09/02/2021,11/01/2021,11/15/2021,USD
9,07/30/2021,Cash,$0.34,06/03/2021,08/02/2021,08/16/2021,USD
10,04/30/2021,Cash,$0.34,03/04/2021,05/03/2021,05/17/2021,USD
11,01/29/2021,Cash,$0.34,12/02/2020,02/01/2021,02/15/2021,USD
12,10/30/2020,Cash,$0.32,09/03/2020,11/02/2020,11/16/2020,USD
13,07/31/2020,Cash,$0.32,06/03/2020,08/03/2020,08/17/2020,USD
14,04/30/2020,Cash,$0.32,03/06/2020,05/01/2020,05/15/2020,USD
15,01/31/2020,Cash,$0.32,12/04/2019,02/03/2020,02/17/2020,USD
16,10/31/2019,Cash,$0.32,09/05/2019,11/01/2019,11/15/2019,USD
17,07/31/2019,Cash,$0.32,06/05/2019,08/01/2019,08/15/2019,USD
18,04/30/2019,Cash,$0.29,03/08/2019,05/01/2019,05/15/2019,USD
19,01/31/2019,Cash,$0.29,12/05/2018,02/01/2019,02/15/2019,USD
20,10/31/2018,Cash,$0.29,09/06/2018,11/01/2018,11/15/2018,USD
21,07/31/2018,Cash,$0.29,06/08/2018,08/01/2018,08/15/2018,USD
22,04/30/2018,Cash,$0.26,03/02/2018,05/01/2018,05/15/2018,USD
23,01/31/2018,Cash,$0.26,12/06/2017,02/01/2018,02/15/2018,USD
24,10/31/2017,Cash,$0.26,09/01/2017,11/01/2017,11/15/2017,USD
25,07/28/2017,Cash,$0.26,06/02/2017,08/01/2017,08/15/2017,USD
26,04/27/2017,Cash,$0.24,03/03/2017,05/01/2017,05/15/2017,USD
27,01/30/2017,Cash,$0.24,12/06/2016,02/01/2017,02/15/2017,USD
28,10/28/2016,Cash,$0.24,09/02/2016,11/01/2016,11/15/2016,USD
29,07/28/2016,Cash,$0.24,06/03/2016,08/01/2016,08/15/2016,USD
30,04/28/2016,Cash,$0.22,03/04/2016,05/02/2016,05/16/2016,USD
31,01/28/2016,Cash,$0.22,12/04/2015,02/01/2016,02/15/2016,USD
32,10/29/2015,Cash,$0.22,09/04/2015,11/02/2015,11/16/2015,USD
33,07/30/2015,Cash,$0.22,06/05/2015,08/03/2015,08/17/2015,USD
34,04/29/2015,Cash,$0.20,03/06/2015,05/01/2015,05/15/2015,USD
35,01/29/2015,Cash,$0.20,12/05/2014,02/02/2015,02/16/2015,USD
36,10/30/2014,Cash,$0.20,09/05/2014,11/03/2014,11/17/2014,USD
37,07/30/2014,Cash,$0.20,06/06/2014,08/01/2014,08/15/2014,USD
38,04/29/2014,Cash,$0.18,03/10/2014,05/01/2014,05/15/2014,USD
39,01/30/2014,Cash,$0.18,12/05/2013,02/03/2014,02/17/2014,USD
40,10/30/2013,Cash,$0.18,09/05/2013,11/01/2013,11/15/2013,USD
41,07/30/2013,Cash,$0.18,06/07/2013,08/01/2013,08/15/2013,USD
42,04/29/2013,Cash,$0.165,03/08/2013,05/01/2013,05/15/2013,USD
43,01/30/2013,Cash,$0.165,12/06/2012,02/01/2013,02/15/2013,USD
44,04/29/2003,Cash,$0.025,N/A,04/29/2003,N/A,USD
45,01/30/2003,Cash,$0.025,N/A,01/30/2003,N/A,USD
46,10/30/2002,Cash,$0.025,N/A,10/30/2002,N/A,USD
47,07/30/2002,Cash,$0.025,N/A,07/30/2002,N/A,USD
48,04/29/2002,Cash,$0.025,N/A,04/29/2002,N/A,USD
49,01/30/2002,Cash,$0.025,N/A,01/30/2002,N/A,USD
50,10/30/2001,Cash,$0.02,N/A,10/30/2001,N/A,USD
51,07/30/2001,Cash,$0.02,N/A,07/30/2001,N/A,USD
52,04/27/2001,Cash,$0.02,N/A,04/27/2001,N/A,USD
53,01/30/2001,Cash,$0.02,N/A,01/30/2001,N/A,USD
54,10/30/2000,Cash,$0.02,N/A,10/30/2000,N/A,USD
55,07/28/2000,Cash,$0.02,N/A,07/28/2000,N/A,USD
56,04/27/2000,Cash,$0.015,N/A,04/27/2000,N/A,USD
57,01/28/2000,Cash,$0.015,N/A,01/28/2000,N/A,USD
58,10/28/1999,Cash,$0.015,N/A,10/28/1999,N/A,USD
59,07/29/1999,Cash,$0.015,N/A,07/29/1999,N/A,USD
60,04/29/1999,Cash,$0.015,N/A,04/29/1999,N/A,USD
61,01/28/1999,Cash,$0.015,N/A,01/28/1999,N/A,USD
62,10/29/1998,Cash,$0.015,N/A,10/29/1998,N/A,USD
63,07/30/1998,Cash,$0.015,N/A,07/30/1998,N/A,USD
64,04/29/1998,Cash,$0.015,N/A,04/29/1998,N/A,USD
65,01/29/1998,Cash,$0.03,N/A,01/29/1998,N/A,USD
66,10/30/1997,Cash,$0.03,N/A,10/30/1997,N/A,USD
67,07/30/1997,Cash,$0.03,N/A,07/30/1997,N/A,USD
68,04/29/1997,Cash,$0.025,N/A,04/29/1997,N/A,USD
69,01/30/1997,Cash,$0.025,N/A,01/30/1997,N/A,USD
70,10/30/1996,Cash,$0.025,N/A,10/30/1996,N/A,USD
71,07/30/1996,Cash,$0.025,N/A,07/30/1996,N/A,USD
72,04/29/1996,Cash,$0.025,N/A,04/29/1996,N/A,USD
73,01/30/1996,Cash,$0.025,N/A,01/30/1996,N/A,USD
74,10/30/1995,Cash,$0.025,N/A,10/30/1995,N/A,USD
75,07/28/1995,Cash,$0.025,N/A,07/28/1995,N/A,USD
76,04/25/1995,Cash,$0.02,N/A,04/25/1995,N/A,USD
77,01/26/1995,Cash,$0.02,N/A,01/26/1995,N/A,USD
78,10/26/1994,Cash,$0.02,N/A,10/26/1994,N/A,USD
79,07/26/1994,Cash,$0.02,N/A,07/26/1994,N/A,USD
80,04/26/1994,Cash,$0.02,N/A,04/26/1994,N/A,USD
81,01/26/1994,Cash,$0.0375,N/A,01/26/1994,N/A,USD
82,10/26/1993,Cash,$0.0375,N/A,10/26/1993,N/A,USD
83,07/27/1993,Cash,$0.0375,N/A,07/27/1993,N/A,USD
84,04/27/1993,Cash,$0.03,N/A,04/27/1993,N/A,USD
85,01/26/1993,Cash,$0.03,N/A,01/26/1993,N/A,USD
86,10/27/1992,Cash,$0.03,N/A,10/27/1992,N/A,USD
87,07/28/1992,Cash,$0.03,N/A,07/28/1992,N/A,USD
88,04/27/1992,Cash,$0.03,N/A,04/27/1992,N/A,USD
89,01/28/1992,Cash,$0.03,N/A,01/28/1992,N/A,USD
90,10/28/1991,Cash,$0.03,N/A,10/28/1991,N/A,USD
91,07/26/1991,Cash,$0.03,N/A,07/26/1991,N/A,USD
92,04/25/1991,Cash,$0.025,N/A,04/25/1991,N/A,USD
93,01/28/1991,Cash,$0.025,N/A,01/28/1991,N/A,USD
94,10/26/1990,Cash,$0.025,N/A,10/26/1990,N/A,USD
95,07/26/1990,Cash,$0.025,N/A,07/26/1990,N/A,USD
