,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/18/2024,Cash,$1.30,11/16/2023,01/19/2024,02/13/2024,USD
1,10/19/2023,Cash,$1.30,08/29/2023,10/20/2023,11/07/2023,USD
2,07/20/2023,Cash,$1.30,06/01/2023,07/21/2023,08/08/2023,USD
3,04/13/2023,Cash,$1.30,02/22/2023,04/14/2023,05/09/2023,USD
4,01/12/2023,Cash,$1.30,11/17/2022,01/13/2023,01/31/2023,USD
5,10/20/2022,Cash,$1.30,09/21/2022,10/21/2022,11/08/2022,USD
6,07/14/2022,Cash,$1.30,06/03/2022,07/15/2022,08/05/2022,USD
7,04/14/2022,Cash,$1.30,02/24/2022,04/18/2022,05/03/2022,USD
8,01/13/2022,Cash,$1.30,11/18/2021,01/14/2022,02/01/2022,USD
9,10/21/2021,Cash,$1.30,09/15/2021,10/22/2021,11/09/2021,USD
10,07/15/2021,Cash,$1.00,05/20/2021,07/16/2021,08/06/2021,USD
11,08/13/2020,Cash,$1.30,03/03/2020,08/14/2020,09/02/2020,USD
12,01/16/2020,Cash,$1.30,11/21/2019,01/17/2020,02/05/2020,USD
13,10/17/2019,Cash,$1.30,09/26/2019,10/18/2019,11/05/2019,USD
14,07/18/2019,Cash,$4.30,06/03/2019,07/19/2019,N/A,USD
15,04/17/2019,Cash,$1.25,02/28/2019,04/19/2019,05/06/2019,USD
16,01/17/2019,Cash,$1.25,11/15/2018,01/18/2019,02/05/2019,USD
17,10/18/2018,Cash,$1.25,09/12/2018,10/19/2018,11/05/2018,USD
18,07/12/2018,Cash,$5.00,05/17/2018,07/13/2018,N/A,USD
19,04/12/2018,Cash,$1.20,02/22/2018,04/13/2018,05/07/2018,USD
20,01/11/2018,Cash,$1.20,11/16/2017,01/12/2018,02/05/2018,USD
21,10/12/2017,Cash,$1.20,09/28/2017,10/13/2017,11/06/2017,USD
22,07/12/2017,Cash,$4.70,05/18/2017,07/14/2017,N/A,USD
23,04/11/2017,Cash,$1.15,02/23/2017,04/14/2017,05/05/2017,USD
24,01/11/2017,Cash,$1.15,11/17/2016,01/13/2017,02/06/2017,USD
25,10/12/2016,Cash,$1.15,09/23/2016,10/14/2016,11/07/2016,USD
26,07/13/2016,Cash,$4.40,05/24/2016,07/15/2016,N/A,USD
27,04/13/2016,Cash,$1.10,02/26/2016,04/15/2016,05/05/2016,USD
28,01/13/2016,Cash,$1.10,12/08/2015,01/15/2016,02/05/2016,USD
29,10/14/2015,Cash,$1.10,09/25/2015,10/16/2015,11/05/2015,USD
30,07/15/2015,Cash,$4.10,05/29/2015,07/17/2015,08/05/2015,USD
31,04/15/2015,Cash,$1.00,02/27/2015,04/17/2015,05/05/2015,USD
32,01/14/2015,Cash,$1.00,12/04/2014,01/16/2015,02/05/2015,USD
33,10/15/2014,Cash,$1.00,10/02/2014,10/17/2014,11/05/2014,USD
34,07/16/2014,Cash,$1.00,04/28/2014,07/18/2014,08/05/2014,USD
35,04/15/2014,Cash,$0.75,02/27/2014,04/18/2014,05/05/2014,USD
36,01/15/2014,Cash,$0.75,12/05/2013,01/17/2014,02/05/2014,USD
37,10/16/2013,Cash,$0.75,09/26/2013,10/18/2013,11/05/2013,USD
38,07/17/2013,Cash,$0.75,05/31/2013,07/19/2013,08/05/2013,USD
39,04/17/2013,Cash,$0.50,03/01/2013,04/19/2013,05/06/2013,USD
40,12/11/2002,Cash,$0.02,N/A,12/11/2002,N/A,USD
41,12/12/2001,Cash,$0.02,N/A,12/12/2001,N/A,USD
42,12/13/2000,Cash,$0.02,N/A,12/13/2000,N/A,USD
43,12/15/1999,Cash,$0.005,N/A,12/15/1999,N/A,USD
44,09/09/1999,Cash,$0.005,N/A,09/09/1999,N/A,USD
45,06/09/1999,Cash,$0.005,N/A,06/09/1999,N/A,USD
46,03/10/1999,Cash,$0.005,N/A,03/10/1999,N/A,USD
47,12/16/1998,Cash,$0.005,N/A,12/16/1998,N/A,USD
48,09/09/1998,Cash,$0.005,N/A,09/09/1998,N/A,USD
49,06/10/1998,Cash,$0.005,N/A,06/10/1998,N/A,USD
50,03/11/1998,Cash,$0.005,N/A,03/11/1998,N/A,USD
51,12/17/1997,Cash,$0.005,N/A,12/17/1997,N/A,USD
52,09/10/1997,Cash,$0.005,N/A,09/10/1997,N/A,USD
53,06/11/1997,Cash,$0.005,N/A,06/11/1997,N/A,USD
54,03/12/1997,Cash,$0.005,N/A,03/12/1997,N/A,USD
55,12/11/1996,Cash,$0.005,N/A,12/11/1996,N/A,USD
56,09/11/1996,Cash,$0.005,N/A,09/11/1996,N/A,USD
57,06/12/1996,Cash,$0.005,N/A,06/12/1996,N/A,USD
58,03/13/1996,Cash,$0.005,N/A,03/13/1996,N/A,USD
59,12/13/1995,Cash,$0.005,N/A,12/13/1995,N/A,USD
60,09/13/1995,Cash,$0.005,N/A,09/13/1995,N/A,USD
61,06/14/1995,Cash,$0.005,N/A,06/14/1995,N/A,USD
62,03/13/1995,Cash,$0.005,N/A,03/13/1995,N/A,USD
63,12/12/1994,Cash,$0.005,N/A,12/12/1994,N/A,USD
64,09/06/1994,Cash,$0.005,N/A,09/06/1994,N/A,USD
65,06/06/1994,Cash,$0.005,N/A,06/06/1994,N/A,USD
66,03/07/1994,Cash,$0.005,N/A,03/07/1994,N/A,USD
67,12/02/1993,Cash,$0.005,N/A,12/02/1993,N/A,USD
68,09/07/1993,Cash,$0.005,N/A,09/07/1993,N/A,USD
69,06/07/1993,Cash,$0.005,N/A,06/07/1993,N/A,USD
70,03/08/1993,Cash,$0.005,N/A,03/08/1993,N/A,USD
71,12/08/1992,Cash,$0.0062,N/A,12/08/1992,N/A,USD
72,09/04/1992,Cash,$0.0062,N/A,09/04/1992,N/A,USD
73,06/08/1992,Cash,$0.0062,N/A,06/08/1992,N/A,USD
74,03/09/1992,Cash,$0.0093,N/A,03/09/1992,N/A,USD
75,12/09/1991,Cash,$0.0087,N/A,12/09/1991,N/A,USD
76,09/09/1991,Cash,$0.0087,N/A,09/09/1991,N/A,USD
77,06/10/1991,Cash,$0.0087,N/A,06/10/1991,N/A,USD
78,12/10/1990,Cash,$0.0125,N/A,12/10/1990,N/A,USD
79,09/25/1990,Cash,$0.0125,N/A,09/25/1990,N/A,USD
80,06/08/1990,Cash,$0.0125,N/A,06/08/1990,N/A,USD
81,03/02/1990,Cash,$0.0175,N/A,03/02/1990,N/A,USD
82,12/01/1989,Cash,$0.0175,N/A,12/01/1989,N/A,USD
83,09/05/1989,Cash,$0.0175,N/A,09/05/1989,N/A,USD
84,06/02/1989,Cash,$0.0175,N/A,06/02/1989,N/A,USD
85,03/10/1989,Cash,$0.0175,N/A,03/10/1989,N/A,USD
86,12/01/1988,Cash,$0.025,N/A,12/01/1988,N/A,USD
