,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/17/2023,Cash,$0.10,12/08/2022,01/18/2023,02/17/2023,USD
1,10/18/2022,Cash,$0.10,09/29/2022,10/19/2022,11/18/2022,USD
2,07/19/2022,Cash,$0.10,06/09/2022,07/20/2022,08/19/2022,USD
3,04/19/2022,Cash,$0.10,03/10/2022,04/20/2022,05/20/2022,USD
4,01/18/2022,Cash,$0.10,12/09/2021,01/19/2022,02/18/2022,USD
5,10/12/2021,Cash,$0.10,10/04/2021,10/13/2021,11/12/2021,USD
6,07/20/2021,Cash,$0.10,06/08/2021,07/21/2021,08/20/2021,USD
7,04/20/2021,Cash,$0.10,03/11/2021,04/21/2021,05/21/2021,USD
8,01/19/2021,Cash,$0.10,12/09/2020,01/20/2021,02/19/2021,USD
9,10/13/2020,Cash,$0.10,09/29/2020,10/14/2020,10/27/2020,USD
10,07/14/2020,Cash,$0.10,06/03/2020,07/15/2020,08/14/2020,USD
11,04/14/2020,Cash,$0.10,03/04/2020,04/15/2020,05/15/2020,USD
12,01/14/2020,Cash,$0.10,12/04/2019,01/15/2020,02/14/2020,USD
13,10/15/2019,Cash,$0.10,09/24/2019,10/16/2019,11/15/2019,USD
14,07/16/2019,Cash,$0.10,06/05/2019,07/17/2019,08/16/2019,USD
15,04/16/2019,Cash,$0.10,03/06/2019,04/17/2019,05/17/2019,USD
16,01/15/2019,Cash,$0.10,12/06/2018,01/16/2019,02/15/2019,USD
17,10/16/2018,Cash,$0.10,09/26/2018,10/17/2018,11/16/2018,USD
18,07/13/2018,Cash,$0.10,06/06/2018,07/16/2018,08/17/2018,USD
19,04/17/2018,Cash,$0.10,03/07/2018,04/18/2018,05/18/2018,USD
20,01/16/2018,Cash,$0.10,12/06/2017,01/17/2018,02/16/2018,USD
21,10/17/2017,Cash,$0.10,09/27/2017,10/18/2017,11/17/2017,USD
22,07/13/2017,Cash,$0.10,06/07/2017,07/17/2017,08/18/2017,USD
23,04/17/2017,Cash,$0.10,03/08/2017,04/19/2017,05/19/2017,USD
24,01/13/2017,Cash,$0.10,12/07/2016,01/18/2017,02/17/2017,USD
25,10/19/2016,Cash,$0.30,10/06/2016,10/21/2016,11/22/2016,USD
26,07/14/2016,Cash,$0.30,06/08/2016,07/18/2016,08/19/2016,USD
27,04/18/2016,Cash,$0.30,03/10/2016,04/20/2016,05/20/2016,USD
28,01/13/2016,Cash,$0.30,12/09/2015,01/15/2016,02/17/2016,USD
29,10/15/2015,Cash,$0.30,09/28/2015,10/19/2015,11/20/2015,USD
30,07/15/2015,Cash,$0.30,06/04/2015,07/17/2015,08/18/2015,USD
31,04/20/2015,Cash,$0.30,03/11/2015,04/22/2015,05/21/2015,USD
32,01/14/2015,Cash,$0.30,12/10/2014,01/16/2015,02/18/2015,USD
33,10/22/2014,Cash,$0.30,10/09/2014,10/24/2014,11/19/2014,USD
34,07/16/2014,Cash,$0.30,06/05/2014,07/18/2014,08/19/2014,USD
35,05/05/2014,Cash,$0.30,03/06/2014,05/07/2014,05/30/2014,USD
36,01/15/2014,Cash,$0.30,12/09/2013,01/17/2014,02/19/2014,USD
37,10/16/2013,Cash,$0.275,10/03/2013,10/18/2013,11/19/2013,USD
38,07/17/2013,Cash,$0.275,06/06/2013,07/19/2013,08/20/2013,USD
