,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/02/2023,Cash,$1.02,10/18/2023,11/03/2023,11/17/2023,USD
1,08/24/2023,Cash,$1.02,08/09/2023,08/25/2023,09/08/2023,USD
2,05/04/2023,Cash,$1.02,04/19/2023,05/05/2023,05/19/2023,USD
3,02/02/2023,Cash,$0.90,01/19/2023,02/03/2023,02/17/2023,USD
4,10/27/2022,Cash,$0.90,10/12/2022,10/28/2022,11/10/2022,USD
5,07/28/2022,Cash,$0.90,07/13/2022,07/29/2022,08/12/2022,USD
6,04/28/2022,Cash,$0.90,04/13/2022,04/29/2022,05/13/2022,USD
7,02/03/2022,Cash,$0.79,01/20/2022,02/04/2022,02/18/2022,USD
8,10/28/2021,Cash,$0.79,10/13/2021,10/29/2021,11/12/2021,USD
9,07/29/2021,Cash,$0.79,07/13/2021,07/30/2021,08/13/2021,USD
10,04/29/2021,Cash,$0.79,04/14/2021,04/30/2021,05/14/2021,USD
11,02/04/2021,Cash,$0.70,01/21/2021,02/05/2021,02/19/2021,USD
12,12/01/2020,Cash,$10.00,11/16/2020,12/02/2020,12/11/2020,USD
13,10/29/2020,Cash,$0.70,10/14/2020,10/30/2020,11/13/2020,USD
14,07/30/2020,Cash,$0.70,07/15/2020,07/31/2020,08/14/2020,USD
15,04/30/2020,Cash,$0.70,04/15/2020,05/01/2020,05/15/2020,USD
16,02/06/2020,Cash,$0.65,01/23/2020,02/07/2020,02/21/2020,USD
17,10/31/2019,Cash,$0.65,10/18/2019,11/01/2019,11/15/2019,USD
18,08/29/2019,Cash,$0.65,08/13/2019,08/30/2019,09/13/2019,USD
19,05/09/2019,Cash,$0.65,04/26/2019,05/10/2019,05/24/2019,USD
20,02/07/2019,Cash,$0.57,01/24/2019,02/08/2019,02/22/2019,USD
21,11/08/2018,Cash,$0.57,10/24/2018,11/09/2018,11/23/2018,USD
22,08/30/2018,Cash,$0.57,08/17/2018,08/31/2018,09/14/2018,USD
23,05/10/2018,Cash,$0.57,04/24/2018,05/11/2018,05/25/2018,USD
24,02/15/2018,Cash,$0.50,01/30/2018,02/16/2018,03/02/2018,USD
25,11/16/2017,Cash,$0.50,10/30/2017,11/17/2017,12/01/2017,USD
26,08/16/2017,Cash,$0.50,07/31/2017,08/18/2017,09/01/2017,USD
27,05/10/2017,Cash,$0.50,04/25/2017,05/12/2017,05/26/2017,USD
28,05/08/2017,Cash,$7.00,04/25/2017,05/10/2017,05/26/2017,USD
29,02/08/2017,Cash,$0.45,01/27/2017,02/10/2017,02/24/2017,USD
30,11/02/2016,Cash,$0.45,10/12/2016,11/04/2016,11/18/2016,USD
31,08/10/2016,Cash,$0.45,07/25/2016,08/12/2016,08/26/2016,USD
32,04/27/2016,Cash,$0.45,04/14/2016,04/29/2016,05/13/2016,USD
33,02/10/2016,Cash,$0.40,01/29/2016,02/12/2016,02/26/2016,USD
34,11/10/2015,Cash,$0.40,10/29/2015,11/13/2015,11/27/2015,USD
35,08/12/2015,Cash,$0.40,07/27/2015,08/14/2015,08/28/2015,USD
36,04/29/2015,Cash,$0.40,04/17/2015,05/01/2015,05/15/2015,USD
37,02/11/2015,Cash,$0.355,01/29/2015,02/13/2015,02/27/2015,USD
38,02/05/2015,Cash,$5.00,01/30/2015,02/09/2015,02/27/2015,USD
39,11/12/2014,Cash,$0.355,10/28/2014,11/14/2014,11/28/2014,USD
40,07/09/2014,Cash,$0.355,06/22/2014,07/11/2014,07/25/2014,USD
41,05/14/2014,Cash,$0.355,04/29/2014,05/16/2014,05/30/2014,USD
42,02/12/2014,Cash,$0.31,01/30/2014,02/14/2014,02/28/2014,USD
43,11/13/2013,Cash,$0.31,10/29/2013,11/15/2013,11/29/2013,USD
44,08/07/2013,Cash,$0.31,07/21/2013,08/09/2013,08/23/2013,USD
