,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/03/2024,Cash,$0.37,11/29/2023,01/04/2024,01/29/2024,USD
1,10/04/2023,Cash,$0.37,09/20/2023,10/05/2023,10/30/2023,USD
2,07/05/2023,Cash,$0.37,05/23/2023,07/06/2023,07/31/2023,USD
3,04/05/2023,Cash,$0.37,03/01/2023,04/06/2023,05/01/2023,USD
4,01/04/2023,Cash,$0.37,11/30/2022,01/05/2023,01/30/2023,USD
5,10/05/2022,Cash,$0.37,09/21/2022,10/06/2022,10/31/2022,USD
6,07/06/2022,Cash,$0.37,05/24/2022,07/07/2022,08/01/2022,USD
7,04/06/2022,Cash,$0.37,03/02/2022,04/07/2022,05/02/2022,USD
8,01/05/2022,Cash,$0.37,12/01/2021,01/06/2022,01/31/2022,USD
9,10/06/2021,Cash,$0.37,09/22/2021,10/07/2021,11/01/2021,USD
10,07/13/2021,Cash,$0.37,05/25/2021,07/14/2021,08/02/2021,USD
11,04/07/2021,Cash,$0.37,03/04/2021,04/08/2021,05/03/2021,USD
12,01/07/2021,Cash,$0.37,12/09/2020,01/08/2021,02/01/2021,USD
13,10/07/2020,Cash,$0.35,09/23/2020,10/08/2020,11/02/2020,USD
14,07/14/2020,Cash,$0.35,06/24/2020,07/15/2020,08/03/2020,USD
15,04/08/2020,Cash,$0.35,03/25/2020,04/09/2020,04/27/2020,USD
16,01/07/2020,Cash,$0.35,11/22/2019,01/08/2020,01/27/2020,USD
17,10/09/2019,Cash,$0.35,09/26/2019,10/10/2019,10/28/2019,USD
18,07/11/2019,Cash,$0.35,06/27/2019,07/12/2019,07/29/2019,USD
19,04/10/2019,Cash,$0.35,03/28/2019,04/11/2019,04/29/2019,USD
20,01/08/2019,Cash,$0.35,11/30/2018,01/09/2019,01/28/2019,USD
21,10/11/2018,Cash,$0.35,09/27/2018,10/12/2018,10/29/2018,USD
22,07/12/2018,Cash,$0.35,06/28/2018,07/13/2018,07/30/2018,USD
23,04/10/2018,Cash,$0.35,03/21/2018,04/11/2018,04/30/2018,USD
24,01/09/2018,Cash,$0.35,11/16/2017,01/10/2018,01/29/2018,USD
25,10/12/2017,Cash,$0.35,09/27/2017,10/13/2017,10/30/2017,USD
26,07/11/2017,Cash,$0.35,06/27/2017,07/13/2017,07/31/2017,USD
27,04/10/2017,Cash,$0.35,03/22/2017,04/12/2017,05/01/2017,USD
28,01/09/2017,Cash,$0.35,11/17/2016,01/11/2017,01/30/2017,USD
29,10/07/2016,Cash,$0.35,09/01/2016,10/12/2016,10/31/2016,USD
30,07/07/2016,Cash,$0.312,06/22/2016,07/11/2016,08/01/2016,USD
31,04/07/2016,Cash,$0.312,03/23/2016,04/11/2016,05/02/2016,USD
32,01/07/2016,Cash,$0.312,11/19/2015,01/11/2016,02/01/2016,USD
33,10/09/2015,Cash,$0.312,09/28/2015,10/14/2015,11/02/2015,USD
34,07/09/2015,Cash,$0.312,06/25/2015,07/13/2015,08/03/2015,USD
35,04/09/2015,Cash,$0.312,03/25/2015,04/13/2015,05/04/2015,USD
36,01/08/2015,Cash,$0.312,11/19/2014,01/12/2015,02/02/2015,USD
37,10/08/2014,Cash,$0.312,09/22/2014,10/13/2014,11/03/2014,USD
38,07/03/2014,Cash,$0.312,06/25/2014,07/08/2014,08/04/2014,USD
39,04/04/2014,Cash,$0.312,03/26/2014,04/08/2014,04/28/2014,USD
40,01/03/2014,Cash,$0.312,11/20/2013,01/07/2014,01/27/2014,USD
41,10/04/2013,Cash,$0.312,09/25/2013,10/08/2013,10/28/2013,USD
42,07/03/2013,Cash,$0.29,06/26/2013,07/08/2013,07/29/2013,USD
43,12/21/2012,Cash,$0.29,11/14/2012,12/26/2012,01/28/2013,USD
44,12/12/2012,Cash,$0.29,12/04/2012,12/14/2012,12/28/2012,USD
45,10/04/2012,Cash,$0.29,09/24/2012,10/09/2012,10/29/2012,USD
46,07/05/2012,Cash,$0.29,06/27/2012,07/09/2012,07/30/2012,USD
47,04/04/2012,Cash,$0.29,03/22/2012,04/09/2012,04/30/2012,USD
48,12/22/2011,Cash,$0.29,11/16/2011,12/27/2011,01/30/2012,USD
49,10/06/2011,Cash,$0.29,09/22/2011,10/11/2011,10/31/2011,USD
50,07/07/2011,Cash,$0.29,06/23/2011,07/11/2011,08/01/2011,USD
51,04/07/2011,Cash,$0.29,03/24/2011,04/11/2011,05/02/2011,USD
52,12/22/2010,Cash,$0.29,11/18/2010,12/27/2010,01/31/2011,USD
53,10/07/2010,Cash,$0.275,09/23/2010,10/12/2010,11/01/2010,USD
54,07/01/2010,Cash,$0.275,06/24/2010,07/06/2010,08/02/2010,USD
55,03/31/2010,Cash,$0.275,03/25/2010,04/05/2010,05/03/2010,USD
56,10/01/2009,Cash,$0.25,09/24/2009,10/05/2009,11/02/2009,USD
57,07/01/2009,Cash,$0.25,06/25/2009,07/06/2009,08/03/2009,USD
58,04/02/2009,Cash,$0.25,03/25/2009,04/06/2009,05/04/2009,USD
59,12/18/2008,Cash,$0.25,11/20/2008,12/22/2008,02/02/2009,USD
60,10/02/2008,Cash,$0.25,09/25/2008,10/06/2008,11/03/2008,USD
61,07/02/2008,Cash,$0.22,06/26/2008,07/07/2008,08/04/2008,USD
62,04/03/2008,Cash,$0.22,03/27/2008,04/07/2008,04/28/2008,USD
63,12/27/2007,Cash,$0.22,11/15/2007,12/31/2007,01/28/2008,USD
64,10/04/2007,Cash,$0.22,09/27/2007,10/09/2007,10/29/2007,USD
65,07/05/2007,Cash,$0.20,06/28/2007,07/09/2007,07/30/2007,USD
66,04/04/2007,Cash,$0.20,03/22/2007,04/09/2007,04/30/2007,USD
