,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,08/22/2023,Cash,$0.04,08/09/2023,08/23/2023,09/12/2023,USD
1,05/24/2023,Cash,$0.04,05/10/2023,05/25/2023,06/13/2023,USD
2,02/23/2023,Cash,$0.03,02/08/2023,02/24/2023,03/14/2023,USD
3,12/20/2022,Cash,$0.03,12/06/2022,12/21/2022,01/06/2023,USD
4,08/19/2022,Cash,$0.03,08/10/2022,08/22/2022,09/09/2022,USD
5,02/27/2020,Cash,$0.15,02/12/2020,02/28/2020,03/13/2020,USD
6,12/30/2019,Cash,$0.15,12/10/2019,12/31/2019,01/15/2020,USD
7,08/29/2019,Cash,$0.15,08/07/2019,08/30/2019,09/13/2019,USD
8,05/30/2019,Cash,$0.15,05/08/2019,05/31/2019,06/14/2019,USD
9,02/27/2019,Cash,$0.15,02/12/2019,02/28/2019,03/14/2019,USD
10,01/04/2019,Cash,$0.15,12/27/2018,01/07/2019,01/22/2019,USD
11,08/30/2018,Cash,$0.15,08/13/2018,08/31/2018,09/14/2018,USD
12,05/30/2018,Cash,$0.11,05/09/2018,05/31/2018,06/15/2018,USD
13,02/27/2018,Cash,$0.11,02/12/2018,02/28/2018,03/16/2018,USD
14,12/28/2017,Cash,$0.11,12/19/2017,12/29/2017,01/16/2018,USD
15,08/17/2017,Cash,$0.11,08/14/2017,08/21/2017,09/05/2017,USD
16,05/30/2017,Cash,$0.11,05/24/2017,06/01/2017,06/15/2017,USD
17,03/01/2017,Cash,$0.11,02/23/2017,03/03/2017,03/17/2017,USD
18,01/25/2017,Cash,$0.11,01/12/2017,01/27/2017,02/08/2017,USD
19,08/29/2016,Cash,$0.11,08/18/2016,08/31/2016,09/09/2016,USD
20,05/25/2016,Cash,$0.11,05/11/2016,05/27/2016,06/10/2016,USD
21,02/24/2016,Cash,$0.11,02/16/2016,02/26/2016,03/11/2016,USD
22,12/29/2015,Cash,$0.11,12/23/2015,12/31/2015,01/11/2016,USD
23,08/24/2015,Cash,$0.11,08/12/2015,08/26/2015,09/11/2015,USD
24,05/27/2015,Cash,$0.11,05/13/2015,05/29/2015,06/10/2015,USD
25,02/24/2015,Cash,$0.11,02/10/2015,02/26/2015,03/12/2015,USD
26,12/23/2014,Cash,$0.11,N/A,12/28/2014,01/08/2015,USD
27,08/19/2014,Cash,$0.11,08/05/2014,08/21/2014,08/29/2014,USD
28,05/28/2014,Cash,$0.11,05/13/2014,05/30/2014,06/10/2014,USD
29,02/25/2014,Cash,$0.11,02/12/2014,02/27/2014,03/11/2014,USD
30,12/24/2013,Cash,$0.10,12/17/2013,12/27/2013,01/07/2014,USD
31,08/19/2013,Cash,$0.10,08/07/2013,08/21/2013,08/30/2013,USD
32,10/12/2000,Cash,$0.20,N/A,10/12/2000,N/A,USD
