,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/14/2023,Cash,$1.35,10/24/2023,11/15/2023,12/15/2023,USD
1,08/14/2023,Cash,$1.35,07/25/2023,08/15/2023,09/15/2023,USD
2,05/12/2023,Cash,$1.15,04/11/2023,05/15/2023,06/15/2023,USD
3,02/14/2023,Cash,$1.15,01/10/2023,02/15/2023,03/15/2023,USD
4,11/14/2022,Cash,$1.15,10/25/2022,11/15/2022,12/15/2022,USD
5,08/12/2022,Cash,$1.15,07/26/2022,08/15/2022,09/15/2022,USD
6,05/13/2022,Cash,$0.95,04/13/2022,05/16/2022,06/15/2022,USD
7,02/14/2022,Cash,$0.95,01/11/2022,02/15/2022,03/15/2022,USD
8,11/12/2021,Cash,$0.95,10/26/2021,11/15/2021,12/15/2021,USD
9,08/12/2021,Cash,$0.95,07/27/2021,08/13/2021,09/15/2021,USD
10,05/13/2021,Cash,$0.75,04/13/2021,05/15/2021,06/15/2021,USD
11,02/11/2021,Cash,$0.75,01/19/2021,02/15/2021,03/15/2021,USD
12,11/05/2020,Cash,$3.51,10/27/2020,11/06/2020,12/04/2020,USD
13,11/07/2019,Cash,$2.55,10/29/2019,11/08/2019,12/06/2019,USD
14,11/08/2018,Cash,$2.05,10/30/2018,11/09/2018,12/07/2018,USD
15,11/09/2017,Cash,$1.62,10/17/2017,11/10/2017,12/08/2017,USD
16,11/02/2016,Cash,$1.33,10/18/2016,11/04/2016,12/02/2016,USD
17,11/04/2015,Cash,$1.05,10/14/2015,11/06/2015,12/04/2015,USD
18,11/05/2014,Cash,$1.70,10/21/2014,11/07/2014,12/05/2014,USD
19,11/06/2013,Cash,$0.77,10/22/2013,11/08/2013,12/11/2013,USD
20,02/05/2003,Cash,$0.27,N/A,02/05/2003,N/A,USD
21,02/13/2002,Cash,$0.25,N/A,02/13/2002,N/A,USD
22,01/31/2001,Cash,$0.22,N/A,01/31/2001,N/A,USD
23,02/02/2000,Cash,$0.28,N/A,02/02/2000,N/A,USD
24,02/03/1999,Cash,$0.22,N/A,02/03/1999,N/A,USD
25,02/04/1998,Cash,$0.18,N/A,02/04/1998,N/A,USD
26,03/05/1997,Cash,$0.30,N/A,03/05/1997,N/A,USD
27,03/06/1996,Cash,$0.25,N/A,03/06/1996,N/A,USD
28,03/06/1995,Cash,$0.20,N/A,03/06/1995,N/A,USD
29,03/07/1994,Cash,$0.17,N/A,03/07/1994,N/A,USD
30,03/03/1993,Cash,$0.14,N/A,03/03/1993,N/A,USD
31,03/03/1992,Cash,$0.22,N/A,03/03/1992,N/A,USD
32,03/11/1991,Cash,$0.285,N/A,03/11/1991,N/A,USD
33,03/12/1990,Cash,$0.23,N/A,03/12/1990,N/A,USD
34,03/13/1989,Cash,$0.17,N/A,03/13/1989,N/A,USD
