,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/26/2023,Cash,$0.10,09/01/2023,09/27/2023,10/11/2023,USD
1,06/26/2023,Cash,$0.10,06/05/2023,06/27/2023,07/11/2023,USD
2,03/23/2023,Cash,$0.10,03/12/2023,03/24/2023,04/06/2023,USD
3,11/15/2022,Cash,$0.2875,11/01/2022,11/16/2022,12/14/2022,USD
4,11/10/2021,Cash,$1.15,10/28/2021,11/12/2021,12/03/2021,USD
5,11/12/2020,Cash,$1.15,10/26/2020,11/13/2020,12/04/2020,USD
6,11/14/2019,Cash,$1.10,10/01/2019,11/15/2019,12/06/2019,USD
7,11/15/2018,Cash,$1.00,10/02/2018,11/16/2018,12/07/2018,USD
8,11/16/2017,Cash,$0.95,10/04/2017,11/17/2017,12/08/2017,USD
9,11/15/2016,Cash,$0.90,09/22/2016,11/17/2016,12/08/2016,USD
10,11/13/2015,Cash,$0.80,10/29/2015,11/17/2015,12/08/2015,USD
11,11/13/2014,Cash,$0.75,N/A,11/17/2014,12/08/2014,USD
12,11/26/2013,Cash,$0.70,10/23/2013,11/29/2013,12/12/2013,USD
13,11/13/2002,Cash,$0.20,N/A,11/13/2002,N/A,USD
