,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/02/2023,Cash,$0.05,09/19/2023,10/03/2023,10/17/2023,USD
1,06/26/2023,Cash,$0.05,06/16/2023,06/27/2023,07/11/2023,USD
2,03/30/2023,Cash,$0.05,03/16/2023,03/31/2023,04/14/2023,USD
3,12/12/2022,Cash,$0.05,11/17/2022,12/13/2022,12/28/2022,USD
4,09/21/2022,Cash,$0.05,08/25/2022,09/22/2022,10/06/2022,USD
5,06/21/2022,Cash,$0.05,05/20/2022,06/22/2022,07/06/2022,USD
6,04/21/2022,Cash,$0.05,04/08/2022,04/22/2022,05/06/2022,USD
7,03/27/2020,Cash,$0.10,03/17/2020,03/30/2020,04/10/2020,USD
8,12/19/2019,Cash,$0.25,12/10/2019,12/20/2019,01/03/2020,USD
9,09/19/2019,Cash,$0.25,08/29/2019,09/20/2019,10/04/2019,USD
10,06/18/2019,Cash,$0.25,05/30/2019,06/19/2019,07/05/2019,USD
11,03/29/2019,Cash,$0.25,03/19/2019,04/01/2019,04/12/2019,USD
12,12/20/2018,Cash,$0.25,12/11/2018,12/21/2018,01/04/2019,USD
13,09/21/2018,Cash,$0.25,08/28/2018,09/24/2018,10/05/2018,USD
14,06/20/2018,Cash,$0.25,05/30/2018,06/21/2018,07/05/2018,USD
15,03/22/2018,Cash,$0.25,03/13/2018,03/23/2018,04/06/2018,USD
16,12/14/2017,Cash,$0.20,11/15/2017,12/15/2017,12/29/2017,USD
17,09/18/2017,Cash,$0.20,08/02/2017,09/19/2017,09/29/2017,USD
18,06/13/2017,Cash,$0.20,05/24/2017,06/15/2017,06/29/2017,USD
19,03/15/2017,Cash,$0.20,02/28/2017,03/17/2017,03/31/2017,USD
20,12/14/2016,Cash,$0.20,11/22/2016,12/16/2016,12/30/2016,USD
21,09/14/2016,Cash,$0.20,08/30/2016,09/16/2016,09/30/2016,USD
22,06/14/2016,Cash,$0.20,05/24/2016,06/16/2016,06/30/2016,USD
23,03/30/2016,Cash,$0.20,03/15/2016,04/01/2016,04/15/2016,USD
24,12/16/2015,Cash,$0.20,11/24/2015,12/18/2015,12/31/2015,USD
25,09/16/2015,Cash,$0.20,08/25/2015,09/18/2015,09/30/2015,USD
26,06/17/2015,Cash,$0.20,05/22/2015,06/19/2015,06/30/2015,USD
27,03/18/2015,Cash,$0.20,02/17/2015,03/20/2015,03/31/2015,USD
28,12/17/2014,Cash,$0.1875,11/25/2014,12/19/2014,12/31/2014,USD
29,09/17/2014,Cash,$0.1875,08/26/2014,09/19/2014,09/30/2014,USD
30,06/18/2014,Cash,$0.1875,05/27/2014,06/20/2014,06/30/2014,USD
31,04/02/2014,Cash,$0.1875,03/18/2014,04/04/2014,04/15/2014,USD
32,12/17/2013,Cash,$0.125,11/26/2013,12/19/2013,12/31/2013,USD
33,09/18/2013,Cash,$0.25,08/22/2013,09/20/2013,09/30/2013,USD
34,06/14/2013,Cash,$0.25,05/29/2013,06/18/2013,06/28/2013,USD
35,12/13/2012,Cash,$0.18,12/04/2012,12/17/2012,12/28/2012,USD
36,10/12/2012,Cash,$2.00,09/12/2012,10/16/2012,10/26/2012,USD
37,09/14/2012,Cash,$0.18,08/17/2012,09/18/2012,09/28/2012,USD
38,06/15/2012,Cash,$0.18,05/22/2012,06/19/2012,06/29/2012,USD
39,03/16/2012,Cash,$0.15,03/01/2012,03/20/2012,03/30/2012,USD
40,12/15/2011,Cash,$0.15,11/17/2011,12/19/2011,12/30/2011,USD
41,09/16/2011,Cash,$2.00,08/10/2011,09/20/2011,09/30/2011,USD
42,09/16/2011,Cash,$0.15,08/10/2011,09/20/2011,09/30/2011,USD
43,06/15/2003,Cash,$0.35807,N/A,N/A,06/15/2003,USD
44,03/12/2003,Cash,$0.429688,N/A,03/15/2003,03/31/2003,USD
45,12/11/2002,Cash,$0.429688,N/A,12/15/2002,12/31/2002,USD
46,09/11/2002,Cash,$0.429688,N/A,09/15/2002,09/30/2002,USD
47,06/12/2002,Cash,$0.429688,N/A,06/15/2002,07/01/2002,USD
48,03/13/2002,Cash,$0.429688,N/A,03/15/2002,04/01/2002,USD
49,12/12/2001,Cash,$0.429688,N/A,12/15/2001,12/31/2001,USD
50,09/12/2001,Cash,$0.429688,N/A,09/15/2001,10/01/2001,USD
51,06/13/2001,Cash,$0.429688,N/A,06/15/2001,07/02/2001,USD
52,03/13/2001,Cash,$0.429688,N/A,03/15/2001,04/02/2001,USD
53,12/13/2000,Cash,$0.429688,N/A,12/15/2000,01/02/2001,USD
54,09/13/2000,Cash,$0.429688,N/A,09/15/2000,10/02/2000,USD
55,06/13/2000,Cash,$0.429688,N/A,06/15/2000,06/30/2000,USD
56,03/13/2000,Cash,$0.429688,N/A,03/15/2000,03/31/2000,USD
57,12/13/1999,Cash,$0.429688,N/A,12/15/1999,12/31/1999,USD
58,09/13/1999,Cash,$0.429688,N/A,09/15/1999,09/30/1999,USD
59,06/11/1999,Cash,$0.429688,N/A,06/15/1999,06/30/1999,USD
60,03/11/1999,Cash,$0.429688,02/17/1999,03/15/1999,03/31/1999,USD
61,12/11/1998,Cash,$0.429688,11/23/1998,12/15/1998,12/31/1998,USD
62,09/11/1998,Cash,$0.429688,08/28/1998,09/15/1998,09/30/1998,USD
63,06/11/1998,Cash,$0.525174,06/03/1998,06/15/1998,06/30/1998,USD
