,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,08/14/2023,Cash,$0.25,07/28/2023,08/15/2023,08/30/2023,USD
1,06/06/2023,Cash,$0.25,05/24/2023,06/07/2023,06/23/2023,USD
2,02/09/2023,Cash,$0.23,01/26/2023,02/10/2023,02/27/2023,USD
3,12/02/2022,Cash,$0.23,11/18/2022,12/05/2022,12/20/2022,USD
4,08/15/2022,Cash,$0.23,07/29/2022,08/16/2022,08/31/2022,USD
5,06/08/2022,Cash,$0.23,05/25/2022,06/09/2022,06/24/2022,USD
6,02/10/2022,Cash,$0.22,01/27/2022,02/11/2022,02/25/2022,USD
7,12/06/2021,Cash,$0.22,11/19/2021,12/07/2021,12/22/2021,USD
8,08/13/2021,Cash,$0.22,07/30/2021,08/16/2021,08/31/2021,USD
9,06/09/2021,Cash,$0.22,05/26/2021,06/10/2021,06/25/2021,USD
10,02/10/2021,Cash,$0.21,01/28/2021,02/11/2021,02/26/2021,USD
11,12/04/2020,Cash,$0.21,11/20/2020,12/07/2020,12/22/2020,USD
12,08/14/2020,Cash,$0.21,07/31/2020,08/17/2020,08/31/2020,USD
13,06/12/2020,Cash,$0.21,05/29/2020,06/15/2020,06/30/2020,USD
14,02/13/2020,Cash,$0.21,01/30/2020,02/14/2020,02/28/2020,USD
15,12/09/2019,Cash,$0.21,11/23/2019,12/10/2019,12/27/2019,USD
16,08/12/2019,Cash,$0.21,07/27/2019,08/13/2019,08/29/2019,USD
17,06/12/2019,Cash,$0.21,06/01/2019,06/13/2019,06/28/2019,USD
18,02/08/2019,Cash,$0.19,01/28/2019,02/11/2019,02/28/2019,USD
19,12/10/2018,Cash,$0.19,12/01/2018,12/11/2018,12/21/2018,USD
20,08/13/2018,Cash,$0.19,07/28/2018,08/14/2018,08/30/2018,USD
21,06/08/2018,Cash,$0.19,05/24/2018,06/11/2018,06/28/2018,USD
22,02/13/2018,Cash,$0.18,01/26/2018,02/14/2018,03/06/2018,USD
23,12/05/2017,Cash,$0.18,11/17/2017,12/06/2017,12/21/2017,USD
24,08/11/2017,Cash,$0.18,07/28/2017,08/15/2017,08/31/2017,USD
25,06/08/2017,Cash,$0.175,05/24/2017,06/12/2017,06/28/2017,USD
26,02/10/2017,Cash,$0.175,01/27/2017,02/14/2017,03/03/2017,USD
27,12/02/2016,Cash,$0.175,11/18/2016,12/06/2016,12/21/2016,USD
28,08/11/2016,Cash,$0.175,07/29/2016,08/15/2016,08/31/2016,USD
29,06/08/2016,Cash,$0.175,05/25/2016,06/10/2016,06/29/2016,USD
30,02/11/2016,Cash,$0.17,01/28/2016,02/16/2016,03/02/2016,USD
31,12/04/2015,Cash,$0.17,11/20/2015,12/08/2015,12/23/2015,USD
32,08/17/2015,Cash,$0.17,07/31/2015,08/19/2015,09/03/2015,USD
33,06/12/2015,Cash,$0.17,05/29/2015,06/16/2015,07/02/2015,USD
34,02/12/2015,Cash,$0.165,01/30/2015,02/17/2015,03/05/2015,USD
35,12/04/2014,Cash,$0.165,11/21/2014,12/08/2014,12/19/2014,USD
36,08/13/2014,Cash,$0.165,07/25/2014,08/15/2014,09/05/2014,USD
37,06/04/2014,Cash,$0.165,05/21/2014,06/06/2014,06/20/2014,USD
38,02/14/2014,Cash,$0.14,01/31/2014,02/19/2014,03/07/2014,USD
39,12/05/2013,Cash,$0.14,11/22/2013,12/09/2013,12/20/2013,USD
40,08/14/2013,Cash,$0.13,07/26/2013,08/16/2013,09/06/2013,USD
41,06/05/2013,Cash,$0.13,05/22/2013,06/07/2013,06/21/2013,USD
42,02/13/2013,Cash,$0.10,01/25/2013,02/15/2013,03/08/2013,USD
43,12/04/2012,Cash,$0.09,11/16/2012,12/06/2012,12/21/2012,USD
44,08/15/2012,Cash,$0.09,07/27/2012,08/17/2012,09/07/2012,USD
45,06/06/2012,Cash,$0.09,05/23/2012,06/08/2012,06/29/2012,USD
46,12/01/2011,Cash,$0.15,11/18/2011,12/05/2011,12/16/2011,USD
47,08/22/2011,Cash,$0.15,07/29/2011,08/24/2011,09/16/2011,USD
48,06/08/2011,Cash,$0.15,05/24/2011,06/10/2011,06/24/2011,USD
49,02/23/2011,Cash,$0.13,01/28/2011,02/25/2011,03/18/2011,USD
50,12/02/2010,Cash,$0.13,11/19/2010,12/06/2010,12/17/2010,USD
51,08/18/2010,Cash,$0.125,07/30/2010,08/20/2010,09/10/2010,USD
52,06/08/2010,Cash,$0.12,05/26/2010,06/10/2010,06/25/2010,USD
53,03/03/2010,Cash,$0.12,02/24/2010,03/05/2010,03/19/2010,USD
54,05/27/2009,Cash,$0.115,05/19/2009,05/29/2009,06/12/2009,USD
55,02/18/2009,Cash,$0.115,01/30/2009,02/20/2009,03/13/2009,USD
56,12/03/2008,Cash,$0.115,11/21/2008,12/05/2008,12/19/2008,USD
57,08/20/2008,Cash,$0.11,07/25/2008,08/22/2008,09/12/2008,USD
58,05/28/2008,Cash,$0.11,05/20/2008,05/30/2008,06/13/2008,USD
59,02/20/2008,Cash,$0.11,01/25/2008,02/22/2008,03/14/2008,USD
60,11/21/2007,Cash,$0.10,11/16/2007,11/26/2007,12/07/2007,USD
61,08/15/2007,Cash,$0.10,07/27/2007,08/17/2007,09/07/2007,USD
62,05/30/2007,Cash,$0.09,05/23/2007,06/01/2007,06/15/2007,USD
