,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/08/2024,Cash,$0.59,12/06/2023,01/09/2024,01/23/2024,USD
1,10/06/2023,Cash,$0.59,08/30/2023,10/10/2023,10/24/2023,USD
2,07/10/2023,Cash,$0.59,05/30/2023,07/11/2023,07/25/2023,USD
3,04/10/2023,Cash,$0.59,03/16/2023,04/11/2023,04/25/2023,USD
4,12/30/2022,Cash,$0.55,11/30/2022,01/03/2023,01/17/2023,USD
5,10/03/2022,Cash,$0.55,08/23/2022,10/04/2022,10/18/2022,USD
6,07/01/2022,Cash,$0.55,05/25/2022,07/05/2022,07/19/2022,USD
7,04/04/2022,Cash,$0.55,03/16/2022,04/05/2022,04/19/2022,USD
8,01/03/2022,Cash,$0.42,12/02/2021,01/04/2022,01/18/2022,USD
9,10/04/2021,Cash,$0.42,08/25/2021,10/05/2021,10/19/2021,USD
10,07/02/2021,Cash,$0.42,05/25/2021,07/06/2021,07/20/2021,USD
11,04/05/2021,Cash,$0.42,03/16/2021,04/06/2021,04/20/2021,USD
12,01/04/2021,Cash,$0.36,12/02/2020,01/05/2021,01/19/2021,USD
13,10/05/2020,Cash,$0.36,08/25/2020,10/06/2020,10/20/2020,USD
14,07/06/2020,Cash,$0.36,05/28/2020,07/07/2020,07/21/2020,USD
15,04/06/2020,Cash,$0.36,03/11/2020,04/07/2020,04/21/2020,USD
16,01/06/2020,Cash,$0.32,12/05/2019,01/07/2020,01/21/2020,USD
17,10/07/2019,Cash,$0.32,08/30/2019,10/08/2019,10/22/2019,USD
18,07/08/2019,Cash,$0.32,05/31/2019,07/09/2019,07/23/2019,USD
19,04/08/2019,Cash,$0.32,03/15/2019,04/09/2019,04/23/2019,USD
20,01/07/2019,Cash,$0.29,12/05/2018,01/08/2019,01/22/2019,USD
21,10/05/2018,Cash,$0.29,08/30/2018,10/09/2018,10/23/2018,USD
22,07/09/2018,Cash,$0.29,06/01/2018,07/10/2018,07/24/2018,USD
23,04/09/2018,Cash,$0.29,03/14/2018,04/10/2018,04/24/2018,USD
24,01/08/2018,Cash,$0.26,12/05/2017,01/09/2018,01/23/2018,USD
25,01/08/2018,Cash,$0.26,12/05/2017,01/09/2018,01/23/2018,USD
26,10/06/2017,Cash,$0.26,08/30/2017,10/10/2017,10/24/2017,USD
27,07/07/2017,Cash,$0.26,05/31/2017,07/11/2017,07/25/2017,USD
28,04/07/2017,Cash,$0.26,03/15/2017,04/11/2017,04/25/2017,USD
29,12/19/2016,Cash,$0.25,11/30/2016,12/21/2016,01/04/2017,USD
30,09/12/2016,Cash,$0.25,08/24/2016,09/14/2016,09/28/2016,USD
31,06/13/2016,Cash,$0.25,05/24/2016,06/15/2016,06/29/2016,USD
32,03/24/2016,Cash,$0.25,03/08/2016,03/29/2016,04/12/2016,USD
33,12/21/2015,Cash,$0.22,12/03/2015,12/23/2015,01/06/2016,USD
34,09/14/2015,Cash,$0.22,08/27/2015,09/16/2015,09/30/2015,USD
35,06/15/2015,Cash,$0.22,05/28/2015,06/17/2015,07/01/2015,USD
36,04/06/2015,Cash,$0.22,03/10/2015,04/08/2015,04/22/2015,USD
37,04/03/2007,Cash,$0.05,03/20/2007,04/05/2007,04/19/2007,USD
38,01/03/2007,Cash,$0.05,11/29/2006,01/04/2007,01/18/2007,USD
39,10/03/2006,Cash,$0.05,08/29/2006,10/05/2006,10/19/2006,USD
40,07/03/2006,Cash,$0.05,05/31/2006,07/06/2006,07/20/2006,USD
