,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/05/2023,Cash,$0.25,09/15/2023,10/06/2023,11/03/2023,USD
1,07/06/2023,Cash,$0.25,06/16/2023,07/07/2023,08/07/2023,USD
2,04/14/2023,Cash,$0.25,03/27/2023,04/17/2023,05/08/2023,USD
3,01/04/2023,Cash,$0.25,12/15/2022,01/05/2023,02/02/2023,USD
4,10/06/2022,Cash,$0.25,09/16/2022,10/07/2022,11/04/2022,USD
5,07/07/2022,Cash,$0.25,06/17/2022,07/08/2022,08/08/2022,USD
6,04/14/2022,Cash,$0.25,03/28/2022,04/18/2022,05/09/2022,USD
7,01/05/2022,Cash,$0.25,12/20/2021,01/06/2022,02/03/2022,USD
8,10/07/2021,Cash,$0.25,09/17/2021,10/08/2021,11/05/2021,USD
9,07/08/2021,Cash,$0.25,04/20/2021,07/09/2021,08/09/2021,USD
10,04/09/2021,Cash,$0.225,03/22/2021,04/12/2021,05/03/2021,USD
11,01/06/2021,Cash,$0.225,12/17/2020,01/07/2021,02/04/2021,USD
12,10/08/2020,Cash,$0.225,09/18/2020,10/09/2020,11/06/2020,USD
13,07/09/2020,Cash,$0.225,06/19/2020,07/10/2020,08/10/2020,USD
14,04/09/2020,Cash,$0.225,03/23/2020,04/13/2020,05/04/2020,USD
15,01/09/2020,Cash,$0.225,12/21/2019,01/10/2020,02/07/2020,USD
16,10/10/2019,Cash,$0.225,09/23/2019,10/11/2019,11/08/2019,USD
17,07/11/2019,Cash,$0.225,06/22/2019,07/12/2019,08/12/2019,USD
18,04/12/2019,Cash,$0.225,03/26/2019,04/15/2019,05/06/2019,USD
19,01/10/2019,Cash,$0.225,12/22/2018,01/11/2019,02/08/2019,USD
20,10/11/2018,Cash,$0.225,09/25/2018,10/12/2018,11/05/2018,USD
21,07/05/2018,Cash,$0.225,06/15/2018,07/06/2018,08/03/2018,USD
22,04/13/2018,Cash,$0.20,03/26/2018,04/16/2018,05/07/2018,USD
23,01/11/2018,Cash,$0.20,12/21/2017,01/12/2018,02/09/2018,USD
24,01/11/2018,Cash,$0.10,12/22/2017,01/12/2018,02/09/2018,USD
25,10/12/2017,Cash,$0.20,09/22/2017,10/13/2017,11/10/2017,USD
26,07/05/2017,Cash,$0.20,06/19/2017,07/07/2017,08/07/2017,USD
27,04/12/2017,Cash,$0.175,03/27/2017,04/17/2017,05/08/2017,USD
28,01/09/2017,Cash,$0.175,12/16/2016,01/11/2017,02/08/2017,USD
29,10/12/2016,Cash,$0.175,09/27/2016,10/14/2016,11/07/2016,USD
30,07/07/2016,Cash,$1.50,06/20/2016,07/11/2016,08/08/2016,USD
31,04/13/2016,Cash,$0.175,03/31/2016,04/15/2016,05/06/2016,USD
32,01/06/2016,Cash,$0.175,12/18/2015,01/08/2016,02/05/2016,USD
33,10/07/2015,Cash,$0.175,09/18/2015,10/09/2015,11/06/2015,USD
34,07/08/2015,Cash,$0.175,06/19/2015,07/10/2015,08/07/2015,USD
35,04/09/2015,Cash,$0.175,03/27/2015,04/13/2015,05/04/2015,USD
36,01/05/2015,Cash,$0.175,12/22/2014,01/07/2015,02/02/2015,USD
37,10/06/2014,Cash,$0.175,09/22/2014,10/08/2014,11/03/2014,USD
38,07/10/2014,Cash,$0.175,06/26/2014,07/14/2014,08/01/2014,USD
39,04/10/2014,Cash,$0.175,03/28/2014,04/14/2014,05/02/2014,USD
40,01/02/2014,Cash,$0.175,12/20/2013,01/06/2014,01/31/2014,USD
41,10/03/2013,Cash,$0.175,09/20/2013,10/07/2013,11/01/2013,USD
42,07/10/2013,Cash,$0.175,06/27/2013,07/12/2013,08/02/2013,USD
43,12/18/2012,Cash,$0.35,12/10/2012,12/20/2012,12/28/2012,USD
44,10/03/2012,Cash,$0.175,09/21/2012,10/08/2012,10/30/2012,USD
45,07/05/2012,Cash,$0.175,06/28/2012,07/09/2012,08/01/2012,USD
46,04/12/2012,Cash,$0.175,03/30/2012,04/16/2012,05/01/2012,USD
47,01/05/2012,Cash,$0.155,12/16/2011,01/09/2012,01/30/2012,USD
48,10/12/2011,Cash,$0.155,09/22/2011,10/14/2011,11/01/2011,USD
49,07/07/2011,Cash,$0.155,06/30/2011,07/11/2011,08/01/2011,USD
50,04/07/2011,Cash,$0.155,03/31/2011,04/11/2011,05/02/2011,USD
51,01/06/2011,Cash,$0.155,12/17/2010,01/10/2011,01/31/2011,USD
52,10/06/2010,Cash,$0.155,09/17/2010,10/11/2010,11/01/2010,USD
53,07/08/2010,Cash,$0.155,06/30/2010,07/12/2010,08/02/2010,USD
54,04/08/2010,Cash,$0.155,03/31/2010,04/12/2010,05/03/2010,USD
55,01/07/2010,Cash,$0.155,12/18/2009,01/11/2010,02/01/2010,USD
56,10/07/2009,Cash,$0.155,09/18/2009,10/12/2009,11/02/2009,USD
57,07/09/2009,Cash,$0.155,07/01/2009,07/13/2009,08/03/2009,USD
58,04/08/2009,Cash,$0.155,03/30/2009,04/13/2009,05/01/2009,USD
59,01/08/2009,Cash,$0.155,12/19/2008,01/12/2009,02/02/2009,USD
60,10/08/2008,Cash,$0.155,09/19/2008,10/13/2008,10/31/2008,USD
61,07/09/2008,Cash,$0.155,06/26/2008,07/11/2008,08/01/2008,USD
62,04/10/2008,Cash,$0.155,04/01/2008,04/14/2008,05/01/2008,USD
63,01/10/2008,Cash,$0.155,12/20/2007,01/14/2008,02/01/2008,USD
64,10/11/2007,Cash,$0.155,09/21/2007,10/15/2007,11/01/2007,USD
65,07/11/2007,Cash,$0.155,06/29/2007,07/13/2007,08/01/2007,USD
66,04/12/2007,Cash,$0.155,03/30/2007,04/16/2007,05/01/2007,USD
67,01/10/2007,Cash,$0.155,12/21/2006,01/15/2007,02/01/2007,USD
68,10/12/2006,Cash,$0.155,09/29/2006,10/16/2006,11/01/2006,USD
69,07/12/2006,Cash,$0.155,06/30/2006,07/14/2006,08/01/2006,USD
70,04/11/2006,Cash,$0.155,03/10/2006,04/14/2006,05/01/2006,USD
71,10/12/2005,Cash,$0.155,10/04/2005,10/14/2005,11/01/2005,USD
72,07/13/2005,Cash,$0.155,06/16/2005,07/15/2005,08/01/2005,USD
73,04/13/2005,Cash,$0.155,03/15/2005,04/15/2005,05/02/2005,USD
74,01/12/2005,Cash,$0.155,01/05/2005,01/14/2005,02/01/2005,USD
75,10/13/2004,Cash,$0.155,10/01/2004,10/15/2004,11/01/2004,USD
76,07/13/2004,Cash,$0.155,06/17/2004,07/15/2004,08/02/2004,USD
77,04/13/2004,Cash,$0.155,03/15/2004,04/15/2004,05/03/2004,USD
78,01/13/2004,Cash,$0.155,01/07/2004,01/15/2004,02/02/2004,USD
79,10/10/2003,Cash,$0.155,10/07/2003,10/15/2003,11/03/2003,USD
80,07/11/2003,Cash,$0.155,06/19/2003,07/15/2003,08/01/2003,USD
81,04/11/2003,Cash,$0.155,03/17/2003,04/15/2003,05/01/2003,USD
82,01/14/2003,Cash,$0.155,01/03/2003,01/16/2003,02/03/2003,USD
83,10/10/2002,Cash,$0.155,10/08/2002,10/15/2002,11/01/2002,USD
84,07/11/2002,Cash,$0.155,06/20/2002,07/15/2002,08/01/2002,USD
85,04/11/2002,Cash,$0.155,03/08/2002,04/15/2002,05/01/2002,USD
86,01/10/2002,Cash,$0.155,01/04/2002,01/14/2002,02/01/2002,USD
87,10/12/2001,Cash,$0.155,10/09/2001,10/16/2001,11/01/2001,USD
88,07/12/2001,Cash,$0.155,06/21/2001,07/16/2001,08/01/2001,USD
89,04/11/2001,Cash,$0.155,03/16/2001,04/16/2001,05/01/2001,USD
90,01/10/2001,Cash,$0.155,01/05/2001,01/15/2001,02/01/2001,USD
91,10/12/2000,Cash,$0.155,10/10/2000,10/16/2000,11/01/2000,USD
92,07/13/2000,Cash,$0.155,06/15/2000,07/17/2000,08/01/2000,USD
93,04/13/2000,Cash,$0.155,03/14/2000,04/17/2000,05/01/2000,USD
94,01/13/2000,Cash,$0.155,01/11/2000,01/18/2000,02/01/2000,USD
