,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/05/2023,Cash,$0.04,08/03/2023,10/06/2023,10/18/2023,USD
1,10/06/2022,Cash,$0.04,07/28/2022,10/07/2022,10/17/2022,USD
2,09/30/2021,Cash,$0.04,07/26/2021,10/01/2021,10/18/2021,USD
3,10/01/2020,Cash,$0.04,07/31/2020,10/02/2020,10/19/2020,USD
4,09/26/2019,Cash,$0.04,07/31/2019,09/27/2019,10/14/2019,USD
5,09/27/2018,Cash,$0.04,07/28/2018,09/28/2018,10/15/2018,USD
6,09/28/2017,Cash,$0.04,07/14/2017,09/29/2017,10/16/2017,USD
7,09/28/2016,Cash,$0.04,07/19/2016,09/30/2016,10/14/2016,USD
8,09/28/2015,Cash,$0.04,07/23/2015,09/30/2015,10/15/2015,USD
9,09/26/2013,Cash,$0.04,08/07/2013,09/30/2013,10/15/2013,USD
10,09/26/2012,Cash,$0.04,08/08/2012,09/28/2012,10/16/2012,USD
11,09/28/2011,Cash,$0.04,07/15/2011,09/30/2011,10/14/2011,USD
12,09/28/2010,Cash,$0.04,08/03/2010,09/30/2010,10/15/2010,USD
13,09/28/2009,Cash,$0.04,08/05/2009,09/30/2009,10/15/2009,USD
14,09/26/2008,Cash,$0.04,07/16/2008,09/30/2008,10/15/2008,USD
15,09/26/2007,Cash,$0.08,08/10/2007,09/28/2007,10/15/2007,USD
16,09/27/2006,Cash,$0.08,08/31/2006,09/29/2006,10/16/2006,USD
17,09/28/2005,Cash,$0.08,08/02/2005,09/30/2005,10/14/2005,USD
18,05/08/2000,Cash,$0.015,04/17/2000,05/10/2000,05/31/2000,USD
19,02/07/2000,Cash,$0.015,01/13/2000,02/09/2000,02/29/2000,USD
20,11/15/1999,Cash,$0.015,10/26/1999,11/17/1999,11/30/1999,USD
21,08/13/1999,Cash,$0.015,08/03/1999,08/17/1999,08/31/1999,USD
22,05/19/1999,Cash,$0.015,05/11/1999,05/21/1999,06/01/1999,USD
23,02/05/1999,Cash,$0.015,01/12/1999,02/09/1999,02/26/1999,USD
24,11/13/1998,Cash,$0.015,11/03/1998,11/17/1998,11/30/1998,USD
25,08/14/1998,Cash,$0.015,08/06/1998,08/18/1998,08/31/1998,USD
26,05/18/1998,Cash,$0.015,05/05/1998,05/20/1998,06/01/1998,USD
27,02/06/1998,Cash,$0.015,01/09/1998,02/10/1998,02/27/1998,USD
28,11/13/1997,Cash,$0.03,11/04/1997,11/17/1997,12/01/1997,USD
29,08/14/1997,Cash,$0.03,08/05/1997,08/18/1997,08/29/1997,USD
30,05/16/1997,Cash,$0.03,05/08/1997,05/20/1997,06/02/1997,USD
31,02/04/1997,Cash,$0.03,01/10/1997,02/06/1997,02/28/1997,USD
32,11/13/1996,Cash,$0.03,10/31/1996,11/15/1996,11/30/1996,USD
33,08/15/1996,Cash,$0.03,08/08/1996,08/19/1996,08/30/1996,USD
34,05/16/1996,Cash,$0.03,05/08/1996,05/20/1996,05/31/1996,USD
35,02/07/1996,Cash,$0.03,01/15/1996,02/09/1996,02/29/1996,USD
36,11/16/1995,Cash,$0.03,11/07/1995,11/20/1995,11/30/1995,USD
37,08/09/1995,Cash,$0.03,07/21/1995,08/11/1995,08/31/1995,USD
38,05/12/1995,Cash,$0.03,05/04/1995,05/18/1995,05/31/1995,USD
