,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/22/2023,Cash,$0.50,11/27/2023,12/26/2023,01/08/2024,USD
1,10/06/2023,Cash,$0.50,08/14/2023,10/10/2023,10/23/2023,USD
2,06/23/2023,Cash,$0.50,05/29/2023,06/26/2023,07/10/2023,USD
3,04/17/2023,Cash,$0.50,03/27/2023,04/18/2023,05/01/2023,USD
4,12/23/2022,Cash,$0.50,11/28/2022,12/27/2022,01/09/2023,USD
5,10/05/2022,Cash,$0.50,08/15/2022,10/06/2022,10/24/2022,USD
6,06/24/2022,Cash,$0.50,05/23/2022,06/27/2022,07/11/2022,USD
7,04/08/2022,Cash,$0.50,03/28/2022,04/11/2022,04/25/2022,USD
8,12/17/2021,Cash,$0.46,11/22/2021,12/20/2021,01/03/2022,USD
9,08/27/2021,Cash,$0.46,08/11/2021,08/30/2021,09/13/2021,USD
10,06/04/2021,Cash,$0.44,05/25/2021,06/07/2021,06/21/2021,USD
11,04/09/2021,Cash,$0.44,03/23/2021,04/12/2021,04/26/2021,USD
12,12/18/2020,Cash,$0.44,11/24/2020,12/21/2020,01/04/2021,USD
13,08/31/2020,Cash,$0.44,08/13/2020,09/01/2020,09/14/2020,USD
14,06/05/2020,Cash,$0.35,05/27/2020,06/08/2020,06/22/2020,USD
15,04/03/2020,Cash,$0.44,03/24/2020,04/06/2020,04/20/2020,USD
16,12/26/2019,Cash,$0.44,11/26/2019,12/27/2019,01/13/2020,USD
17,09/06/2019,Cash,$0.44,08/15/2019,09/09/2019,09/23/2019,USD
18,06/06/2019,Cash,$0.44,05/28/2019,06/07/2019,06/24/2019,USD
19,03/29/2019,Cash,$0.44,03/19/2019,04/01/2019,04/15/2019,USD
20,12/06/2018,Cash,$0.44,11/20/2018,12/07/2018,12/24/2018,USD
21,08/31/2018,Cash,$0.44,08/16/2018,09/04/2018,09/17/2018,USD
22,06/15/2018,Cash,$0.44,05/29/2018,06/18/2018,07/02/2018,USD
23,04/06/2018,Cash,$0.44,03/20/2018,04/09/2018,04/23/2018,USD
24,11/30/2017,Cash,$0.44,11/14/2017,12/01/2017,12/18/2017,USD
25,08/30/2017,Cash,$0.44,08/15/2017,09/01/2017,09/18/2017,USD
26,05/24/2017,Cash,$0.44,05/16/2017,05/26/2017,06/06/2017,USD
27,03/29/2017,Cash,$0.44,03/22/2017,03/31/2017,04/06/2017,USD
28,11/22/2016,Cash,$0.40,11/17/2016,11/27/2016,12/05/2016,USD
29,08/24/2016,Cash,$0.40,08/16/2016,08/26/2016,09/05/2016,USD
30,05/24/2016,Cash,$0.40,05/17/2016,05/26/2016,06/06/2016,USD
31,03/30/2016,Cash,$0.40,03/22/2016,04/01/2016,04/11/2016,USD
32,11/18/2015,Cash,$0.37,11/11/2015,11/22/2015,12/07/2015,USD
33,08/19/2015,Cash,$0.37,08/11/2015,08/21/2015,09/07/2015,USD
34,05/22/2015,Cash,$0.35,05/18/2015,05/27/2015,06/08/2015,USD
35,03/18/2015,Cash,$0.35,03/11/2015,03/20/2015,04/02/2015,USD
36,11/21/2014,Cash,$0.32,11/13/2014,11/25/2014,12/08/2014,USD
37,08/15/2014,Cash,$0.32,08/06/2014,08/19/2014,09/01/2014,USD
38,05/22/2014,Cash,$0.32,05/13/2014,05/27/2014,06/09/2014,USD
39,03/26/2014,Cash,$0.30,03/19/2014,03/28/2014,04/09/2014,USD
40,11/22/2013,Cash,$0.30,11/14/2013,11/26/2013,12/09/2013,USD
41,08/23/2013,Cash,$0.30,08/13/2013,08/27/2013,09/09/2013,USD
42,11/29/2002,Cash,$0.09,N/A,11/29/2002,N/A,USD
43,08/26/2002,Cash,$0.08,N/A,08/26/2002,N/A,USD
44,05/31/2002,Cash,$0.08,N/A,05/31/2002,N/A,USD
45,04/26/2002,Cash,$0.08,N/A,04/26/2002,N/A,USD
46,06/01/2001,Cash,$0.08,N/A,06/01/2001,N/A,USD
47,04/30/2001,Cash,$0.08,N/A,04/30/2001,N/A,USD
48,12/07/2000,Cash,$0.08,N/A,12/07/2000,N/A,USD
49,12/04/2000,Cash,$0.08,N/A,12/04/2000,N/A,USD
50,06/23/2000,Cash,$0.08,N/A,06/23/2000,N/A,USD
51,05/12/2000,Cash,$0.08,N/A,05/12/2000,N/A,USD
52,04/28/2000,Cash,$0.09,N/A,04/28/2000,N/A,USD
53,12/03/1999,Cash,$0.08,N/A,12/03/1999,N/A,USD
54,06/25/1999,Cash,$0.06,N/A,06/25/1999,N/A,USD
55,04/16/1999,Cash,$0.10,N/A,04/16/1999,N/A,USD
56,12/24/1998,Cash,$0.05,N/A,12/24/1998,N/A,USD
57,08/31/1998,Cash,$0.05,N/A,08/31/1998,N/A,USD
58,07/01/1998,Cash,$0.05,N/A,07/01/1998,N/A,USD
59,04/15/1998,Cash,$0.05,N/A,04/15/1998,N/A,USD
60,12/18/1997,Cash,$0.05,N/A,12/18/1997,N/A,USD
61,09/03/1997,Cash,$0.05,N/A,09/03/1997,N/A,USD
62,06/26/1997,Cash,$0.05,N/A,06/26/1997,N/A,USD
63,05/07/1997,Cash,$0.05,N/A,05/07/1997,N/A,USD
