,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,08/30/2023,Cash,$0.98,08/03/2023,08/31/2023,09/21/2023,USD
1,05/30/2023,Cash,$0.98,05/04/2023,05/31/2023,06/15/2023,USD
2,02/27/2023,Cash,$0.89,02/02/2023,02/28/2023,03/16/2023,USD
3,11/29/2022,Cash,$0.89,11/03/2022,11/30/2022,12/15/2022,USD
4,08/30/2022,Cash,$0.89,08/04/2022,08/31/2022,09/15/2022,USD
5,05/27/2022,Cash,$0.89,04/28/2022,05/31/2022,06/16/2022,USD
6,02/25/2022,Cash,$0.82,02/02/2022,02/28/2022,03/17/2022,USD
7,11/29/2021,Cash,$0.82,11/03/2021,11/30/2021,12/16/2021,USD
8,08/30/2021,Cash,$0.82,08/09/2021,08/31/2021,09/16/2021,USD
9,05/27/2021,Cash,$0.82,05/05/2021,05/31/2021,06/17/2021,USD
10,02/25/2021,Cash,$0.77,02/05/2021,02/26/2021,03/18/2021,USD
11,11/27/2020,Cash,$0.77,11/04/2020,11/30/2020,12/17/2020,USD
12,08/28/2020,Cash,$0.77,08/14/2020,08/31/2020,09/17/2020,USD
13,05/28/2020,Cash,$0.77,05/04/2020,05/29/2020,06/18/2020,USD
14,02/27/2020,Cash,$0.72,02/18/2020,02/28/2020,03/19/2020,USD
15,11/27/2019,Cash,$0.72,11/15/2019,11/29/2019,12/19/2019,USD
16,08/29/2019,Cash,$0.72,08/09/2019,08/31/2019,09/19/2019,USD
17,05/30/2019,Cash,$0.72,05/17/2019,05/31/2019,06/18/2019,USD
18,02/27/2019,Cash,$0.64,02/18/2019,02/28/2019,03/19/2019,USD
19,11/29/2018,Cash,$0.64,11/14/2018,11/30/2018,12/18/2018,USD
20,08/30/2018,Cash,$0.64,08/10/2018,08/31/2018,09/18/2018,USD
21,05/30/2018,Cash,$0.64,05/04/2018,05/31/2018,06/19/2018,USD
22,02/27/2018,Cash,$0.56,02/07/2018,02/28/2018,03/20/2018,USD
23,11/29/2017,Cash,$0.56,10/27/2017,11/30/2017,12/19/2017,USD
24,08/29/2017,Cash,$0.56,08/11/2017,08/31/2017,09/19/2017,USD
25,05/26/2017,Cash,$0.56,05/08/2017,05/31/2017,06/20/2017,USD
26,02/24/2017,Cash,$0.50,02/06/2017,02/28/2017,03/21/2017,USD
27,11/28/2016,Cash,$0.50,11/10/2016,11/30/2016,12/20/2016,USD
28,08/29/2016,Cash,$0.50,08/05/2016,08/31/2016,09/20/2016,USD
29,05/26/2016,Cash,$0.50,05/09/2016,05/31/2016,06/21/2016,USD
30,02/25/2016,Cash,$0.44,02/05/2016,02/29/2016,03/15/2016,USD
31,11/25/2015,Cash,$0.44,11/06/2015,11/30/2015,12/15/2015,USD
32,08/27/2015,Cash,$0.44,08/10/2015,08/31/2015,09/15/2015,USD
33,05/27/2015,Cash,$0.44,05/12/2015,05/29/2015,06/16/2015,USD
34,02/25/2015,Cash,$0.39,02/11/2015,02/27/2015,03/17/2015,USD
35,11/25/2014,Cash,$0.39,11/12/2014,11/28/2014,12/16/2014,USD
36,08/27/2014,Cash,$0.39,08/14/2014,08/29/2014,09/16/2014,USD
37,05/28/2014,Cash,$0.39,05/05/2014,05/30/2014,06/17/2014,USD
38,02/26/2014,Cash,$0.35,02/11/2014,02/28/2014,03/18/2014,USD
39,11/26/2013,Cash,$0.35,11/14/2013,11/29/2013,12/17/2013,USD
40,08/28/2013,Cash,$0.35,08/15/2013,08/30/2013,09/17/2013,USD
41,05/29/2013,Cash,$0.35,05/14/2013,05/31/2013,06/18/2013,USD
42,02/26/2013,Cash,$0.31,02/21/2013,02/28/2013,03/19/2013,USD
43,11/28/2012,Cash,$0.31,11/15/2012,11/30/2012,12/18/2012,USD
44,08/29/2012,Cash,$0.31,08/08/2012,08/31/2012,09/18/2012,USD
45,05/29/2012,Cash,$0.31,05/08/2012,05/31/2012,06/19/2012,USD
46,02/27/2012,Cash,$0.27,02/14/2012,02/29/2012,03/20/2012,USD
47,11/28/2011,Cash,$0.27,11/10/2011,11/30/2011,12/20/2011,USD
48,08/29/2011,Cash,$0.27,08/11/2011,08/31/2011,09/20/2011,USD
49,05/26/2011,Cash,$0.27,05/09/2011,05/31/2011,06/21/2011,USD
50,02/24/2011,Cash,$0.23,02/09/2011,02/28/2011,03/15/2011,USD
51,11/26/2010,Cash,$0.23,11/10/2010,11/30/2010,12/21/2010,USD
52,08/27/2010,Cash,$0.23,08/10/2010,08/31/2010,09/21/2010,USD
53,05/26/2010,Cash,$0.23,05/14/2010,05/28/2010,06/15/2010,USD
54,02/24/2010,Cash,$0.20,02/09/2010,02/26/2010,03/16/2010,USD
55,11/25/2009,Cash,$0.20,11/10/2009,11/30/2009,12/15/2009,USD
56,08/27/2009,Cash,$0.20,08/13/2009,08/31/2009,09/15/2009,USD
57,05/27/2009,Cash,$0.20,05/12/2009,05/29/2009,06/16/2009,USD
58,02/25/2009,Cash,$0.18,02/04/2009,02/27/2009,03/17/2009,USD
59,11/25/2008,Cash,$0.18,11/17/2008,11/28/2008,12/16/2008,USD
60,08/27/2008,Cash,$0.18,08/13/2008,08/29/2008,09/16/2008,USD
61,05/27/2008,Cash,$0.18,05/08/2008,05/29/2008,06/17/2008,USD
62,02/27/2008,Cash,$0.12,02/06/2008,02/29/2008,03/18/2008,USD
63,11/28/2007,Cash,$0.12,11/13/2007,11/30/2007,12/18/2007,USD
64,08/29/2007,Cash,$0.12,08/14/2007,08/31/2007,09/18/2007,USD
65,05/29/2007,Cash,$0.12,03/20/2007,05/31/2007,06/19/2007,USD
66,02/26/2007,Cash,$0.06,02/13/2007,02/28/2007,03/20/2007,USD
67,11/28/2006,Cash,$0.06,11/14/2006,11/30/2006,12/19/2006,USD
68,08/29/2006,Cash,$0.06,08/18/2006,08/31/2006,09/19/2006,USD
69,05/26/2006,Cash,$0.06,05/12/2006,05/31/2006,06/20/2006,USD
70,11/28/2005,Cash,$0.05,11/15/2005,11/30/2005,12/21/2005,USD
71,08/29/2005,Cash,$0.05,08/16/2005,08/31/2005,09/21/2005,USD
72,05/26/2005,Cash,$0.05,05/16/2005,05/31/2005,06/17/2005,USD
73,02/24/2005,Cash,$0.05,01/10/2005,02/28/2005,03/21/2005,USD
74,11/26/2004,Cash,$0.07,11/15/2004,11/30/2004,12/21/2004,USD
75,08/27/2004,Cash,$0.07,08/16/2004,08/31/2004,09/21/2004,USD
76,05/26/2004,Cash,$0.07,04/19/2004,05/31/2004,06/18/2004,USD
77,02/25/2004,Cash,$0.06,02/02/2004,02/27/2004,03/19/2004,USD
78,11/25/2003,Cash,$0.06,11/13/2003,11/28/2003,12/19/2003,USD
