,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/08/2023,Cash,$1.26,08/18/2023,09/11/2023,10/02/2023,USD
1,06/09/2023,Cash,$1.26,04/05/2023,06/12/2023,07/03/2023,USD
2,03/10/2023,Cash,$1.15,02/17/2023,03/13/2023,04/03/2023,USD
3,12/09/2022,Cash,$1.15,11/18/2022,12/12/2022,01/03/2023,USD
4,09/01/2022,Cash,$1.15,08/12/2022,09/02/2022,10/03/2022,USD
5,06/24/2022,Cash,$1.15,06/14/2022,06/27/2022,07/11/2022,USD
6,03/04/2022,Cash,$0.75,02/11/2022,03/07/2022,04/01/2022,USD
7,12/10/2021,Cash,$0.75,11/19/2021,12/13/2021,12/27/2021,USD
8,09/02/2021,Cash,$0.75,08/13/2021,09/03/2021,10/01/2021,USD
9,06/25/2021,Cash,$0.75,06/14/2021,06/28/2021,07/12/2021,USD
10,03/05/2021,Cash,$0.65,02/12/2021,03/08/2021,04/01/2021,USD
11,12/11/2020,Cash,$0.65,11/20/2020,12/14/2020,12/28/2020,USD
12,09/03/2020,Cash,$0.65,08/14/2020,09/04/2020,10/01/2020,USD
13,06/26/2020,Cash,$0.65,06/15/2020,06/29/2020,07/13/2020,USD
14,03/06/2020,Cash,$0.65,02/14/2020,03/09/2020,04/01/2020,USD
15,12/06/2019,Cash,$0.65,11/16/2019,12/09/2019,01/02/2020,USD
16,09/06/2019,Cash,$0.65,08/16/2019,09/09/2019,10/01/2019,USD
17,06/21/2019,Cash,$0.65,06/11/2019,06/24/2019,07/08/2019,USD
18,03/08/2019,Cash,$0.65,02/18/2019,03/11/2019,04/01/2019,USD
19,12/07/2018,Cash,$0.65,11/17/2018,12/10/2018,01/02/2019,USD
20,09/07/2018,Cash,$0.65,08/17/2018,09/10/2018,10/01/2018,USD
21,06/22/2018,Cash,$0.65,06/12/2018,06/25/2018,07/09/2018,USD
22,03/09/2018,Cash,$0.50,02/16/2018,03/12/2018,04/02/2018,USD
23,12/08/2017,Cash,$0.50,11/17/2017,12/11/2017,01/02/2018,USD
24,09/08/2017,Cash,$0.50,08/18/2017,09/11/2017,10/02/2017,USD
25,06/20/2017,Cash,$0.50,06/12/2017,06/22/2017,07/06/2017,USD
26,03/09/2017,Cash,$0.40,02/17/2017,03/13/2017,04/03/2017,USD
27,12/08/2016,Cash,$0.40,11/18/2016,12/12/2016,01/03/2017,USD
28,09/08/2016,Cash,$0.40,08/19/2016,09/12/2016,10/03/2016,USD
29,06/14/2016,Cash,$0.40,06/06/2016,06/16/2016,07/01/2016,USD
30,03/10/2016,Cash,$0.25,02/19/2016,03/14/2016,04/01/2016,USD
31,12/10/2015,Cash,$0.25,11/02/2015,12/14/2015,01/04/2016,USD
32,09/08/2015,Cash,$0.25,08/14/2015,09/10/2015,10/01/2015,USD
33,06/16/2015,Cash,$0.25,06/08/2015,06/18/2015,07/02/2015,USD
34,03/09/2015,Cash,$0.20,02/13/2015,03/11/2015,04/01/2015,USD
35,12/10/2014,Cash,$0.20,11/21/2014,12/12/2014,01/02/2015,USD
36,09/08/2014,Cash,$0.20,08/15/2014,09/10/2014,10/01/2014,USD
37,06/17/2014,Cash,$0.20,06/09/2014,06/19/2014,07/03/2014,USD
38,03/07/2014,Cash,$0.15,02/14/2014,03/11/2014,04/01/2014,USD
39,12/10/2013,Cash,$0.15,11/15/2013,12/12/2013,01/02/2014,USD
40,09/06/2013,Cash,$0.15,08/16/2013,09/10/2013,10/01/2013,USD
41,06/13/2013,Cash,$0.15,06/03/2013,06/17/2013,07/01/2013,USD
42,03/07/2013,Cash,$0.14,02/15/2013,03/11/2013,04/01/2013,USD
43,11/19/2012,Cash,$0.14,11/02/2012,11/21/2012,12/17/2012,USD
44,09/06/2012,Cash,$0.14,08/17/2012,09/10/2012,10/01/2012,USD
45,06/14/2012,Cash,$0.14,06/04/2012,06/18/2012,07/02/2012,USD
46,03/08/2012,Cash,$0.13,02/17/2012,03/12/2012,04/02/2012,USD
47,12/09/2011,Cash,$0.13,11/18/2011,12/13/2011,01/03/2012,USD
48,09/08/2011,Cash,$0.13,08/19/2011,09/12/2011,10/03/2011,USD
49,06/15/2011,Cash,$0.13,06/06/2011,06/17/2011,07/01/2011,USD
50,03/16/2011,Cash,$0.12,02/28/2011,03/18/2011,04/01/2011,USD
51,11/18/2010,Cash,$0.12,11/08/2010,11/22/2010,12/17/2010,USD
52,09/08/2010,Cash,$0.12,08/23/2010,09/10/2010,10/01/2010,USD
53,06/15/2010,Cash,$0.12,06/07/2010,06/17/2010,07/01/2010,USD
54,03/09/2010,Cash,$0.11,02/15/2010,03/11/2010,04/01/2010,USD
55,09/08/2009,Cash,$0.11,08/14/2009,09/10/2009,10/01/2009,USD
56,06/16/2009,Cash,$0.11,06/08/2009,06/18/2009,07/01/2009,USD
57,03/09/2009,Cash,$0.11,02/13/2009,03/11/2009,04/01/2009,USD
58,12/10/2008,Cash,$0.11,11/21/2008,12/12/2008,01/02/2009,USD
59,09/08/2008,Cash,$0.11,08/15/2008,09/10/2008,10/01/2008,USD
60,06/11/2008,Cash,$0.11,06/02/2008,06/13/2008,07/01/2008,USD
61,03/07/2008,Cash,$0.10,02/22/2008,03/11/2008,04/01/2008,USD
62,12/10/2007,Cash,$0.10,11/16/2007,12/12/2007,01/02/2008,USD
63,09/06/2007,Cash,$0.10,08/17/2007,09/10/2007,10/01/2007,USD
64,06/07/2007,Cash,$0.10,05/25/2007,06/11/2007,07/02/2007,USD
65,03/08/2007,Cash,$0.09,02/16/2007,03/12/2007,04/02/2007,USD
66,12/08/2006,Cash,$0.09,11/17/2006,12/12/2006,01/02/2007,USD
67,09/07/2006,Cash,$0.09,08/18/2006,09/11/2006,10/02/2006,USD
68,06/08/2006,Cash,$0.09,05/26/2006,06/12/2006,07/03/2006,USD
69,09/08/2005,Cash,$0.08,08/19/2005,09/12/2005,10/03/2005,USD
70,06/08/2005,Cash,$0.08,05/27/2005,06/10/2005,07/01/2005,USD
71,03/09/2005,Cash,$0.07,02/18/2005,03/11/2005,04/01/2005,USD
72,12/09/2004,Cash,$0.07,11/22/2004,12/13/2004,01/03/2005,USD
73,09/08/2004,Cash,$0.07,08/20/2004,09/10/2004,10/01/2004,USD
74,06/08/2004,Cash,$0.07,05/28/2004,06/10/2004,07/01/2004,USD
75,03/09/2004,Cash,$0.06,02/19/2004,03/11/2004,04/01/2004,USD
76,12/10/2003,Cash,$0.06,12/01/2003,12/12/2003,01/02/2004,USD
77,09/08/2003,Cash,$0.05,08/20/2003,09/10/2003,10/01/2003,USD
78,06/10/2003,Cash,$0.05,06/02/2003,06/12/2003,07/01/2003,USD
79,03/06/2003,Cash,$0.05,02/14/2003,03/10/2003,04/01/2003,USD
80,12/10/2002,Cash,$0.05,12/02/2002,12/12/2002,01/02/2003,USD
81,09/05/2002,Cash,$0.05,08/16/2002,09/09/2002,10/01/2002,USD
82,06/13/2002,Cash,$0.05,05/31/2002,06/17/2002,07/08/2002,USD
