,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/14/2023,Cash,$0.79,01/05/2023,12/15/2023,02/06/2024,USD
1,10/05/2023,Cash,$0.75,09/26/2023,10/06/2023,11/15/2023,USD
2,06/15/2023,Cash,$0.75,06/06/2023,06/16/2023,08/04/2023,USD
3,03/16/2023,Cash,$0.75,03/07/2023,03/17/2023,05/05/2023,USD
4,12/15/2022,Cash,$0.75,12/06/2022,12/16/2022,02/03/2023,USD
5,12/15/2022,Cash,$0.75,12/06/2022,12/16/2022,02/03/2023,USD
6,10/27/2022,Cash,$1.91,09/27/2022,10/28/2022,12/08/2022,USD
7,03/24/2022,Cash,$0.84,03/15/2022,03/25/2022,05/06/2022,USD
8,03/25/2021,Cash,$1.80,03/16/2021,03/26/2021,05/11/2021,USD
9,03/25/2021,Cash,$0.729,03/16/2021,03/26/2021,05/11/2021,USD
10,10/23/2019,Cash,$0.1451,N/A,10/25/2019,11/28/2019,USD
11,04/03/2019,Cash,$0.631,N/A,04/05/2019,04/30/2019,USD
12,04/05/2018,Cash,$0.574,03/27/2018,04/06/2018,04/27/2018,USD
