,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/12/2023,Cash,$0.40,08/15/2023,10/13/2023,10/27/2023,USD
1,07/13/2023,Cash,$0.40,05/17/2023,07/14/2023,07/28/2023,USD
2,04/13/2023,Cash,$0.40,02/15/2023,04/14/2023,04/28/2023,USD
3,01/12/2023,Cash,$0.40,11/14/2022,01/13/2023,01/27/2023,USD
4,10/13/2022,Cash,$0.40,08/15/2022,10/14/2022,10/28/2022,USD
5,07/14/2022,Cash,$0.40,05/17/2022,07/15/2022,07/29/2022,USD
6,04/13/2022,Cash,$0.40,02/25/2022,04/14/2022,04/29/2022,USD
7,01/13/2022,Cash,$0.30,11/15/2021,01/14/2022,01/28/2022,USD
8,10/14/2021,Cash,$0.30,08/16/2021,10/15/2021,10/29/2021,USD
9,07/15/2021,Cash,$0.20,05/18/2021,07/16/2021,07/30/2021,USD
10,04/15/2021,Cash,$0.20,02/17/2021,04/16/2021,04/30/2021,USD
11,01/14/2021,Cash,$0.15,11/17/2020,01/15/2021,01/29/2021,USD
12,10/15/2020,Cash,$0.15,08/20/2020,10/16/2020,10/30/2020,USD
13,04/16/2020,Cash,$0.40,02/19/2020,04/17/2020,05/01/2020,USD
14,01/16/2020,Cash,$0.38,11/20/2019,01/17/2020,01/31/2020,USD
15,10/17/2019,Cash,$0.38,08/21/2019,10/18/2019,11/01/2019,USD
16,07/18/2019,Cash,$0.38,05/22/2019,07/19/2019,08/02/2019,USD
17,04/17/2019,Cash,$0.38,02/21/2019,04/18/2019,05/03/2019,USD
18,01/17/2019,Cash,$0.345,11/20/2018,01/18/2019,02/01/2019,USD
19,10/18/2018,Cash,$0.345,08/22/2018,10/19/2018,11/02/2018,USD
20,07/19/2018,Cash,$0.345,05/23/2018,07/20/2018,08/03/2018,USD
21,04/19/2018,Cash,$0.345,02/20/2018,04/20/2018,05/04/2018,USD
22,01/18/2018,Cash,$0.31,11/15/2017,01/19/2018,02/02/2018,USD
23,10/12/2017,Cash,$0.31,08/16/2017,10/13/2017,10/27/2017,USD
24,07/12/2017,Cash,$0.31,05/16/2017,07/14/2017,07/28/2017,USD
25,04/11/2017,Cash,$0.31,02/15/2017,04/13/2017,04/28/2017,USD
26,01/11/2017,Cash,$0.275,11/16/2016,01/13/2017,01/27/2017,USD
27,10/12/2016,Cash,$0.275,08/17/2016,10/14/2016,10/28/2016,USD
28,07/13/2016,Cash,$0.275,05/18/2016,07/15/2016,07/29/2016,USD
29,04/13/2016,Cash,$0.275,02/17/2016,04/15/2016,04/29/2016,USD
30,01/13/2016,Cash,$0.25,11/18/2015,01/15/2016,01/29/2016,USD
31,10/14/2015,Cash,$0.25,08/19/2015,10/16/2015,10/30/2015,USD
32,07/15/2015,Cash,$0.25,05/20/2015,07/17/2015,07/31/2015,USD
33,04/15/2015,Cash,$0.25,02/18/2015,04/17/2015,05/01/2015,USD
34,01/14/2015,Cash,$0.22,11/19/2014,01/16/2015,01/30/2015,USD
35,10/15/2014,Cash,$0.22,08/18/2014,10/17/2014,10/31/2014,USD
36,07/16/2014,Cash,$0.22,05/21/2014,07/18/2014,08/01/2014,USD
37,04/15/2014,Cash,$0.22,02/18/2014,04/17/2014,05/02/2014,USD
38,01/15/2014,Cash,$0.20,11/20/2013,01/17/2014,01/31/2014,USD
39,10/16/2013,Cash,$0.20,08/21/2013,10/18/2013,11/01/2013,USD
40,07/17/2013,Cash,$0.20,05/15/2013,07/19/2013,08/02/2013,USD
41,04/17/2013,Cash,$0.20,02/20/2013,04/19/2013,05/03/2013,USD
42,01/16/2013,Cash,$0.18,11/14/2012,01/18/2013,02/01/2013,USD
43,10/10/2012,Cash,$0.18,08/15/2012,10/12/2012,10/26/2012,USD
44,07/11/2012,Cash,$0.18,05/16/2012,07/13/2012,07/27/2012,USD
