,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/14/2023,Cash,$0.30,11/29/2023,12/15/2023,12/29/2023,USD
1,09/14/2023,Cash,$0.80,08/23/2023,09/15/2023,09/29/2023,USD
2,06/15/2023,Cash,$0.70,05/31/2023,06/16/2023,06/30/2023,USD
3,03/15/2023,Cash,$0.77,02/28/2023,03/16/2023,03/31/2023,USD
4,09/15/2022,Cash,$0.15,08/25/2022,09/16/2022,10/03/2022,USD
5,09/10/2020,Cash,$0.50,08/26/2020,09/11/2020,09/29/2020,USD
6,06/03/2020,Cash,$0.70,05/20/2020,06/04/2020,06/22/2020,USD
7,03/12/2020,Cash,$0.40,02/27/2020,03/13/2020,03/26/2020,USD
8,12/10/2019,Cash,$0.10,11/27/2019,12/11/2019,12/20/2019,USD
9,06/08/2017,Cash,$0.15,05/30/2017,06/12/2017,06/21/2017,USD
10,03/09/2017,Cash,$0.15,02/28/2017,03/13/2017,03/23/2017,USD
11,12/13/2016,Cash,$0.10,11/29/2016,12/15/2016,12/22/2016,USD
12,09/08/2016,Cash,$0.20,08/31/2016,09/12/2016,09/19/2016,USD
13,06/09/2016,Cash,$0.40,05/31/2016,06/13/2016,06/20/2016,USD
14,03/09/2016,Cash,$0.35,03/01/2016,03/11/2016,03/18/2016,USD
15,12/16/2015,Cash,$0.05,12/01/2015,12/18/2015,12/30/2015,USD
16,09/07/2011,Cash,$0.02,08/25/2011,09/09/2011,09/26/2011,USD
17,06/06/2011,Cash,$0.10,05/24/2011,06/08/2011,06/28/2011,USD
18,03/07/2011,Cash,$0.10,02/21/2011,03/09/2011,03/23/2011,USD
19,12/03/2010,Cash,$0.25,11/23/2010,12/07/2010,12/21/2010,USD
20,09/08/2010,Cash,$0.75,08/26/2010,09/10/2010,09/24/2010,USD
21,06/02/2010,Cash,$0.75,05/20/2010,06/04/2010,06/21/2010,USD
22,03/05/2010,Cash,$0.25,02/25/2010,03/09/2010,03/30/2010,USD
23,09/09/2009,Cash,$0.25,08/27/2009,09/11/2009,09/24/2009,USD
24,06/05/2009,Cash,$0.25,05/27/2009,06/09/2009,06/23/2009,USD
25,03/09/2009,Cash,$0.25,02/25/2009,03/11/2009,03/27/2009,USD
26,12/05/2008,Cash,$0.50,11/27/2008,12/09/2008,12/22/2008,USD
27,09/02/2008,Cash,$3.00,08/20/2008,09/04/2008,09/19/2008,USD
28,06/02/2008,Cash,$2.75,05/21/2008,06/04/2008,06/25/2008,USD
29,02/22/2008,Cash,$2.00,02/13/2008,02/26/2008,03/10/2008,USD
30,11/26/2007,Cash,$1.50,N/A,11/28/2007,12/12/2007,USD
31,10/10/2007,Cash,$1.75,N/A,10/12/2007,10/24/2007,USD
32,10/10/2007,Cash,$1.50,N/A,10/12/2007,10/24/2007,USD
33,06/06/2007,Cash,$1.50,N/A,06/08/2007,06/22/2007,USD
34,03/06/2007,Cash,$2.05,N/A,03/08/2007,03/22/2007,USD
35,12/05/2006,Cash,$2.50,N/A,12/07/2006,12/21/2006,USD
36,08/29/2006,Cash,$1.50,N/A,08/31/2006,09/18/2006,USD
37,06/08/2006,Cash,$1.50,N/A,06/12/2006,06/26/2006,USD
38,11/25/2005,Cash,$1.50,N/A,11/29/2005,12/13/2005,USD
39,09/01/2005,Cash,$2.00,N/A,09/06/2005,09/20/2005,USD
40,06/08/2005,Cash,$3.10,N/A,06/10/2005,06/24/2005,USD
41,03/03/2005,Cash,$3.50,N/A,03/07/2005,03/18/2005,USD
42,12/23/2004,Cash,$1.80,N/A,12/10/2004,01/04/2005,USD
43,11/23/2004,Cash,$2.50,N/A,11/26/2004,12/17/2004,USD
44,08/26/2004,Cash,$1.60,N/A,08/30/2004,09/13/2004,USD
45,06/17/2004,Cash,$4.75,N/A,06/07/2004,06/16/2004,USD
46,06/17/2004,Cash,$0.25,N/A,06/07/2004,06/16/2004,USD
47,03/10/2004,Cash,$0.75,N/A,03/12/2004,03/29/2004,USD
48,03/10/2004,Cash,$0.25,N/A,03/12/2004,03/29/2004,USD
49,11/28/2003,Cash,$1.05,N/A,12/02/2003,12/12/2003,USD
50,11/28/2003,Cash,$0.25,N/A,12/02/2003,12/12/2003,USD
51,08/14/2003,Cash,$0.85,N/A,08/18/2003,09/02/2003,USD
52,08/14/2003,Cash,$0.25,N/A,08/18/2003,09/02/2003,USD
53,06/19/2003,Cash,$1.00,06/09/2003,06/23/2003,07/07/2003,USD
54,05/16/2003,Cash,$0.75,05/08/2003,05/20/2003,06/06/2003,USD
55,05/16/2003,Cash,$0.25,05/08/2003,05/20/2003,06/06/2003,USD
56,03/06/2003,Cash,$0.15,02/24/2003,03/10/2003,03/24/2003,USD
57,05/29/2002,Cash,$0.05,05/21/2002,05/31/2002,06/12/2002,USD
58,07/13/1999,Cash,$0.05,06/28/1999,07/15/1999,08/02/1999,USD
59,04/13/1999,Cash,$0.05,03/22/1999,04/15/1999,05/03/1999,USD
60,01/13/1999,Cash,$0.2225,12/15/1998,01/15/1999,02/01/1999,USD
61,10/13/1998,Cash,$0.2225,08/24/1998,10/15/1998,11/02/1998,USD
62,07/13/1998,Cash,$0.2225,06/15/1998,07/15/1998,08/03/1998,USD
63,04/13/1998,Cash,$0.2225,03/23/1998,04/15/1998,05/01/1998,USD
64,01/13/1998,Cash,$0.2225,12/15/1997,01/15/1998,02/02/1998,USD
65,10/10/1997,Cash,$0.2175,09/15/1997,10/15/1997,11/03/1997,USD
66,07/11/1997,Cash,$0.2175,06/17/1997,07/15/1997,08/01/1997,USD
67,04/11/1997,Cash,$0.2175,03/21/1997,04/15/1997,05/01/1997,USD
68,01/13/1997,Cash,$0.2175,11/19/1996,01/15/1997,02/03/1997,USD
69,10/10/1996,Cash,$0.2125,09/30/1996,10/15/1996,11/01/1996,USD
70,07/11/1996,Cash,$0.2125,06/17/1996,07/15/1996,08/01/1996,USD
71,04/11/1996,Cash,$0.2125,03/20/1996,04/15/1996,05/01/1996,USD
72,01/10/1996,Cash,$0.2125,11/21/1995,01/15/1996,02/01/1996,USD
73,10/11/1995,Cash,$0.2075,09/22/1995,10/13/1995,11/01/1995,USD
74,07/12/1995,Cash,$0.2075,07/06/1995,07/14/1995,08/01/1995,USD
75,04/07/1995,Cash,$0.2075,04/06/1995,04/14/1995,05/01/1995,USD
76,01/11/1993,Cash,$0.395,12/22/1992,01/15/1993,02/01/1993,USD
77,10/08/1992,Cash,$0.385,09/21/1992,10/15/1992,11/01/1992,USD
78,07/09/1992,Cash,$0.385,06/15/1992,07/15/1992,08/03/1992,USD
79,04/09/1992,Cash,$0.385,03/16/1992,04/15/1992,05/01/1992,USD
80,01/09/1992,Cash,$0.385,12/16/1991,01/15/1992,02/03/1992,USD
81,10/08/1991,Cash,$0.375,09/16/1991,10/15/1991,11/01/1991,USD
82,07/09/1991,Cash,$0.375,06/17/1991,07/15/1991,08/01/1991,USD
83,04/09/1991,Cash,$0.375,03/22/1991,04/15/1991,05/01/1991,USD
84,01/09/1991,Cash,$0.375,12/17/1990,01/15/1991,02/01/1991,USD
85,10/09/1990,Cash,$0.365,09/17/1990,10/15/1990,11/01/1990,USD
86,07/09/1990,Cash,$0.365,06/18/1990,07/13/1990,08/01/1990,USD
87,04/06/1990,Cash,$0.365,03/20/1990,04/12/1990,05/01/1990,USD
88,01/08/1990,Cash,$0.365,12/18/1989,01/15/1990,02/01/1990,USD
89,10/06/1989,Cash,$0.355,09/19/1989,10/13/1989,11/01/1989,USD
90,07/10/1989,Cash,$0.71,06/19/1989,07/14/1989,08/01/1989,USD
91,04/10/1989,Cash,$0.71,03/20/1989,04/14/1989,05/01/1989,USD
92,10/07/1988,Cash,$0.68,09/19/1988,10/14/1988,11/01/1988,USD
93,07/11/1988,Cash,$0.68,06/20/1988,07/15/1988,08/01/1988,USD
94,04/11/1988,Cash,$0.68,03/21/1988,04/15/1988,05/02/1988,USD
95,01/11/1988,Cash,$0.68,12/21/1987,01/15/1988,02/01/1988,USD
96,10/08/1987,Cash,$0.66,09/21/1987,10/15/1987,11/02/1987,USD
97,07/09/1987,Cash,$0.66,06/15/1987,07/15/1987,08/03/1987,USD
98,01/09/1987,Cash,$0.71,12/19/1988,01/13/1989,02/01/1989,USD
