,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/07/2023,Cash,$0.30,10/20/2023,11/08/2023,11/29/2023,USD
1,07/17/2023,Cash,$0.30,06/29/2023,07/18/2023,08/08/2023,USD
2,04/24/2023,Cash,$0.27,04/04/2023,04/25/2023,05/16/2023,USD
3,01/25/2023,Cash,$0.27,01/06/2023,01/26/2023,02/16/2023,USD
4,11/07/2022,Cash,$0.27,10/21/2022,11/08/2022,11/29/2022,USD
5,07/27/2022,Cash,$0.27,07/11/2022,07/28/2022,08/18/2022,USD
6,04/18/2022,Cash,$0.27,03/31/2022,04/19/2022,05/10/2022,USD
7,01/26/2022,Cash,$0.27,01/07/2022,01/27/2022,02/17/2022,USD
8,11/09/2021,Cash,$0.27,10/26/2021,11/11/2021,12/02/2021,USD
9,07/27/2021,Cash,$0.27,07/09/2021,07/28/2021,08/18/2021,USD
10,04/20/2021,Cash,$0.27,04/06/2021,04/21/2021,05/12/2021,USD
11,01/25/2021,Cash,$0.27,01/06/2021,01/26/2021,02/16/2021,USD
12,11/09/2020,Cash,$0.27,10/23/2020,11/11/2020,12/02/2020,USD
13,07/28/2020,Cash,$0.27,07/10/2020,07/29/2020,08/19/2020,USD
14,04/21/2020,Cash,$0.27,04/07/2020,04/22/2020,05/13/2020,USD
15,01/27/2020,Cash,$0.27,01/08/2020,01/28/2020,02/18/2020,USD
16,11/12/2019,Cash,$0.25,10/25/2019,11/13/2019,12/04/2019,USD
17,07/17/2019,Cash,$0.25,07/02/2019,07/18/2019,08/08/2019,USD
18,04/23/2019,Cash,$0.25,04/08/2019,04/24/2019,05/15/2019,USD
19,01/29/2019,Cash,$0.25,01/09/2019,01/30/2019,02/20/2019,USD
20,11/13/2018,Cash,$0.25,10/26/2018,11/14/2018,12/05/2018,USD
21,07/18/2018,Cash,$0.25,06/29/2018,07/19/2018,08/09/2018,USD
22,04/24/2018,Cash,$0.25,04/06/2018,04/25/2018,05/16/2018,USD
23,01/25/2018,Cash,$0.23,01/04/2018,01/26/2018,02/16/2018,USD
24,11/14/2017,Cash,$0.23,10/27/2017,11/15/2017,12/06/2017,USD
25,07/14/2017,Cash,$0.22,06/29/2017,07/18/2017,08/08/2017,USD
26,04/13/2017,Cash,$0.22,03/28/2017,04/18/2017,05/09/2017,USD
27,01/24/2017,Cash,$0.21,01/06/2017,01/26/2017,02/16/2017,USD
28,11/08/2016,Cash,$0.21,10/25/2016,11/10/2016,12/01/2016,USD
29,07/18/2016,Cash,$0.21,07/06/2016,07/20/2016,08/10/2016,USD
30,04/18/2016,Cash,$0.20,04/05/2016,04/20/2016,05/11/2016,USD
31,01/15/2016,Cash,$0.20,01/07/2016,01/20/2016,02/10/2016,USD
32,11/06/2015,Cash,$0.20,10/30/2015,11/11/2015,12/02/2015,USD
33,07/13/2015,Cash,$0.15,07/01/2015,07/15/2015,08/05/2015,USD
34,04/13/2015,Cash,$0.15,04/03/2015,04/15/2015,05/06/2015,USD
35,01/16/2015,Cash,$0.15,01/07/2015,01/21/2015,02/11/2015,USD
36,11/07/2014,Cash,$0.15,10/30/2014,11/12/2014,12/03/2014,USD
37,07/11/2014,Cash,$0.15,07/02/2014,07/15/2014,08/05/2014,USD
38,01/22/2009,Cash,$0.04,01/09/2009,01/26/2009,02/16/2009,USD
39,07/21/2008,Cash,$0.08,07/08/2008,07/23/2008,08/13/2008,USD
40,04/21/2008,Cash,$0.08,04/08/2008,04/23/2008,05/13/2008,USD
41,01/18/2008,Cash,$0.08,01/08/2008,01/23/2008,02/13/2008,USD
42,11/09/2005,Cash,$0.08,11/02/2005,11/14/2005,12/07/2005,USD
43,07/13/2005,Cash,$0.08,06/30/2005,07/15/2005,08/05/2005,USD
44,04/11/2005,Cash,$0.06,03/30/2005,04/13/2005,05/04/2005,USD
45,01/24/2005,Cash,$0.06,01/11/2005,01/26/2005,02/16/2005,USD
46,11/17/2004,Cash,$0.06,11/10/2004,11/19/2004,12/15/2004,USD
47,07/22/2004,Cash,$0.06,07/14/2004,07/26/2004,08/19/2004,USD
48,11/19/2001,Cash,$0.06,11/07/2001,11/21/2001,12/12/2001,USD
49,07/23/2001,Cash,$0.09,07/10/2001,07/25/2001,08/15/2001,USD
50,04/23/2001,Cash,$0.09,04/03/2001,04/25/2001,05/16/2001,USD
51,01/22/2001,Cash,$0.09,01/09/2001,01/24/2001,02/14/2001,USD
52,11/20/2000,Cash,$0.09,11/08/2000,11/22/2000,12/13/2000,USD
53,07/24/2000,Cash,$0.09,07/11/2000,07/26/2000,08/16/2000,USD
54,04/24/2000,Cash,$0.09,04/04/2000,04/26/2000,05/17/2000,USD
55,01/24/2000,Cash,$0.09,01/11/2000,01/26/2000,02/16/2000,USD
56,11/17/1999,Cash,$0.09,11/09/1999,11/19/1999,12/15/1999,USD
57,07/23/1999,Cash,$0.12,07/15/1999,07/27/1999,08/10/1999,USD
58,07/23/1999,Cash,$0.09,07/15/1999,07/27/1999,08/10/1999,USD
59,04/19/1999,Cash,$0.06,04/06/1999,04/21/1999,05/12/1999,USD
60,01/25/1999,Cash,$0.06,01/12/1999,01/27/1999,02/17/1999,USD
61,11/18/1998,Cash,$0.06,10/14/1998,11/20/1998,12/16/1998,USD
62,07/17/1998,Cash,$0.06,07/14/1998,07/21/1998,08/10/1998,USD
63,04/20/1998,Cash,$0.06,04/07/1998,04/22/1998,05/13/1998,USD
