,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/15/2023,Cash,$0.52,12/05/2023,12/18/2023,01/01/2024,USD
1,09/14/2023,Cash,$0.52,08/29/2023,09/15/2023,10/02/2023,USD
2,06/15/2023,Cash,$0.50,06/05/2023,06/19/2023,07/01/2023,USD
3,03/16/2023,Cash,$0.50,02/28/2023,03/17/2023,04/01/2023,USD
4,12/15/2022,Cash,$0.50,12/06/2022,12/16/2022,01/01/2023,USD
5,09/15/2022,Cash,$0.50,08/30/2022,09/16/2022,10/01/2022,USD
6,06/16/2022,Cash,$0.46,06/07/2022,06/17/2022,07/01/2022,USD
7,03/16/2022,Cash,$0.46,03/01/2022,03/17/2022,04/01/2022,USD
8,12/16/2021,Cash,$0.46,12/07/2021,12/17/2021,01/01/2022,USD
9,09/16/2021,Cash,$0.46,08/31/2021,09/17/2021,10/01/2021,USD
10,06/18/2021,Cash,$0.44,06/08/2021,06/21/2021,07/01/2021,USD
11,03/18/2021,Cash,$0.44,02/23/2021,03/19/2021,04/01/2021,USD
12,12/17/2020,Cash,$0.44,12/08/2020,12/18/2020,01/01/2021,USD
13,09/16/2020,Cash,$0.44,08/25/2020,09/17/2020,10/01/2020,USD
14,06/17/2020,Cash,$0.44,06/02/2020,06/18/2020,07/01/2020,USD
15,03/17/2020,Cash,$0.44,02/25/2020,03/18/2020,04/01/2020,USD
16,12/17/2019,Cash,$0.44,12/04/2019,12/18/2019,01/01/2020,USD
17,09/16/2019,Cash,$0.44,08/28/2019,09/17/2019,10/01/2019,USD
18,06/17/2019,Cash,$0.44,06/05/2019,06/18/2019,07/01/2019,USD
19,03/15/2019,Cash,$0.44,02/27/2019,03/18/2019,04/01/2019,USD
20,12/17/2018,Cash,$0.44,12/05/2018,12/18/2018,01/01/2019,USD
21,09/14/2018,Cash,$0.44,08/29/2018,09/17/2018,10/01/2018,USD
22,06/15/2018,Cash,$0.42,06/06/2018,06/18/2018,07/01/2018,USD
