,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/09/2024,Cash,$0.59,11/14/2023,01/10/2024,02/01/2024,USD
1,10/06/2023,Cash,$0.59,09/26/2023,10/10/2023,11/01/2023,USD
2,07/07/2023,Cash,$0.59,06/28/2023,07/10/2023,08/01/2023,USD
3,04/06/2023,Cash,$0.54,01/30/2023,04/10/2023,05/01/2023,USD
4,01/09/2023,Cash,$0.54,11/14/2022,01/10/2023,02/01/2023,USD
5,10/06/2022,Cash,$0.54,N/A,10/10/2022,11/01/2022,USD
6,07/07/2022,Cash,$0.54,06/29/2022,07/08/2022,08/01/2022,USD
7,04/07/2022,Cash,$0.51,01/24/2022,04/08/2022,05/02/2022,USD
8,01/07/2022,Cash,$0.51,11/15/2021,01/10/2022,02/01/2022,USD
9,10/07/2021,Cash,$0.51,09/27/2021,10/08/2021,11/01/2021,USD
10,07/08/2021,Cash,$0.51,06/29/2021,07/09/2021,08/02/2021,USD
11,04/08/2021,Cash,$0.51,01/25/2021,04/09/2021,05/03/2021,USD
12,01/07/2021,Cash,$0.51,11/09/2020,01/08/2021,02/01/2021,USD
13,10/08/2020,Cash,$0.51,09/23/2020,10/09/2020,11/02/2020,USD
14,07/09/2020,Cash,$0.49,06/30/2020,07/10/2020,08/03/2020,USD
15,04/08/2020,Cash,$0.49,01/27/2020,04/10/2020,05/01/2020,USD
16,01/09/2020,Cash,$0.49,11/19/2019,01/10/2020,02/03/2020,USD
17,10/09/2019,Cash,$0.49,09/25/2019,10/10/2019,11/01/2019,USD
18,07/09/2019,Cash,$0.49,06/26/2019,07/10/2019,08/01/2019,USD
19,04/09/2019,Cash,$0.49,02/06/2019,04/10/2019,05/01/2019,USD
20,01/09/2019,Cash,$0.49,11/07/2018,01/10/2019,02/01/2019,USD
21,10/09/2018,Cash,$0.49,09/26/2018,10/10/2018,11/01/2018,USD
22,07/09/2018,Cash,$0.49,06/27/2018,07/10/2018,08/01/2018,USD
23,04/09/2018,Cash,$0.49,03/19/2018,04/10/2018,05/01/2018,USD
24,01/09/2018,Cash,$0.49,12/20/2017,01/10/2018,02/01/2018,USD
