,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/08/2023,Cash,$0.0075,09/18/2023,12/11/2023,12/26/2023,USD
1,11/10/2023,Cash,$0.0075,09/18/2023,11/13/2023,11/27/2023,USD
2,10/05/2023,Cash,$0.0075,09/18/2023,10/09/2023,10/23/2023,USD
3,09/08/2023,Cash,$0.0075,06/14/2023,09/11/2023,09/25/2023,USD
4,08/11/2023,Cash,$0.0075,06/14/2023,08/14/2023,08/28/2023,USD
5,07/07/2023,Cash,$0.0075,06/14/2023,07/10/2023,07/24/2023,USD
6,06/09/2023,Cash,$0.0075,03/08/2023,06/12/2023,06/26/2023,USD
7,05/05/2023,Cash,$0.0075,03/08/2023,05/08/2023,05/22/2023,USD
8,04/06/2023,Cash,$0.0075,03/08/2023,04/10/2023,04/24/2023,USD
9,03/10/2023,Cash,$0.0075,12/16/2022,03/13/2023,03/27/2023,USD
10,02/10/2023,Cash,$0.0075,12/16/2022,02/13/2023,02/27/2023,USD
11,01/06/2023,Cash,$0.0075,12/16/2022,01/09/2023,01/23/2023,USD
12,12/09/2022,Cash,$0.0075,09/28/2022,12/12/2022,12/27/2022,USD
13,11/10/2022,Cash,$0.0075,09/28/2022,11/14/2022,11/28/2022,USD
14,10/14/2022,Cash,$0.0075,09/28/2022,10/17/2022,10/31/2022,USD
15,09/09/2022,Cash,$0.0075,06/15/2022,09/12/2022,09/26/2022,USD
16,08/05/2022,Cash,$0.0075,06/15/2022,08/08/2022,08/22/2022,USD
17,07/08/2022,Cash,$0.0075,06/15/2022,07/11/2022,07/25/2022,USD
18,06/10/2022,Cash,$0.0075,03/16/2022,06/13/2022,06/27/2022,USD
19,05/06/2022,Cash,$0.0075,03/16/2022,05/09/2022,05/23/2022,USD
20,04/08/2022,Cash,$0.0075,03/16/2022,04/11/2022,04/25/2022,USD
21,03/11/2022,Cash,$0.0075,12/08/2021,03/14/2022,03/28/2022,USD
22,02/11/2022,Cash,$0.0075,12/08/2021,02/14/2022,02/28/2022,USD
23,01/07/2022,Cash,$0.0075,12/08/2021,01/10/2022,01/24/2022,USD
24,12/10/2021,Cash,$0.0075,09/29/2021,12/13/2021,12/27/2021,USD
25,11/12/2021,Cash,$0.0075,09/29/2021,11/15/2021,11/29/2021,USD
26,10/07/2021,Cash,$0.0075,09/29/2021,10/11/2021,10/25/2021,USD
27,09/10/2021,Cash,$0.005,06/01/2021,09/13/2021,09/27/2021,USD
28,08/13/2021,Cash,$0.005,06/01/2021,08/16/2021,08/30/2021,USD
29,07/09/2021,Cash,$0.005,06/01/2021,07/12/2021,07/26/2021,USD
30,06/11/2021,Cash,$0.005,03/17/2021,06/14/2021,06/28/2021,USD
31,05/07/2021,Cash,$0.005,03/17/2021,05/10/2021,05/24/2021,USD
32,04/09/2021,Cash,$0.005,03/17/2021,04/12/2021,04/26/2021,USD
33,03/12/2021,Cash,$0.005,12/02/2020,03/15/2021,03/29/2021,USD
34,02/12/2021,Cash,$0.0025,02/02/2021,02/16/2021,02/26/2021,USD
35,02/05/2021,Cash,$0.0025,12/02/2020,02/08/2021,02/22/2021,USD
36,01/08/2021,Cash,$0.0025,12/02/2020,01/11/2021,01/25/2021,USD
37,12/11/2020,Cash,$0.0025,09/17/2020,12/14/2020,12/28/2020,USD
38,11/13/2020,Cash,$0.0025,09/17/2020,11/16/2020,11/30/2020,USD
39,10/08/2020,Cash,$0.0025,09/17/2020,10/12/2020,10/26/2020,USD
40,09/11/2020,Cash,$0.0025,06/03/2020,09/14/2020,09/28/2020,USD
