,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,06/30/2023,Cash,$0.10,06/12/2023,07/03/2023,07/17/2023,USD
1,01/04/2023,Cash,$0.10,12/19/2022,01/05/2023,01/23/2023,USD
2,06/30/2022,Cash,$0.09,06/20/2022,07/01/2022,07/15/2022,USD
3,01/05/2022,Cash,$0.09,12/20/2021,01/06/2022,01/20/2022,USD
4,06/30/2021,Cash,$0.09,06/08/2021,07/01/2021,07/15/2021,USD
5,01/06/2021,Cash,$0.08,12/21/2020,01/07/2021,01/21/2021,USD
6,06/30/2020,Cash,$0.08,06/09/2020,07/01/2020,07/15/2020,USD
7,01/08/2020,Cash,$0.08,12/17/2019,01/09/2020,01/23/2020,USD
8,06/28/2019,Cash,$0.07,06/12/2019,07/01/2019,07/15/2019,USD
9,01/02/2019,Cash,$0.07,12/18/2018,01/03/2019,01/17/2019,USD
10,07/10/2018,Cash,$0.06,06/12/2018,07/11/2018,07/19/2018,USD
11,01/02/2018,Cash,$0.07,12/15/2017,01/03/2018,01/17/2018,USD
12,06/30/2017,Cash,$0.08,06/13/2017,07/05/2017,07/19/2017,USD
13,12/30/2016,Cash,$0.09,12/13/2016,01/04/2017,01/18/2017,USD
14,06/30/2016,Cash,$0.08,06/06/2016,07/05/2016,07/19/2016,USD
15,12/30/2015,Cash,$0.08,12/14/2015,01/04/2016,01/19/2016,USD
16,07/01/2015,Cash,$0.07,06/09/2015,07/06/2015,07/20/2015,USD
17,12/31/2014,Cash,$0.07,12/15/2014,01/05/2015,01/19/2015,USD
18,07/02/2014,Cash,$0.06,06/10/2014,07/07/2014,07/21/2014,USD
19,12/31/2013,Cash,$0.35,12/17/2013,01/03/2014,01/17/2014,USD
20,12/31/2013,Cash,$0.06,12/17/2013,01/03/2014,01/17/2014,USD
21,07/03/2013,Cash,$0.07,06/11/2013,07/08/2013,07/22/2013,USD
22,12/13/2012,Cash,$2.14,11/27/2012,12/17/2012,12/31/2012,USD
23,12/13/2012,Cash,$0.06,11/27/2012,12/17/2012,12/31/2012,USD
24,12/06/2012,Cash,$1.14,11/27/2012,12/10/2012,12/21/2012,USD
25,12/06/2012,Cash,$0.06,11/27/2012,12/10/2012,12/21/2012,USD
26,07/05/2012,Cash,$0.06,06/19/2012,07/09/2012,07/23/2012,USD
27,01/03/2012,Cash,$0.06,12/13/2011,01/05/2012,01/19/2012,USD
28,07/01/2011,Cash,$0.06,06/14/2011,07/06/2011,07/20/2011,USD
29,01/04/2011,Cash,$0.06,12/14/2010,01/06/2011,01/20/2011,USD
30,07/02/2010,Cash,$0.06,06/15/2010,07/07/2010,07/21/2010,USD
31,01/04/2010,Cash,$0.06,12/14/2009,01/06/2010,01/20/2010,USD
32,07/06/2009,Cash,$0.06,06/16/2009,07/08/2009,07/22/2009,USD
33,01/05/2009,Cash,$0.06,12/16/2008,01/07/2009,01/21/2009,USD
34,07/03/2008,Cash,$0.05,06/16/2008,07/08/2008,07/22/2008,USD
35,01/07/2008,Cash,$0.05,12/18/2007,01/09/2008,01/23/2008,USD
36,07/03/2007,Cash,$0.04,06/08/2007,07/06/2007,07/18/2007,USD
37,01/03/2007,Cash,$0.04,12/20/2006,01/05/2007,01/17/2007,USD
38,07/05/2006,Cash,$0.04,06/09/2006,07/07/2006,07/19/2006,USD
