,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,06/30/2023,Cash,$0.10,06/12/2023,07/03/2023,07/17/2023,USD
1,01/04/2023,Cash,$0.10,12/19/2022,01/05/2023,01/23/2023,USD
2,06/30/2022,Cash,$0.09,06/20/2022,07/01/2022,07/15/2022,USD
3,01/05/2022,Cash,$0.09,12/20/2021,01/06/2022,01/20/2022,USD
4,06/30/2021,Cash,$0.09,06/08/2021,07/01/2021,07/15/2021,USD
5,01/06/2021,Cash,$0.08,12/21/2020,01/07/2021,01/21/2021,USD
6,06/30/2020,Cash,$0.08,06/09/2020,07/01/2020,07/15/2020,USD
7,01/08/2020,Cash,$0.08,12/17/2019,01/09/2020,01/23/2020,USD
8,06/28/2019,Cash,$0.07,06/12/2019,07/01/2019,07/15/2019,USD
9,01/02/2019,Cash,$0.07,12/18/2018,01/03/2019,01/17/2019,USD
10,07/10/2018,Cash,$0.06,06/12/2018,07/11/2018,07/19/2018,USD
11,01/02/2018,Cash,$0.07,12/15/2017,01/03/2018,01/17/2018,USD
12,06/30/2017,Cash,$0.08,06/13/2017,07/05/2017,07/19/2017,USD
13,12/30/2016,Cash,$0.09,12/13/2016,01/04/2017,01/18/2017,USD
14,06/30/2016,Cash,$0.08,06/06/2016,07/05/2016,07/19/2016,USD
15,12/30/2015,Cash,$0.08,12/14/2015,01/04/2016,01/19/2016,USD
16,07/01/2015,Cash,$0.07,06/09/2015,07/06/2015,07/20/2015,USD
17,12/31/2014,Cash,$0.07,12/15/2014,01/05/2015,01/19/2015,USD
18,11/19/2014,Cash,$0.31,11/06/2014,11/21/2014,12/10/2014,USD
19,07/02/2014,Cash,$0.06,06/10/2014,07/07/2014,07/21/2014,USD
20,12/31/2013,Cash,$0.35,12/17/2013,01/03/2014,01/17/2014,USD
21,12/31/2013,Cash,$0.06,12/17/2013,01/03/2014,01/17/2014,USD
22,07/03/2013,Cash,$0.07,06/11/2013,07/08/2013,07/22/2013,USD
23,12/13/2012,Cash,$2.14,11/27/2012,12/17/2012,12/31/2012,USD
24,12/13/2012,Cash,$0.06,11/27/2012,12/17/2012,12/31/2012,USD
25,12/06/2012,Cash,$1.14,11/27/2012,12/10/2012,12/21/2012,USD
26,12/06/2012,Cash,$0.06,11/27/2012,12/10/2012,12/21/2012,USD
27,07/05/2012,Cash,$0.06,06/19/2012,07/09/2012,07/23/2012,USD
28,01/03/2012,Cash,$0.06,12/13/2011,01/05/2012,01/19/2012,USD
29,07/01/2011,Cash,$0.06,06/14/2011,07/06/2011,07/20/2011,USD
30,01/04/2011,Cash,$0.06,12/14/2010,01/06/2011,01/20/2011,USD
31,07/02/2010,Cash,$0.06,06/15/2010,07/07/2010,07/21/2010,USD
32,01/04/2010,Cash,$0.06,12/14/2009,01/06/2010,01/20/2010,USD
33,07/06/2009,Cash,$0.06,06/16/2009,07/08/2009,07/22/2009,USD
34,01/05/2009,Cash,$0.06,12/16/2008,01/07/2009,01/21/2009,USD
35,07/03/2008,Cash,$0.05,06/16/2008,07/08/2008,07/22/2008,USD
36,01/07/2008,Cash,$0.05,12/18/2007,01/09/2008,01/23/2008,USD
37,07/03/2007,Cash,$0.04,06/08/2007,07/06/2007,07/18/2007,USD
38,01/03/2007,Cash,$0.04,12/20/2006,01/05/2007,01/17/2007,USD
39,07/05/2006,Cash,$0.04,06/09/2006,07/07/2006,07/19/2006,USD
40,07/06/2005,Cash,$0.025,06/14/2005,07/08/2005,07/19/2005,USD
41,01/04/2005,Cash,$0.025,12/14/2004,01/06/2005,01/16/2005,USD
42,07/07/2004,Cash,$0.025,06/15/2004,07/09/2004,07/20/2004,USD
43,01/02/2004,Cash,$0.025,12/15/2003,01/06/2004,01/16/2004,USD
44,07/09/2003,Cash,$0.025,06/16/2003,07/11/2003,07/21/2003,USD
45,01/09/2003,Cash,$0.025,12/17/2002,01/13/2003,01/23/2003,USD
46,07/10/2002,Cash,$0.025,06/18/2002,07/12/2002,07/22/2002,USD
47,01/10/2002,Cash,$0.025,12/18/2001,01/14/2002,01/24/2002,USD
48,07/05/2001,Cash,$0.025,06/12/2001,07/09/2001,07/23/2001,USD
49,01/04/2001,Cash,$0.025,12/12/2000,01/08/2001,01/18/2001,USD
50,07/06/2000,Cash,$0.025,06/20/2000,07/10/2000,07/21/2000,USD
51,01/06/2000,Cash,$0.025,12/17/1999,01/10/2000,01/20/2000,USD
52,07/07/1999,Cash,$0.025,06/14/1999,07/09/1999,07/20/1999,USD
53,01/06/1999,Cash,$0.025,12/14/1998,01/08/1999,01/19/1999,USD
54,07/01/1998,Cash,$0.025,06/16/1998,07/06/1998,07/17/1998,USD
55,01/07/1998,Cash,$0.037,12/11/1997,01/09/1998,01/20/1998,USD
56,07/02/1997,Cash,$0.05,06/09/1997,07/07/1997,07/18/1997,USD
57,01/06/1997,Cash,$0.05,12/13/1996,01/08/1997,01/17/1997,USD
58,07/10/1996,Cash,$0.05,06/14/1996,07/12/1996,07/26/1996,USD
59,01/11/1996,Cash,$0.075,12/18/1995,01/16/1996,02/08/1996,USD
60,07/05/1995,Cash,$0.075,05/09/1995,07/07/1995,07/28/1995,USD
