,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/10/2023,Cash,$0.1375,10/26/2023,11/13/2023,11/27/2023,USD
1,08/22/2023,Cash,$0.1375,08/02/2023,08/23/2023,09/06/2023,USD
2,05/22/2023,Cash,$0.1375,05/10/2023,05/23/2023,06/05/2023,USD
3,02/17/2023,Cash,$0.1375,02/09/2023,02/21/2023,03/06/2023,USD
4,11/14/2022,Cash,$0.1375,10/27/2022,11/15/2022,11/30/2022,USD
5,08/15/2022,Cash,$0.1375,08/03/2022,08/16/2022,08/31/2022,USD
6,05/20/2022,Cash,$0.1375,05/11/2022,05/23/2022,06/02/2022,USD
7,02/18/2022,Cash,$0.1375,02/10/2022,02/22/2022,03/04/2022,USD
8,11/09/2021,Cash,$0.1375,10/29/2021,11/11/2021,11/23/2021,USD
9,08/16/2021,Cash,$0.1375,08/04/2021,08/17/2021,09/02/2021,USD
10,05/24/2021,Cash,$0.1375,05/12/2021,05/25/2021,06/04/2021,USD
11,02/23/2021,Cash,$0.1375,02/11/2021,02/24/2021,03/09/2021,USD
12,11/10/2020,Cash,$0.1375,10/30/2020,11/12/2020,12/02/2020,USD
13,08/18/2020,Cash,$0.1375,08/06/2020,08/19/2020,09/10/2020,USD
14,05/22/2020,Cash,$0.1375,05/14/2020,05/26/2020,06/09/2020,USD
15,02/21/2020,Cash,$0.1375,02/11/2020,02/24/2020,03/06/2020,USD
16,11/08/2019,Cash,$0.1375,10/30/2019,11/12/2019,12/03/2019,USD
17,08/19/2019,Cash,$0.1375,08/07/2019,08/20/2019,09/10/2019,USD
18,05/17/2019,Cash,$0.11,05/07/2019,05/20/2019,06/11/2019,USD
19,02/15/2019,Cash,$0.11,02/11/2019,02/19/2019,03/05/2019,USD
20,11/09/2018,Cash,$0.11,10/30/2018,11/13/2018,12/05/2018,USD
21,08/15/2018,Cash,$0.10,08/01/2018,08/16/2018,09/10/2018,USD
22,05/16/2018,Cash,$0.10,05/02/2018,05/17/2018,06/11/2018,USD
23,02/08/2018,Cash,$0.10,01/25/2018,02/09/2018,03/05/2018,USD
24,11/14/2017,Cash,$0.075,10/31/2017,11/15/2017,12/08/2017,USD
25,08/15/2017,Cash,$0.075,08/02/2017,08/17/2017,09/11/2017,USD
26,05/12/2017,Cash,$0.075,05/01/2017,05/16/2017,06/08/2017,USD
27,02/08/2017,Cash,$0.1125,01/26/2017,02/10/2017,03/06/2017,USD
28,11/10/2016,Cash,$0.10,10/31/2016,11/15/2016,12/08/2016,USD
29,08/16/2016,Cash,$0.08,08/03/2016,08/18/2016,09/12/2016,USD
30,05/17/2016,Cash,$0.08,05/04/2016,05/19/2016,06/13/2016,USD
31,02/10/2016,Cash,$0.08,01/28/2016,02/12/2016,03/07/2016,USD
32,11/12/2015,Cash,$0.06,10/30/2015,11/16/2015,12/09/2015,USD
33,08/14/2015,Cash,$0.06,08/03/2015,08/18/2015,09/10/2015,USD
34,05/18/2015,Cash,$0.06,05/05/2015,05/20/2015,06/12/2015,USD
35,02/11/2015,Cash,$0.06,01/29/2015,02/13/2015,03/09/2015,USD
36,11/12/2014,Cash,$0.05,10/30/2014,11/14/2014,12/08/2014,USD
37,08/19/2014,Cash,$0.04,08/06/2014,08/21/2014,09/15/2014,USD
38,05/16/2014,Cash,$0.04,05/05/2014,05/20/2014,06/12/2014,USD
39,02/12/2014,Cash,$0.04,01/30/2014,02/14/2014,03/10/2014,USD
40,11/13/2013,Cash,$0.03125,10/08/2013,11/15/2013,12/09/2013,USD
41,08/20/2013,Cash,$0.03125,08/07/2013,08/22/2013,09/15/2013,USD
42,05/22/2013,Cash,$0.03125,05/08/2013,05/24/2013,06/17/2013,USD
43,01/31/2013,Cash,$0.03125,01/17/2013,02/01/2013,02/25/2013,USD
