,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/14/2023,Cash,$0.23,12/05/2023,12/15/2023,12/29/2023,USD
1,09/15/2023,Cash,$0.22,09/05/2023,09/18/2023,09/29/2023,USD
2,06/15/2023,Cash,$0.22,06/05/2023,06/16/2023,06/30/2023,USD
3,03/16/2023,Cash,$0.22,03/03/2023,03/17/2023,03/31/2023,USD
4,12/15/2022,Cash,$0.22,12/05/2022,12/16/2022,12/30/2022,USD
5,09/16/2022,Cash,$0.20,09/07/2022,09/19/2022,09/30/2022,USD
6,06/16/2022,Cash,$0.20,06/01/2022,06/17/2022,06/30/2022,USD
7,03/16/2022,Cash,$0.20,03/01/2022,03/17/2022,03/31/2022,USD
8,12/16/2021,Cash,$0.20,12/07/2021,12/17/2021,12/31/2021,USD
9,09/15/2021,Cash,$0.18,09/02/2021,09/16/2021,09/30/2021,USD
10,06/15/2021,Cash,$0.18,06/03/2021,06/16/2021,06/30/2021,USD
11,03/16/2021,Cash,$0.18,03/01/2021,03/17/2021,03/31/2021,USD
12,12/15/2020,Cash,$0.18,12/02/2020,12/16/2020,12/31/2020,USD
13,09/17/2020,Cash,$0.16,09/02/2020,09/18/2020,09/30/2020,USD
14,06/15/2020,Cash,$0.16,06/02/2020,06/16/2020,06/30/2020,USD
15,03/16/2020,Cash,$0.16,03/02/2020,03/17/2020,03/31/2020,USD
16,12/13/2019,Cash,$0.16,12/05/2019,12/16/2019,12/30/2019,USD
17,09/13/2019,Cash,$0.15,09/04/2019,09/16/2019,09/30/2019,USD
18,06/14/2019,Cash,$0.15,06/05/2019,06/17/2019,06/30/2019,USD
19,03/15/2019,Cash,$0.15,03/04/2019,03/18/2019,03/29/2019,USD
20,12/14/2018,Cash,$0.15,12/06/2018,12/17/2018,12/31/2018,USD
21,09/13/2018,Cash,$0.14,08/30/2018,09/14/2018,09/28/2018,USD
22,06/14/2018,Cash,$0.14,06/04/2018,06/15/2018,06/29/2018,USD
23,03/16/2018,Cash,$0.14,03/05/2018,03/19/2018,03/30/2018,USD
24,12/15/2017,Cash,$0.14,12/07/2017,12/18/2017,12/29/2017,USD
25,09/14/2017,Cash,$0.12,08/29/2017,09/15/2017,09/29/2017,USD
26,06/14/2017,Cash,$0.12,06/06/2017,06/16/2017,06/30/2017,USD
27,03/15/2017,Cash,$0.12,03/01/2017,03/17/2017,03/31/2017,USD
28,12/13/2016,Cash,$0.12,11/28/2016,12/15/2016,12/30/2016,USD
29,09/14/2016,Cash,$0.10,09/01/2016,09/16/2016,09/30/2016,USD
30,06/14/2016,Cash,$0.10,06/06/2016,06/16/2016,06/30/2016,USD
31,03/11/2016,Cash,$0.10,03/02/2016,03/15/2016,03/31/2016,USD
32,12/11/2015,Cash,$0.10,12/02/2015,12/15/2015,12/31/2015,USD
33,09/11/2015,Cash,$0.10,09/03/2015,09/15/2015,09/30/2015,USD
34,06/11/2015,Cash,$0.10,06/04/2015,06/15/2015,06/30/2015,USD
35,03/18/2015,Cash,$0.10,03/10/2015,03/20/2015,04/03/2015,USD
36,12/11/2014,Cash,$0.10,12/01/2014,12/15/2014,12/29/2014,USD
37,09/11/2014,Cash,$0.10,09/02/2014,09/15/2014,09/30/2014,USD
38,06/12/2014,Cash,$0.10,06/05/2014,06/16/2014,06/30/2014,USD
39,03/13/2014,Cash,$0.10,03/04/2014,03/17/2014,03/31/2014,USD
40,12/10/2013,Cash,$0.10,11/26/2013,12/12/2013,12/27/2013,USD
41,09/11/2013,Cash,$0.10,09/04/2013,09/13/2013,09/27/2013,USD
42,06/12/2013,Cash,$0.10,06/03/2013,06/14/2013,06/28/2013,USD
43,05/13/2003,Cash,$0.11,N/A,05/13/2003,N/A,USD
44,02/12/2003,Cash,$0.10,N/A,02/12/2003,N/A,USD
45,11/13/2002,Cash,$0.10,N/A,11/13/2002,N/A,USD
46,08/13/2002,Cash,$0.10,N/A,08/13/2002,N/A,USD
47,08/15/2001,Cash,$0.09,06/29/2001,08/17/2001,08/31/2001,USD
48,05/15/2001,Cash,$0.09,04/05/2001,05/17/2001,05/30/2001,USD
49,11/15/2000,Cash,$0.085,09/26/2000,11/17/2000,11/30/2000,USD
