,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/12/2023,Cash,$0.13,11/28/2023,12/13/2023,01/11/2024,USD
1,09/13/2023,Cash,$0.12,08/29/2023,09/14/2023,10/13/2023,USD
2,06/14/2023,Cash,$0.12,05/30/2023,06/15/2023,07/14/2023,USD
3,03/16/2023,Cash,$0.12,03/02/2023,03/17/2023,04/14/2023,USD
4,12/13/2022,Cash,$0.12,11/29/2022,12/14/2022,01/13/2023,USD
5,09/09/2022,Cash,$0.12,08/30/2022,09/12/2022,10/07/2022,USD
6,06/10/2022,Cash,$0.12,06/01/2022,06/13/2022,07/08/2022,USD
7,03/10/2022,Cash,$0.12,03/01/2022,03/11/2022,04/08/2022,USD
8,12/09/2021,Cash,$0.12,11/30/2021,12/10/2021,01/07/2022,USD
9,09/10/2021,Cash,$0.12,09/02/2021,09/13/2021,10/06/2021,USD
10,06/15/2021,Cash,$0.12,06/01/2021,06/16/2021,07/07/2021,USD
11,03/09/2021,Cash,$0.12,03/02/2021,03/10/2021,04/07/2021,USD
12,12/08/2020,Cash,$0.12,12/01/2020,12/09/2020,01/06/2021,USD
13,09/08/2020,Cash,$0.12,08/25/2020,09/09/2020,10/07/2020,USD
14,06/09/2020,Cash,$0.12,04/20/2020,06/10/2020,07/01/2020,USD
15,03/10/2020,Cash,$0.12,01/30/2020,03/11/2020,04/01/2020,USD
16,12/10/2019,Cash,$0.12,10/24/2019,12/11/2019,01/02/2020,USD
17,09/10/2019,Cash,$0.1125,06/27/2019,09/11/2019,10/02/2019,USD
18,06/11/2019,Cash,$0.1125,04/05/2019,06/12/2019,07/03/2019,USD
19,03/12/2019,Cash,$0.1125,02/01/2019,03/13/2019,04/03/2019,USD
20,12/11/2018,Cash,$0.1125,09/21/2018,12/12/2018,01/02/2019,USD
21,09/11/2018,Cash,$0.1125,07/19/2018,09/12/2018,10/03/2018,USD
22,06/12/2018,Cash,$0.1125,04/05/2018,06/13/2018,07/04/2018,USD
23,03/13/2018,Cash,$0.075,01/18/2018,03/14/2018,04/04/2018,USD
24,12/12/2017,Cash,$0.075,11/09/2017,12/13/2017,01/03/2018,USD
25,09/12/2017,Cash,$0.065,07/20/2017,09/13/2017,10/04/2017,USD
26,09/01/2017,Cash/Stock,$4.051235,N/A,N/A,N/A,USD
27,06/12/2017,Cash,$0.065,03/23/2017,06/14/2017,07/05/2017,USD
28,03/13/2017,Cash,$0.065,01/26/2017,03/15/2017,04/05/2017,USD
29,12/12/2016,Cash,$0.065,11/10/2016,12/14/2016,01/04/2017,USD
30,10/07/2016,Cash,$0.055,07/28/2016,10/12/2016,10/31/2016,USD
31,06/06/2016,Cash,$0.055,03/24/2016,06/08/2016,07/06/2016,USD
32,03/07/2016,Cash,$0.055,01/28/2016,03/09/2016,04/06/2016,USD
33,12/07/2015,Cash,$0.055,11/12/2015,12/09/2015,01/06/2016,USD
