,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/12/2024,Cash,$0.2825,11/20/2023,01/16/2024,02/15/2024,USD
1,10/13/2023,Cash,$0.275,09/25/2023,10/16/2023,11/15/2023,USD
2,07/14/2023,Cash,$0.275,05/22/2023,07/17/2023,08/15/2023,USD
3,04/14/2023,Cash,$0.275,03/27/2023,04/17/2023,05/15/2023,USD
4,01/13/2023,Cash,$0.275,11/21/2022,01/17/2023,02/15/2023,USD
5,10/14/2022,Cash,$0.26,09/26/2022,10/17/2022,11/15/2022,USD
6,07/08/2022,Cash,$0.26,05/23/2022,07/11/2022,08/15/2022,USD
7,04/08/2022,Cash,$0.26,03/28/2022,04/11/2022,05/16/2022,USD
8,01/14/2022,Cash,$0.26,11/22/2021,01/18/2022,02/15/2022,USD
9,10/15/2021,Cash,$0.245,09/27/2021,10/18/2021,11/15/2021,USD
10,07/09/2021,Cash,$0.245,05/24/2021,07/12/2021,08/16/2021,USD
11,04/09/2021,Cash,$0.245,03/22/2021,04/12/2021,05/17/2021,USD
12,01/08/2021,Cash,$0.245,11/23/2020,01/11/2021,02/16/2021,USD
13,10/16/2020,Cash,$0.2325,09/29/2020,10/19/2020,11/16/2020,USD
14,07/10/2020,Cash,$0.2325,05/18/2020,07/13/2020,08/17/2020,USD
15,04/09/2020,Cash,$0.2325,03/23/2020,04/13/2020,05/15/2020,USD
16,01/10/2020,Cash,$0.2325,11/26/2019,01/13/2020,02/18/2020,USD
17,10/18/2019,Cash,$0.21,09/24/2019,10/21/2019,11/15/2019,USD
18,07/12/2019,Cash,$0.21,05/22/2019,07/15/2019,08/15/2019,USD
19,04/12/2019,Cash,$0.21,03/26/2019,04/15/2019,05/15/2019,USD
20,01/11/2019,Cash,$0.21,11/20/2018,01/14/2019,02/15/2019,USD
21,10/19/2018,Cash,$0.1875,09/25/2018,10/22/2018,11/15/2018,USD
22,07/13/2018,Cash,$0.1875,05/22/2018,07/16/2018,08/15/2018,USD
23,04/13/2018,Cash,$0.1875,03/26/2018,04/16/2018,05/15/2018,USD
24,01/12/2018,Cash,$0.1875,11/20/2017,01/16/2018,02/15/2018,USD
25,01/11/2018,Cash,$0.1875,11/20/2017,01/15/2018,02/15/2018,USD
26,10/20/2017,Cash,$0.17,09/25/2017,10/23/2017,11/15/2017,USD
27,07/13/2017,Cash,$0.17,05/22/2017,07/17/2017,08/15/2017,USD
28,04/13/2017,Cash,$0.17,03/28/2017,04/18/2017,05/15/2017,USD
29,01/12/2017,Cash,$0.17,11/21/2016,01/17/2017,02/15/2017,USD
30,10/20/2016,Cash,$0.145,09/26/2016,10/24/2016,11/15/2016,USD
31,07/14/2016,Cash,$0.145,05/23/2016,07/18/2016,08/15/2016,USD
32,04/14/2016,Cash,$0.145,03/29/2016,04/18/2016,05/16/2016,USD
33,01/14/2016,Cash,$0.29,11/23/2015,01/19/2016,02/16/2016,USD
34,10/15/2015,Cash,$0.25,09/28/2015,10/19/2015,11/16/2015,USD
35,07/16/2015,Cash,$0.25,05/18/2015,07/20/2015,08/17/2015,USD
36,04/16/2015,Cash,$0.25,03/23/2015,04/20/2015,05/15/2015,USD
37,01/15/2015,Cash,$0.25,11/25/2014,01/20/2015,02/17/2015,USD
38,10/16/2014,Cash,$0.20,09/22/2014,10/20/2014,11/14/2014,USD
39,07/17/2014,Cash,$0.20,05/19/2014,07/21/2014,08/15/2014,USD
40,04/16/2014,Cash,$0.20,03/24/2014,04/21/2014,05/15/2014,USD
41,01/17/2014,Cash,$0.20,11/26/2013,01/22/2014,02/14/2014,USD
42,10/17/2013,Cash,$0.17,09/23/2013,10/21/2013,11/15/2013,USD
43,07/18/2013,Cash,$0.17,05/20/2013,07/22/2013,08/15/2013,USD
44,04/18/2013,Cash,$0.17,03/25/2013,04/22/2013,05/15/2013,USD
45,01/17/2013,Cash,$0.17,11/20/2012,01/22/2013,02/15/2013,USD
46,10/18/2012,Cash,$0.15,09/24/2012,10/22/2012,11/15/2012,USD
47,07/19/2012,Cash,$0.15,05/21/2012,07/23/2012,08/15/2012,USD
48,04/19/2012,Cash,$0.15,03/26/2012,04/23/2012,05/15/2012,USD
49,01/19/2012,Cash,$0.15,11/21/2011,01/23/2012,02/15/2012,USD
50,07/20/2011,Cash,$0.1275,05/23/2011,07/23/2011,08/15/2011,USD
51,04/19/2011,Cash,$0.1275,03/28/2011,04/23/2011,05/15/2011,USD
52,01/19/2011,Cash,$0.255,11/22/2010,01/23/2011,02/15/2011,USD
53,10/20/2010,Cash,$0.21,09/28/2010,10/23/2010,11/15/2010,USD
54,07/21/2010,Cash,$0.21,05/24/2010,07/24/2010,08/15/2010,USD
55,04/14/2010,Cash,$0.21,03/22/2010,04/17/2010,05/15/2010,USD
56,01/20/2010,Cash,$0.21,11/24/2009,01/23/2010,02/15/2010,USD
57,10/21/2009,Cash,$0.19,10/05/2009,10/24/2009,11/15/2009,USD
58,07/15/2009,Cash,$0.19,05/19/2009,07/18/2009,08/15/2009,USD
59,04/15/2009,Cash,$0.19,03/24/2009,04/18/2009,05/15/2009,USD
