,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/29/2023,Cash,$0.16,11/10/2023,01/02/2024,01/16/2024,USD
1,09/29/2023,Cash,$0.16,09/15/2023,10/02/2023,10/16/2023,USD
2,06/23/2023,Cash,$0.16,06/09/2023,06/26/2023,07/10/2023,USD
3,03/24/2023,Cash,$0.16,03/08/2023,03/27/2023,04/10/2023,USD
4,12/30/2022,Cash,$0.15,11/15/2022,01/03/2023,01/17/2023,USD
5,09/30/2022,Cash,$0.15,09/13/2022,10/03/2022,10/17/2022,USD
6,06/24/2022,Cash,$0.15,06/09/2022,06/27/2022,07/11/2022,USD
7,03/25/2022,Cash,$0.15,03/10/2022,03/28/2022,04/11/2022,USD
8,12/31/2021,Cash,$0.14,11/11/2021,01/03/2022,01/17/2022,USD
9,09/24/2021,Cash,$0.14,09/09/2021,09/27/2021,10/11/2021,USD
10,06/25/2021,Cash,$0.14,06/10/2021,06/28/2021,07/12/2021,USD
11,03/26/2021,Cash,$0.14,03/10/2021,03/29/2021,04/12/2021,USD
12,01/05/2021,Cash,$0.13,11/12/2020,01/06/2021,01/20/2021,USD
13,10/01/2020,Cash,$0.13,09/15/2020,10/02/2020,10/16/2020,USD
14,06/26/2020,Cash,$0.13,06/11/2020,06/29/2020,07/13/2020,USD
15,03/27/2020,Cash,$0.13,03/11/2020,03/30/2020,04/13/2020,USD
16,12/31/2019,Cash,$0.12,11/14/2019,01/02/2020,01/16/2020,USD
17,09/27/2019,Cash,$0.12,09/12/2019,09/30/2019,10/14/2019,USD
18,06/28/2019,Cash,$0.12,06/13/2019,07/01/2019,07/15/2019,USD
19,03/29/2019,Cash,$0.12,03/13/2019,04/01/2019,04/15/2019,USD
20,01/02/2019,Cash,$0.11,11/15/2018,01/03/2019,01/17/2019,USD
21,09/26/2018,Cash,$0.11,09/11/2018,09/27/2018,10/11/2018,USD
22,06/28/2018,Cash,$0.11,06/14/2018,06/29/2018,07/13/2018,USD
23,03/29/2018,Cash,$0.11,03/14/2018,04/02/2018,04/16/2018,USD
24,01/02/2018,Cash,$0.10,11/16/2017,01/03/2018,01/16/2018,USD
25,09/22/2017,Cash,$0.10,09/07/2017,09/25/2017,10/09/2017,USD
26,06/22/2017,Cash,$0.10,06/08/2017,06/26/2017,07/10/2017,USD
27,03/23/2017,Cash,$0.10,03/08/2017,03/27/2017,04/10/2017,USD
28,12/23/2016,Cash,$0.09,11/10/2016,12/28/2016,01/09/2017,USD
29,09/28/2016,Cash,$0.09,09/13/2016,09/30/2016,10/17/2016,USD
30,06/23/2016,Cash,$0.09,06/09/2016,06/27/2016,07/11/2016,USD
31,03/23/2016,Cash,$0.09,03/09/2016,03/28/2016,04/11/2016,USD
32,12/28/2015,Cash,$0.08,11/12/2015,12/30/2015,01/11/2016,USD
33,09/17/2015,Cash,$0.08,09/03/2015,09/21/2015,10/05/2015,USD
34,06/18/2015,Cash,$0.08,06/04/2015,06/22/2015,07/06/2015,USD
35,03/26/2015,Cash,$0.08,03/11/2015,03/30/2015,04/13/2015,USD
36,12/26/2014,Cash,$0.07,11/13/2014,12/30/2014,01/12/2015,USD
37,09/25/2014,Cash,$0.07,09/09/2014,09/29/2014,10/13/2014,USD
38,06/13/2014,Cash,$0.07,06/05/2014,06/17/2014,07/07/2014,USD
39,03/27/2014,Cash,$0.07,03/12/2014,03/31/2014,04/14/2014,USD
40,12/27/2013,Cash,$0.05,11/14/2013,12/31/2013,01/13/2014,USD
41,09/26/2013,Cash,$0.05,09/12/2013,09/30/2013,10/14/2013,USD
42,06/26/2013,Cash,$0.05,06/17/2013,06/28/2013,07/12/2013,USD
43,10/20/1992,Cash,$0.02,N/A,10/20/1992,N/A,USD
44,07/28/1992,Cash,$0.02,N/A,07/28/1992,N/A,USD
45,04/27/1992,Cash,$0.05,N/A,04/27/1992,N/A,USD
46,01/27/1992,Cash,$0.05,N/A,01/27/1992,N/A,USD
47,10/21/1991,Cash,$0.05,N/A,10/21/1991,N/A,USD
48,07/26/1991,Cash,$0.05,N/A,07/26/1991,N/A,USD
49,05/30/1991,Cash,$0.05,N/A,05/30/1991,N/A,USD
50,01/28/1991,Cash,$0.05,N/A,01/28/1991,N/A,USD
51,10/23/1990,Cash,$0.05,N/A,10/23/1990,N/A,USD
52,08/07/1990,Cash,$0.05,N/A,08/07/1990,N/A,USD
53,05/09/1990,Cash,$0.05,N/A,05/09/1990,N/A,USD
54,01/26/1990,Cash,$0.05,N/A,01/26/1990,N/A,USD
55,10/26/1989,Cash,$0.05,N/A,10/26/1989,N/A,USD
