,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,07/19/2023,Cash,$0.01,07/12/2023,07/20/2023,07/31/2023,USD
1,01/19/2023,Cash,$0.01,01/05/2023,01/20/2023,02/03/2023,USD
2,07/14/2022,Cash,$0.01,06/29/2022,07/15/2022,07/29/2022,USD
3,01/14/2022,Cash,$0.01,01/04/2022,01/18/2022,01/31/2022,USD
4,07/14/2021,Cash,$0.01,06/23/2021,07/15/2021,07/30/2021,USD
5,01/14/2021,Cash,$0.01,01/05/2021,01/15/2021,01/29/2021,USD
6,07/15/2020,Cash,$0.01,07/06/2020,07/16/2020,07/31/2020,USD
7,01/16/2020,Cash,$0.01,01/08/2020,01/17/2020,01/31/2020,USD
8,07/18/2019,Cash,$0.01,06/20/2019,07/19/2019,07/31/2019,USD
9,01/09/2019,Cash,$0.01,12/13/2018,01/10/2019,01/30/2019,USD
10,08/07/2018,Cash,$0.01,07/27/2018,08/08/2018,08/20/2018,USD
11,12/19/2017,Cash,$0.01,12/08/2017,12/20/2017,01/31/2018,USD
12,06/30/2017,Cash,$0.01,06/22/2017,07/05/2017,07/31/2017,USD
13,01/10/2017,Cash,$0.01,12/08/2016,01/12/2017,01/27/2017,USD
14,01/13/2016,Cash,$0.01,12/23/2015,01/15/2016,01/29/2016,USD
15,01/14/2015,Cash,$0.01,01/05/2015,01/19/2015,01/30/2015,USD
16,01/21/2014,Cash,$0.01,12/10/2013,01/23/2014,01/31/2014,USD
17,01/21/2013,Cash,$0.01,01/11/2013,01/23/2013,01/31/2013,USD
18,01/19/2012,Cash,$0.01,01/11/2012,01/23/2012,01/31/2012,USD
19,01/19/2011,Cash,$0.01,01/11/2011,01/21/2011,01/31/2011,USD
20,01/21/2010,Cash,$0.01,01/13/2010,01/25/2010,01/29/2010,USD
21,01/15/2009,Cash,$0.01,01/13/2009,01/20/2009,01/31/2009,USD
22,01/17/2008,Cash,$0.01,01/01/2008,01/22/2008,01/31/2008,USD
23,01/18/2007,Cash,$0.01,01/16/2007,01/22/2007,01/31/2007,USD
24,01/13/2005,Cash,$0.01,01/05/2005,01/18/2005,01/31/2005,USD
25,01/15/2004,Cash,$0.02,01/12/2004,01/20/2004,01/31/2004,USD
26,01/15/2003,Cash,$0.01,01/09/2003,01/20/2003,01/31/2003,USD
27,01/10/2002,Cash,$0.01,01/14/2002,01/14/2002,01/31/2002,USD
28,01/22/2001,Cash,$0.01,01/11/2001,01/24/2001,01/31/2001,USD
29,10/25/2000,Cash,$0.01,10/18/2000,10/28/2000,10/31/2000,USD
30,07/19/2000,Cash,$0.01,07/13/2000,07/21/2000,07/31/2000,USD
31,04/18/2000,Cash,$0.01,04/07/2000,04/20/2000,04/30/2000,USD
32,01/19/2000,Cash,$0.01,01/10/2000,01/21/2000,01/31/2000,USD
33,10/14/1999,Cash,$0.01,10/11/1999,10/18/1999,10/31/1999,USD
34,08/06/1998,Cash,$0.10,07/31/1998,08/10/1998,08/31/1998,USD
35,05/29/1997,Cash,$0.10,05/11/1997,06/02/1997,06/16/1997,USD
36,03/06/1997,Cash,$0.10,02/18/1997,03/10/1997,03/17/1997,USD
37,11/26/1996,Cash,$0.10,11/18/1996,11/29/1996,12/16/1996,USD
38,08/29/1996,Cash,$0.10,08/16/1996,09/03/1996,09/16/1996,USD
39,05/30/1996,Cash,$0.10,05/15/1996,06/03/1996,06/17/1996,USD
40,03/06/1996,Cash,$0.10,02/26/1996,03/08/1996,03/15/1996,USD
41,11/28/1995,Cash,$0.10,11/15/1995,11/30/1995,12/15/1995,USD
42,08/30/1995,Cash,$0.10,08/16/1995,09/01/1995,09/15/1995,USD
43,05/25/1995,Cash,$0.20,05/17/1995,06/01/1995,06/15/1995,USD
