,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/11/2023,Cash,$0.165,10/02/2023,10/12/2023,10/19/2023,USD
1,07/05/2023,Cash,$0.165,06/26/2023,07/06/2023,07/13/2023,USD
2,04/05/2023,Cash,$0.165,03/27/2023,04/06/2023,04/13/2023,USD
3,01/05/2023,Cash,$0.165,12/27/2022,01/06/2023,01/12/2023,USD
4,10/05/2022,Cash,$0.165,09/26/2022,10/06/2022,10/13/2022,USD
5,07/06/2022,Cash,$0.165,06/27/2022,07/07/2022,07/14/2022,USD
6,04/06/2022,Cash,$0.165,03/28/2022,04/07/2022,04/14/2022,USD
7,01/05/2022,Cash,$0.165,12/27/2021,01/06/2022,01/13/2022,USD
8,10/06/2021,Cash,$0.165,09/27/2021,10/07/2021,10/14/2021,USD
9,07/07/2021,Cash,$0.165,06/28/2021,07/08/2021,07/15/2021,USD
10,04/07/2021,Cash,$0.165,03/29/2021,04/08/2021,04/15/2021,USD
11,01/06/2021,Cash,$0.165,12/28/2020,01/07/2021,01/14/2021,USD
12,10/07/2020,Cash,$0.165,09/28/2020,10/08/2020,10/15/2020,USD
13,07/08/2020,Cash,$0.165,06/29/2020,07/09/2020,07/16/2020,USD
14,04/08/2020,Cash,$0.165,03/30/2020,04/09/2020,04/16/2020,USD
15,01/08/2020,Cash,$0.165,12/30/2019,01/09/2020,01/16/2020,USD
16,10/09/2019,Cash,$0.165,09/30/2019,10/10/2019,10/17/2019,USD
17,07/10/2019,Cash,$0.165,07/01/2019,07/11/2019,07/18/2019,USD
18,04/10/2019,Cash,$0.165,04/01/2019,04/11/2019,04/18/2019,USD
19,01/09/2019,Cash,$0.165,12/31/2018,01/10/2019,01/17/2019,USD
20,10/10/2018,Cash,$0.165,10/01/2018,10/11/2018,10/18/2018,USD
21,07/11/2018,Cash,$0.165,07/02/2018,07/12/2018,07/19/2018,USD
22,04/11/2018,Cash,$0.165,04/02/2018,04/12/2018,04/19/2018,USD
23,01/10/2018,Cash,$0.165,01/02/2018,01/11/2018,01/18/2018,USD
24,10/11/2017,Cash,$0.165,10/02/2017,10/12/2017,10/19/2017,USD
25,07/03/2017,Cash,$0.165,06/26/2017,07/06/2017,07/13/2017,USD
26,04/04/2017,Cash,$0.165,03/27/2017,04/06/2017,04/13/2017,USD
27,01/04/2017,Cash,$0.165,12/27/2016,01/06/2017,01/12/2017,USD
