,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/09/2024,Cash,$0.90,11/16/2023,01/10/2024,01/18/2024,USD
1,10/05/2023,Cash,$0.90,08/22/2023,10/09/2023,10/17/2023,USD
2,07/07/2023,Cash,$0.78,05/19/2023,07/10/2023,07/18/2023,USD
3,04/06/2023,Cash,$0.78,02/21/2023,04/10/2023,04/18/2023,USD
4,01/09/2023,Cash,$0.78,11/17/2022,01/10/2023,01/18/2023,USD
5,10/06/2022,Cash,$0.78,08/19/2022,10/10/2022,10/18/2022,USD
6,07/08/2022,Cash,$0.68,05/20/2022,07/11/2022,07/18/2022,USD
7,04/08/2022,Cash,$0.68,02/22/2022,04/11/2022,04/18/2022,USD
8,01/07/2022,Cash,$0.68,11/16/2021,01/10/2022,01/18/2022,USD
9,10/07/2021,Cash,$0.68,08/20/2021,10/11/2021,10/18/2021,USD
10,07/09/2021,Cash,$0.59,05/21/2021,07/12/2021,07/19/2021,USD
11,04/09/2021,Cash,$0.59,02/19/2021,04/12/2021,04/19/2021,USD
12,01/08/2021,Cash,$0.59,11/17/2020,01/11/2021,01/19/2021,USD
13,10/08/2020,Cash,$0.59,08/21/2020,10/12/2020,10/19/2020,USD
14,07/09/2020,Cash,$0.53,05/19/2020,07/10/2020,07/20/2020,USD
15,04/09/2020,Cash,$0.53,02/21/2020,04/13/2020,04/20/2020,USD
16,01/09/2020,Cash,$0.53,11/19/2019,01/10/2020,01/21/2020,USD
17,10/09/2019,Cash,$0.53,08/20/2019,10/10/2019,10/18/2019,USD
18,07/09/2019,Cash,$0.47,05/21/2019,07/10/2019,07/18/2019,USD
19,04/09/2019,Cash,$0.47,02/19/2019,04/10/2019,04/18/2019,USD
20,01/09/2019,Cash,$0.47,11/16/2018,01/10/2019,01/18/2019,USD
21,10/09/2018,Cash,$0.47,08/21/2018,10/10/2018,10/18/2018,USD
22,07/09/2018,Cash,$0.39,05/18/2018,07/10/2018,07/18/2018,USD
23,04/09/2018,Cash,$0.39,02/20/2018,04/10/2018,04/18/2018,USD
24,01/09/2018,Cash,$0.39,11/16/2017,01/10/2018,01/18/2018,USD
25,10/06/2017,Cash,$0.39,08/18/2017,10/10/2017,10/18/2017,USD
26,07/06/2017,Cash,$0.34,05/19/2017,07/10/2017,07/18/2017,USD
27,04/06/2017,Cash,$0.34,02/21/2017,04/10/2017,04/18/2017,USD
28,01/06/2017,Cash,$0.34,11/15/2016,01/10/2017,01/18/2017,USD
29,10/05/2016,Cash,$0.34,08/19/2016,10/10/2016,10/18/2016,USD
30,07/08/2016,Cash,$0.30,05/20/2016,07/12/2016,07/18/2016,USD
31,04/07/2016,Cash,$0.30,02/18/2016,04/11/2016,04/18/2016,USD
32,01/07/2016,Cash,$0.30,11/18/2015,01/11/2016,01/19/2016,USD
33,10/07/2015,Cash,$0.30,08/18/2015,10/12/2015,10/19/2015,USD
34,07/08/2015,Cash,$0.25,05/19/2015,07/10/2015,07/20/2015,USD
35,04/08/2015,Cash,$0.25,02/17/2015,04/10/2015,04/20/2015,USD
36,01/07/2015,Cash,$0.25,11/18/2014,01/09/2015,01/20/2015,USD
37,10/08/2014,Cash,$0.25,08/18/2014,10/10/2014,10/20/2014,USD
38,07/08/2014,Cash,$0.19,05/16/2014,07/10/2014,07/18/2014,USD
39,04/08/2014,Cash,$0.19,02/18/2014,04/10/2014,04/18/2014,USD
40,01/08/2014,Cash,$0.19,11/18/2013,01/10/2014,01/21/2014,USD
41,10/08/2013,Cash,$0.19,08/19/2013,10/10/2013,10/18/2013,USD
