,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/19/2023,Cash,$0.24,11/27/2023,12/20/2023,01/04/2024,USD
1,09/26/2023,Cash,$0.15,08/15/2023,09/27/2023,10/11/2023,USD
2,06/27/2023,Cash,$0.15,05/24/2023,06/28/2023,07/12/2023,USD
3,03/20/2023,Cash,$0.14,02/28/2023,03/21/2023,04/04/2023,USD
4,12/20/2022,Cash,$0.14,11/21/2022,12/21/2022,01/04/2023,USD
5,09/28/2022,Cash,$0.14,08/29/2022,09/29/2022,10/13/2022,USD
6,06/28/2022,Cash,$0.14,05/24/2022,06/29/2022,07/14/2022,USD
7,03/22/2022,Cash,$0.14,03/07/2022,03/23/2022,04/06/2022,USD
8,12/21/2021,Cash,$0.14,11/16/2021,12/22/2021,01/05/2022,USD
9,09/29/2021,Cash,$0.14,08/23/2021,09/30/2021,10/13/2021,USD
10,06/28/2021,Cash,$0.14,05/25/2021,06/29/2021,07/14/2021,USD
11,03/22/2021,Cash,$0.48,03/03/2021,03/23/2021,04/06/2021,USD
12,03/23/2020,Cash,$0.24,03/04/2020,03/24/2020,04/07/2020,USD
13,12/23/2019,Cash,$0.24,11/25/2019,12/24/2019,01/09/2020,USD
14,09/25/2019,Cash,$0.24,08/28/2019,09/26/2019,10/10/2019,USD
15,06/19/2019,Cash,$0.24,05/21/2019,06/20/2019,07/03/2019,USD
16,03/25/2019,Cash,$0.23,03/11/2019,03/26/2019,04/10/2019,USD
17,12/24/2018,Cash,$0.23,11/26/2018,12/26/2018,01/09/2019,USD
18,09/25/2018,Cash,$0.24,08/30/2018,09/26/2018,10/10/2018,USD
19,06/25/2018,Cash,$0.24,05/23/2018,06/26/2018,07/11/2018,USD
20,03/26/2018,Cash,$0.24,02/27/2018,03/27/2018,04/11/2018,USD
21,12/26/2017,Cash,$0.24,11/15/2017,12/27/2017,01/10/2018,USD
22,09/18/2017,Cash,$0.24,08/16/2017,09/19/2017,10/10/2017,USD
23,06/23/2017,Cash,$0.24,05/17/2017,06/27/2017,07/11/2017,USD
24,03/20/2017,Cash,$0.40,02/27/2017,03/22/2017,04/05/2017,USD
25,12/23/2016,Cash,$0.20,11/15/2016,12/28/2016,01/10/2017,USD
26,09/19/2016,Cash,$0.18,08/11/2016,09/21/2016,10/06/2016,USD
27,06/20/2016,Cash,$0.17,05/23/2016,06/22/2016,07/06/2016,USD
28,03/21/2016,Cash,$0.31,02/24/2016,03/23/2016,04/06/2016,USD
29,12/21/2015,Cash,$0.15,11/18/2015,12/23/2015,01/06/2016,USD
30,09/22/2015,Cash,$0.14,08/13/2015,09/24/2015,10/07/2015,USD
31,06/15/2015,Cash,$0.16,05/18/2015,06/17/2015,07/02/2015,USD
32,03/20/2015,Cash,$0.33,02/17/2015,03/24/2015,04/08/2015,USD
33,12/19/2014,Cash,$0.22,11/18/2014,12/23/2014,01/07/2015,USD
34,09/18/2014,Cash,$0.19,08/11/2014,09/22/2014,10/07/2014,USD
35,06/16/2014,Cash,$0.19,05/15/2014,06/18/2014,07/03/2014,USD
36,03/24/2014,Cash,$0.38,02/19/2014,03/26/2014,04/10/2014,USD
37,12/19/2013,Cash,$0.17,11/12/2013,12/23/2013,01/08/2014,USD
38,09/13/2013,Cash,$0.17,08/05/2013,09/17/2013,10/03/2013,USD
39,03/19/2013,Cash,$0.33,02/19/2013,03/21/2013,04/04/2013,USD
