,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/15/2023,Cash,$0.37,12/06/2023,12/18/2023,01/12/2024,USD
1,09/22/2023,Cash,$0.37,09/13/2023,09/25/2023,10/20/2023,USD
2,06/16/2023,Cash,$0.37,06/07/2023,06/20/2023,07/14/2023,USD
3,03/17/2023,Cash,$0.36,03/08/2023,03/20/2023,04/14/2023,USD
4,12/16/2022,Cash,$0.35,12/07/2022,12/19/2022,01/13/2023,USD
5,09/23/2022,Cash,$0.35,09/14/2022,09/26/2022,10/14/2022,USD
6,06/17/2022,Cash,$0.35,06/08/2022,06/21/2022,07/15/2022,USD
7,03/18/2022,Cash,$0.35,03/09/2022,03/21/2022,04/14/2022,USD
8,12/17/2021,Cash,$0.34,12/08/2021,12/20/2021,01/14/2022,USD
9,09/24/2021,Cash,$0.27,09/15/2021,09/27/2021,10/15/2021,USD
10,06/18/2021,Cash,$0.27,06/09/2021,06/21/2021,07/16/2021,USD
11,03/19/2021,Cash,$0.27,03/11/2021,03/22/2021,04/16/2021,USD
12,12/18/2020,Cash,$0.26,12/09/2020,12/21/2020,01/15/2021,USD
13,09/25/2020,Cash,$0.26,09/16/2020,09/28/2020,10/16/2020,USD
14,06/19/2020,Cash,$0.26,06/09/2020,06/22/2020,07/17/2020,USD
15,03/13/2020,Cash,$0.26,03/04/2020,03/16/2020,04/10/2020,USD
16,12/13/2019,Cash,$0.26,12/05/2019,12/16/2019,01/10/2020,USD
17,09/13/2019,Cash,$0.26,09/05/2019,09/16/2019,10/04/2019,USD
18,06/21/2019,Cash,$0.26,06/13/2019,06/24/2019,07/12/2019,USD
19,03/15/2019,Cash,$0.26,03/07/2019,03/18/2019,04/12/2019,USD
20,12/14/2018,Cash,$0.26,12/06/2018,12/17/2018,01/11/2019,USD
21,09/21/2018,Cash,$0.26,09/13/2018,09/24/2018,10/12/2018,USD
22,06/22/2018,Cash,$0.26,06/13/2018,06/25/2018,07/13/2018,USD
23,03/16/2018,Cash,$0.26,03/07/2018,03/19/2018,04/13/2018,USD
24,12/15/2017,Cash,$0.26,12/06/2017,12/18/2017,01/12/2018,USD
25,09/22/2017,Cash,$0.25,09/13/2017,09/25/2017,10/13/2017,USD
26,06/26/2017,Cash,$0.25,06/14/2017,06/28/2017,07/07/2017,USD
27,03/20/2017,Cash,$0.25,03/08/2017,03/22/2017,04/06/2017,USD
28,12/12/2016,Cash,$0.25,12/05/2016,12/14/2016,01/06/2017,USD
29,08/03/2016,Cash,$0.23,07/21/2016,08/05/2016,08/26/2016,USD
30,07/20/2016,Cash,$0.205,06/08/2016,07/22/2016,08/17/2016,USD
31,04/20/2016,Cash,$0.205,03/14/2016,04/22/2016,05/18/2016,USD
32,01/20/2016,Cash,$0.205,12/08/2015,01/22/2016,02/17/2016,USD
33,10/21/2015,Cash,$0.205,09/03/2015,10/23/2015,11/12/2015,USD
34,07/22/2015,Cash,$0.205,06/03/2015,07/24/2015,08/19/2015,USD
35,04/22/2015,Cash,$0.205,03/04/2015,04/24/2015,05/20/2015,USD
36,01/21/2015,Cash,$0.18,12/05/2014,01/23/2015,02/18/2015,USD
37,10/22/2014,Cash,$0.18,09/10/2014,10/24/2014,11/13/2014,USD
38,07/23/2014,Cash,$0.18,05/01/2014,07/25/2014,08/20/2014,USD
39,04/23/2014,Cash,$0.18,03/06/2014,04/25/2014,05/21/2014,USD
40,01/22/2014,Cash,$0.16,12/05/2013,01/24/2014,02/19/2014,USD
41,10/23/2013,Cash,$0.16,09/12/2013,10/25/2013,11/14/2013,USD
42,07/24/2013,Cash,$0.16,05/02/2013,07/26/2013,08/21/2013,USD
