,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/20/2023,Cash,$0.33,12/05/2023,12/21/2023,01/12/2024,USD
1,09/21/2023,Cash,$0.18,09/06/2023,09/22/2023,10/13/2023,USD
2,07/06/2023,Cash,$0.18,06/27/2023,07/07/2023,07/31/2023,USD
3,03/27/2023,Cash,$0.15,03/07/2023,03/28/2023,04/14/2023,USD
4,12/20/2022,Cash,$0.15,12/07/2022,12/21/2022,01/13/2023,USD
5,09/22/2022,Cash,$0.15,09/06/2022,09/23/2022,10/14/2022,USD
6,07/05/2022,Cash,$0.15,06/22/2022,07/06/2022,07/29/2022,USD
7,03/25/2022,Cash,$0.12,03/08/2022,03/28/2022,04/14/2022,USD
8,12/20/2021,Cash,$0.12,12/07/2021,12/21/2021,01/14/2022,USD
9,09/22/2021,Cash,$0.12,09/07/2021,09/23/2021,10/15/2021,USD
10,07/02/2021,Cash,$0.12,06/21/2021,07/06/2021,07/30/2021,USD
11,03/09/2021,Cash,$0.10,02/22/2021,03/10/2021,04/15/2021,USD
12,12/18/2020,Cash,$0.10,11/22/2020,12/21/2020,01/15/2021,USD
13,09/24/2020,Cash,$0.10,09/02/2020,09/25/2020,10/15/2020,USD
14,07/14/2020,Cash,$0.10,07/01/2020,07/15/2020,07/31/2020,USD
15,03/25/2020,Cash,$0.10,03/10/2020,03/26/2020,04/15/2020,USD
16,12/19/2019,Cash,$0.10,12/06/2019,12/20/2019,01/15/2020,USD
17,09/26/2019,Cash,$0.10,09/06/2019,09/27/2019,10/15/2019,USD
18,07/01/2019,Cash,$0.10,06/21/2019,07/02/2019,07/31/2019,USD
19,03/25/2019,Cash,$0.10,03/08/2019,03/26/2019,04/15/2019,USD
20,12/19/2018,Cash,$0.10,12/07/2018,12/20/2018,01/15/2019,USD
21,09/27/2018,Cash,$0.10,09/07/2018,09/28/2018,10/15/2018,USD
22,06/25/2018,Cash,$0.10,06/13/2018,06/26/2018,07/13/2018,USD
23,03/23/2018,Cash,$0.10,03/05/2018,03/26/2018,04/13/2018,USD
24,12/19/2017,Cash,$0.10,12/06/2017,12/20/2017,01/12/2018,USD
25,09/26/2017,Cash,$0.10,09/05/2017,09/27/2017,10/13/2017,USD
26,06/28/2017,Cash,$0.10,06/20/2017,06/30/2017,07/14/2017,USD
27,03/21/2017,Cash,$0.10,03/06/2017,03/23/2017,04/14/2017,USD
28,12/16/2016,Cash,$0.10,12/07/2016,12/20/2016,01/16/2017,USD
29,09/22/2016,Cash,$0.10,09/07/2016,09/26/2016,10/14/2016,USD
30,06/23/2016,Cash,$0.10,06/15/2016,06/27/2016,07/15/2016,USD
31,03/22/2016,Cash,$0.10,03/08/2016,03/25/2016,04/15/2016,USD
32,12/17/2015,Cash,$0.10,12/08/2015,12/21/2015,01/15/2016,USD
33,09/23/2015,Cash,$0.10,09/07/2015,09/25/2015,10/15/2015,USD
34,06/23/2015,Cash,$0.10,06/10/2015,06/25/2015,07/15/2015,USD
35,03/23/2015,Cash,$0.10,03/04/2015,03/25/2015,04/09/2015,USD
