,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/25/2023,Cash,$0.026,10/12/2023,10/26/2023,11/09/2023,USD
1,07/26/2023,Cash,$0.026,07/13/2023,07/27/2023,08/10/2023,USD
2,04/26/2023,Cash,$0.026,04/13/2023,04/27/2023,05/11/2023,USD
3,01/25/2023,Cash,$0.026,01/11/2023,01/26/2023,02/09/2023,USD
4,10/26/2022,Cash,$0.52,10/13/2022,10/27/2022,11/09/2022,USD
5,07/27/2022,Cash,$0.52,07/14/2022,07/28/2022,08/11/2022,USD
6,04/27/2022,Cash,$0.52,04/13/2022,04/28/2022,05/12/2022,USD
7,01/27/2022,Cash,$0.52,01/13/2022,01/28/2022,02/10/2022,USD
8,10/27/2021,Cash,$0.52,10/13/2021,10/28/2021,11/10/2021,USD
9,07/28/2021,Cash,$0.52,07/13/2021,07/29/2021,08/12/2021,USD
10,04/28/2021,Cash,$0.52,04/13/2021,04/29/2021,05/13/2021,USD
11,01/28/2021,Cash,$0.52,01/13/2021,01/29/2021,02/11/2021,USD
12,10/29/2020,Cash,$0.52,10/13/2020,10/30/2020,11/13/2020,USD
13,07/29/2020,Cash,$0.52,07/15/2020,07/30/2020,08/13/2020,USD
14,04/30/2020,Cash,$0.52,04/07/2020,05/01/2020,05/14/2020,USD
15,01/30/2020,Cash,$0.52,01/16/2020,01/31/2020,02/13/2020,USD
16,10/30/2019,Cash,$0.52,10/16/2019,10/31/2019,11/14/2019,USD
17,07/25/2019,Cash,$0.52,07/16/2019,07/26/2019,08/14/2019,USD
18,05/01/2019,Cash,$0.52,04/18/2019,05/02/2019,05/15/2019,USD
19,01/31/2019,Cash,$0.52,01/16/2019,02/01/2019,02/14/2019,USD
20,10/31/2018,Cash,$0.52,10/15/2018,11/01/2018,11/14/2018,USD
21,07/31/2018,Cash,$0.52,07/13/2018,08/01/2018,08/14/2018,USD
22,05/01/2018,Cash,$0.52,04/16/2018,05/02/2018,05/15/2018,USD
23,02/01/2018,Cash,$0.52,01/15/2018,02/02/2018,02/15/2018,USD
24,11/01/2017,Cash,$0.52,10/13/2017,11/02/2017,11/15/2017,USD
25,07/31/2017,Cash,$0.52,07/18/2017,08/02/2017,08/15/2017,USD
26,04/28/2017,Cash,$0.52,04/18/2017,05/02/2017,05/15/2017,USD
27,01/31/2017,Cash,$0.52,01/17/2017,02/02/2017,02/15/2017,USD
28,10/28/2016,Cash,$0.52,10/13/2016,11/01/2016,11/14/2016,USD
29,08/01/2016,Cash,$0.52,07/15/2016,08/03/2016,08/15/2016,USD
30,05/02/2016,Cash,$0.52,04/15/2016,05/04/2016,05/16/2016,USD
31,02/01/2016,Cash,$0.52,01/15/2016,02/03/2016,02/15/2016,USD
32,10/29/2015,Cash,$0.52,10/15/2015,11/02/2015,11/13/2015,USD
33,07/30/2015,Cash,$0.51,07/17/2015,08/03/2015,08/14/2015,USD
34,04/30/2015,Cash,$0.51,04/17/2015,05/04/2015,05/14/2015,USD
35,01/30/2015,Cash,$0.49,01/13/2015,02/03/2015,02/13/2015,USD
36,10/31/2014,Cash,$0.49,10/15/2014,11/04/2014,11/14/2014,USD
37,07/31/2014,Cash,$0.435,07/14/2014,08/04/2014,08/14/2014,USD
38,05/01/2014,Cash,$0.435,04/15/2014,05/05/2014,05/15/2014,USD
39,01/31/2014,Cash,$0.435,01/22/2014,02/04/2014,02/14/2014,USD
40,10/31/2013,Cash,$0.435,10/23/2013,11/04/2013,11/14/2013,USD
41,08/01/2013,Cash,$0.3173,07/23/2013,08/05/2013,08/14/2013,USD
