,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,08/14/2023,Cash,$0.29,06/22/2023,08/15/2023,09/01/2023,USD
1,05/12/2023,Cash,$0.26,03/09/2023,05/15/2023,06/01/2023,USD
2,02/14/2023,Cash,$0.26,01/20/2023,02/15/2023,03/01/2023,USD
3,11/14/2022,Cash,$0.26,09/15/2022,11/15/2022,12/01/2022,USD
4,08/12/2022,Cash,$0.26,06/23/2022,08/15/2022,09/01/2022,USD
5,05/12/2022,Cash,$0.21,03/10/2022,05/13/2022,06/01/2022,USD
6,02/14/2022,Cash,$0.21,01/21/2022,02/15/2022,03/01/2022,USD
7,11/12/2021,Cash,$0.21,09/15/2021,11/15/2021,12/01/2021,USD
8,08/12/2021,Cash,$0.21,06/24/2021,08/13/2021,09/01/2021,USD
9,05/13/2021,Cash,$0.18,03/11/2021,05/14/2021,06/01/2021,USD
10,02/11/2021,Cash,$0.18,01/29/2021,02/12/2021,03/01/2021,USD
11,11/12/2020,Cash,$0.18,09/17/2020,11/13/2020,12/01/2020,USD
12,08/13/2020,Cash,$0.18,06/25/2020,08/14/2020,09/01/2020,USD
13,05/14/2020,Cash,$0.16,03/12/2020,05/15/2020,06/01/2020,USD
14,02/13/2020,Cash,$0.16,01/24/2020,02/14/2020,03/01/2020,USD
15,11/14/2019,Cash,$0.16,09/20/2019,11/15/2019,12/01/2019,USD
16,08/14/2019,Cash,$0.16,06/28/2019,08/15/2019,09/01/2019,USD
17,05/14/2019,Cash,$0.14,03/15/2019,05/15/2019,06/01/2019,USD
18,02/14/2019,Cash,$0.14,01/28/2019,02/15/2019,03/01/2019,USD
19,11/14/2018,Cash,$0.14,09/21/2018,11/15/2018,12/01/2018,USD
20,08/14/2018,Cash,$0.14,06/29/2018,08/15/2018,09/01/2018,USD
21,05/14/2018,Cash,$0.125,03/15/2018,05/15/2018,06/01/2018,USD
22,02/14/2018,Cash,$0.125,01/19/2018,02/15/2018,03/01/2018,USD
23,11/14/2017,Cash,$0.125,09/14/2017,11/15/2017,12/01/2017,USD
24,08/11/2017,Cash,$0.125,06/22/2017,08/15/2017,09/01/2017,USD
25,05/11/2017,Cash,$0.12,03/09/2017,05/15/2017,06/01/2017,USD
26,02/13/2017,Cash,$0.12,01/13/2017,02/15/2017,03/01/2017,USD
27,11/10/2016,Cash,$0.12,09/15/2016,11/15/2016,12/01/2016,USD
28,08/11/2016,Cash,$0.12,06/23/2016,08/15/2016,09/01/2016,USD
29,05/11/2016,Cash,$0.105,03/10/2016,05/13/2016,06/01/2016,USD
30,02/10/2016,Cash,$0.105,01/15/2016,02/12/2016,03/01/2016,USD
31,11/10/2015,Cash,$0.105,09/17/2015,11/13/2015,12/01/2015,USD
32,08/12/2015,Cash,$0.105,06/25/2015,08/14/2015,09/01/2015,USD
33,05/13/2015,Cash,$0.185,03/12/2015,05/15/2015,06/01/2015,USD
34,02/11/2015,Cash,$0.185,01/16/2015,02/16/2015,03/01/2015,USD
35,11/12/2014,Cash,$0.185,09/18/2014,11/14/2014,12/01/2014,USD
36,08/13/2014,Cash,$0.165,06/26/2014,08/15/2014,09/01/2014,USD
37,05/13/2014,Cash,$0.165,03/13/2014,05/15/2014,06/01/2014,USD
38,02/12/2014,Cash,$0.165,01/17/2014,02/15/2014,03/01/2014,USD
39,11/13/2013,Cash,$0.165,09/19/2013,11/15/2013,12/01/2013,USD
40,08/13/2013,Cash,$0.15,06/27/2013,08/15/2013,09/01/2013,USD
41,05/13/2013,Cash,$0.15,03/14/2013,05/15/2013,06/01/2013,USD
42,02/13/2013,Cash,$0.15,01/18/2013,02/15/2013,03/01/2013,USD
43,11/13/2012,Cash,$0.15,09/13/2012,11/15/2012,12/01/2012,USD
44,08/13/2012,Cash,$0.115,06/21/2012,08/15/2012,09/01/2012,USD
45,05/11/2012,Cash,$0.115,03/08/2012,05/15/2012,06/01/2012,USD
46,02/13/2012,Cash,$0.115,01/20/2012,02/15/2012,03/01/2012,USD
47,11/10/2011,Cash,$0.115,09/15/2011,11/15/2011,12/01/2011,USD
48,08/11/2011,Cash,$0.105,06/23/2011,08/15/2011,09/01/2011,USD
49,05/12/2011,Cash,$0.105,03/10/2011,05/16/2011,06/01/2011,USD
