,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/29/2022,Cash,$0.729237,12/13/2022,12/30/2022,05/04/2023,USD
1,12/30/2021,Cash,$0.754702,04/27/2022,12/31/2021,05/04/2022,USD
2,12/30/2020,Cash,$0.606365,N/A,12/31/2020,05/05/2021,USD
3,12/30/2019,Cash,$0.444444,N/A,12/31/2019,04/29/2020,USD
4,12/28/2018,Cash,$0.47442,12/13/2018,12/31/2018,05/03/2019,USD
5,12/28/2017,Cash,$0.467332,12/12/2017,12/29/2017,04/27/2018,USD
6,12/28/2016,Cash,$0.350935,N/A,12/30/2016,04/28/2017,USD
7,12/29/2015,Cash,$0.219475,N/A,12/31/2015,04/28/2016,USD
8,12/27/2013,Cash,$0.384726,N/A,12/31/2013,04/25/2014,USD
9,12/27/2012,Cash,$0.883002,N/A,12/31/2012,04/18/2013,USD
10,12/28/2011,Cash,$0.880359,N/A,12/30/2011,04/20/2012,USD
11,12/29/2010,Cash,$1.108453,N/A,12/31/2010,04/15/2011,USD
12,12/29/2009,Cash,$0.8898222,N/A,12/31/2009,04/13/2010,USD
13,12/29/2008,Cash,$0.3954802,N/A,12/31/2008,03/27/2009,USD
14,12/27/2007,Cash,$0.9721007,N/A,12/31/2007,03/25/2008,USD
15,12/27/2006,Cash,$1.0621348,N/A,12/29/2006,04/06/2007,USD
16,12/28/2005,Cash,$1.0231225,N/A,12/30/2005,04/07/2006,USD
17,06/28/2005,Cash,$0.4920775,N/A,06/30/2005,08/24/2005,USD
18,01/07/2005,Cash,$0.9808729,N/A,12/31/2004,04/15/2005,USD
19,06/28/2004,Cash,$0.429074,N/A,06/30/2004,08/31/2004,USD
20,12/29/2003,Cash,$0.8664009,N/A,12/31/2003,04/16/2004,USD
21,12/27/2002,Cash,$0.094896,N/A,12/31/2002,05/09/2003,USD
22,12/27/2001,Cash,$0.1970853,N/A,12/31/2001,05/10/2002,USD
23,12/27/2000,Cash,$0.2254283,N/A,12/29/2000,05/01/2001,USD
24,12/29/1999,Cash,$0.225347,N/A,12/31/1999,05/19/2000,USD
