,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/11/2023,Cash,$0.375,09/27/2023,10/12/2023,10/26/2023,USD
1,07/06/2023,Cash,$0.375,06/22/2023,07/07/2023,07/21/2023,USD
2,04/25/2023,Cash,$0.375,04/12/2023,04/26/2023,05/10/2023,USD
3,01/26/2023,Cash,$0.375,01/12/2023,01/27/2023,02/10/2023,USD
4,10/12/2022,Cash,$0.375,09/28/2022,10/13/2022,10/27/2022,USD
5,07/06/2022,Cash,$0.375,06/22/2022,07/07/2022,07/21/2022,USD
6,04/25/2022,Cash,$0.375,04/12/2022,04/26/2022,05/10/2022,USD
7,01/26/2022,Cash,$0.375,01/12/2022,01/27/2022,02/10/2022,USD
8,10/13/2021,Cash,$0.25,09/29/2021,10/14/2021,10/28/2021,USD
9,07/01/2021,Cash,$0.25,06/18/2021,07/02/2021,07/19/2021,USD
10,04/20/2021,Cash,$0.25,04/07/2021,04/21/2021,05/05/2021,USD
11,01/28/2021,Cash,$0.25,01/14/2021,01/29/2021,02/12/2021,USD
12,10/15/2020,Cash,$0.25,10/01/2020,10/16/2020,10/30/2020,USD
13,07/09/2020,Cash,$0.125,06/25/2020,07/10/2020,07/24/2020,USD
14,04/20/2020,Cash,$0.125,04/07/2020,04/21/2020,05/05/2020,USD
15,01/23/2020,Cash,$0.125,01/10/2020,01/24/2020,02/07/2020,USD
16,10/17/2019,Cash,$0.04,10/04/2019,10/18/2019,11/01/2019,USD
17,07/10/2019,Cash,$0.04,06/27/2019,07/11/2019,07/25/2019,USD
18,04/23/2019,Cash,$0.04,04/11/2019,04/24/2019,05/08/2019,USD
19,01/24/2019,Cash,$0.04,01/11/2019,01/25/2019,02/08/2019,USD
20,10/18/2018,Cash,$0.04,10/05/2018,10/19/2018,11/02/2018,USD
21,07/11/2018,Cash,$0.04,06/28/2018,07/12/2018,07/26/2018,USD
22,04/24/2018,Cash,$0.04,04/11/2018,04/25/2018,05/09/2018,USD
23,01/25/2018,Cash,$0.04,01/11/2018,01/26/2018,02/09/2018,USD
24,10/18/2017,Cash,$0.04,10/04/2017,10/19/2017,11/02/2017,USD
25,07/11/2017,Cash,$0.04,06/28/2017,07/13/2017,07/27/2017,USD
26,04/28/2017,Cash,$0.04,04/18/2017,05/02/2017,05/16/2017,USD
27,01/25/2017,Cash,$0.04,01/12/2017,01/27/2017,02/10/2017,USD
28,10/03/2016,Cash,$0.04,09/21/2016,10/05/2016,10/20/2016,USD
29,07/06/2016,Cash,$0.04,06/23/2016,07/08/2016,07/22/2016,USD
