,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/06/2023,Cash,$0.075,09/26/2023,10/10/2023,10/20/2023,USD
1,07/10/2023,Cash,$0.075,06/27/2023,07/11/2023,07/14/2023,USD
2,04/03/2023,Cash,$0.075,03/21/2023,04/04/2023,04/14/2023,USD
3,12/30/2022,Cash,$0.075,12/20/2022,01/03/2023,01/13/2023,USD
4,10/06/2022,Cash,$0.075,09/27/2022,10/10/2022,10/21/2022,USD
5,07/08/2022,Cash,$0.075,06/28/2022,07/11/2022,07/15/2022,USD
6,04/04/2022,Cash,$0.075,03/22/2022,04/05/2022,04/14/2022,USD
7,12/23/2021,Cash,$0.075,12/14/2021,12/27/2021,01/14/2022,USD
8,10/07/2021,Cash,$0.075,09/28/2021,10/11/2021,10/22/2021,USD
9,07/02/2021,Cash,$0.075,06/22/2021,07/06/2021,07/16/2021,USD
10,04/01/2021,Cash,$0.075,03/23/2021,04/05/2021,04/16/2021,USD
11,12/24/2020,Cash,$0.075,12/15/2020,12/28/2020,01/15/2021,USD
12,10/08/2020,Cash,$0.075,09/29/2020,10/12/2020,10/23/2020,USD
13,07/02/2020,Cash,$0.075,06/23/2020,07/06/2020,07/17/2020,USD
14,04/03/2020,Cash,$0.075,03/23/2020,04/06/2020,04/17/2020,USD
15,12/27/2019,Cash,$0.075,12/17/2019,12/30/2019,01/15/2020,USD
16,10/04/2019,Cash,$0.075,09/24/2019,10/07/2019,10/16/2019,USD
17,07/05/2019,Cash,$0.075,06/25/2019,07/08/2019,07/18/2019,USD
18,04/05/2019,Cash,$0.075,03/25/2019,04/08/2019,04/19/2019,USD
19,12/28/2018,Cash,$0.075,12/18/2018,12/31/2018,01/15/2019,USD
20,10/04/2018,Cash,$0.0625,09/25/2018,10/08/2018,10/17/2018,USD
21,07/06/2018,Cash,$0.0625,06/26/2018,07/09/2018,07/18/2018,USD
22,04/05/2018,Cash,$0.0625,03/26/2018,04/06/2018,04/18/2018,USD
23,12/29/2017,Cash,$0.0625,12/19/2017,01/02/2018,01/17/2018,USD
24,10/05/2017,Cash,$0.055,09/26/2017,10/09/2017,10/17/2017,USD
25,07/06/2017,Cash,$0.055,06/27/2017,07/10/2017,07/18/2017,USD
26,04/05/2017,Cash,$0.055,03/28/2017,04/09/2017,04/18/2017,USD
27,12/22/2016,Cash,$0.055,12/15/2016,12/27/2016,01/17/2017,USD
28,09/29/2016,Cash,$0.05,09/21/2016,10/03/2016,10/17/2016,USD
29,06/30/2016,Cash,$0.05,06/23/2016,07/05/2016,07/15/2016,USD
30,03/31/2016,Cash,$0.05,03/21/2016,04/04/2016,04/15/2016,USD
31,12/23/2015,Cash,$0.05,12/15/2015,12/28/2015,01/15/2016,USD
32,10/01/2015,Cash,$0.045,09/22/2015,10/05/2015,10/15/2015,USD
33,07/01/2015,Cash,$0.045,06/23/2015,07/06/2015,07/15/2015,USD
34,04/01/2015,Cash,$0.045,03/24/2015,04/06/2015,04/15/2015,USD
35,12/24/2014,Cash,$0.045,12/16/2014,12/29/2014,01/15/2015,USD
36,10/02/2014,Cash,$0.045,09/23/2014,10/06/2014,10/15/2014,USD
37,07/02/2014,Cash,$0.045,06/24/2014,07/07/2014,07/15/2014,USD
38,04/03/2014,Cash,$0.0375,03/24/2014,04/07/2014,04/15/2014,USD
39,12/26/2013,Cash,$0.0375,12/17/2013,12/30/2013,01/15/2014,USD
40,10/03/2013,Cash,$0.0375,09/24/2013,10/07/2013,10/15/2013,USD
41,07/03/2013,Cash,$0.0375,06/25/2013,07/08/2013,07/16/2013,USD
