,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/15/2023,Cash,$0.35,10/20/2023,11/16/2023,11/30/2023,USD
1,08/16/2023,Cash,$0.35,07/07/2023,08/17/2023,08/31/2023,USD
2,05/16/2023,Cash,$0.34,04/05/2023,05/17/2023,05/31/2023,USD
3,02/13/2023,Cash,$0.34,01/13/2023,02/14/2023,02/28/2023,USD
4,11/15/2022,Cash,$0.34,10/21/2022,11/16/2022,11/30/2022,USD
5,08/16/2022,Cash,$0.34,07/01/2022,08/17/2022,08/31/2022,USD
6,05/16/2022,Cash,$0.33,04/06/2022,05/17/2022,05/31/2022,USD
7,02/11/2022,Cash,$0.33,01/07/2022,02/14/2022,02/28/2022,USD
8,11/15/2021,Cash,$0.33,10/25/2021,11/16/2021,11/30/2021,USD
9,08/16/2021,Cash,$0.33,07/01/2021,08/17/2021,08/31/2021,USD
10,05/13/2021,Cash,$0.33,04/05/2021,05/14/2021,05/28/2021,USD
11,02/11/2021,Cash,$0.32,01/08/2021,02/12/2021,02/26/2021,USD
12,11/13/2020,Cash,$0.32,10/21/2020,11/16/2020,11/30/2020,USD
13,08/14/2020,Cash,$0.32,07/06/2020,08/17/2020,08/31/2020,USD
14,05/14/2020,Cash,$0.32,04/06/2020,05/15/2020,05/29/2020,USD
15,02/13/2020,Cash,$0.31,01/13/2020,02/14/2020,02/28/2020,USD
16,11/14/2019,Cash,$0.31,10/30/2019,11/15/2019,11/29/2019,USD
17,08/15/2019,Cash,$0.31,07/01/2019,08/16/2019,08/30/2019,USD
18,05/16/2019,Cash,$0.31,04/01/2019,05/17/2019,05/31/2019,USD
19,02/13/2019,Cash,$0.31,01/08/2019,02/14/2019,02/28/2019,USD
20,11/15/2018,Cash,$0.31,10/19/2018,11/16/2018,11/30/2018,USD
21,08/16/2018,Cash,$0.31,06/27/2018,08/17/2018,08/31/2018,USD
22,05/16/2018,Cash,$0.30,05/04/2018,05/17/2018,05/31/2018,USD
23,02/13/2018,Cash,$0.30,12/08/2017,02/14/2018,02/28/2018,USD
24,11/15/2017,Cash,$0.30,10/12/2017,11/16/2017,11/30/2017,USD
25,08/15/2017,Cash,$0.30,07/17/2017,08/17/2017,08/31/2017,USD
26,05/15/2017,Cash,$0.29,04/28/2017,05/17/2017,05/31/2017,USD
27,02/10/2017,Cash,$0.29,12/02/2016,02/14/2017,02/28/2017,USD
28,11/14/2016,Cash,$0.29,09/23/2016,11/16/2016,11/30/2016,USD
29,08/15/2016,Cash,$0.29,07/21/2016,08/17/2016,08/31/2016,USD
30,05/13/2016,Cash,$0.28,05/02/2016,05/17/2016,05/31/2016,USD
31,02/10/2016,Cash,$0.28,12/09/2015,02/15/2016,02/29/2016,USD
32,11/12/2015,Cash,$0.28,09/25/2015,11/16/2015,11/30/2015,USD
33,08/13/2015,Cash,$0.28,07/22/2015,08/17/2015,08/31/2015,USD
34,05/13/2015,Cash,$0.27,04/30/2015,05/15/2015,05/29/2015,USD
35,02/11/2015,Cash,$0.27,12/05/2014,02/13/2015,02/27/2015,USD
36,11/12/2014,Cash,$0.27,09/25/2014,11/14/2014,11/28/2014,USD
37,08/13/2014,Cash,$0.27,07/25/2014,08/15/2014,08/29/2014,USD
38,05/14/2014,Cash,$0.26,05/05/2014,05/16/2014,05/30/2014,USD
39,02/12/2014,Cash,$0.26,01/03/2014,02/14/2014,02/28/2014,USD
40,11/13/2013,Cash,$0.13,10/02/2013,11/15/2013,11/29/2013,USD
41,08/14/2013,Cash,$0.13,07/25/2013,08/16/2013,08/30/2013,USD
42,05/15/2013,Cash,$0.115,05/03/2013,05/17/2013,05/31/2013,USD
43,02/12/2013,Cash,$0.115,12/06/2012,02/14/2013,02/28/2013,USD
44,11/14/2012,Cash,$0.115,10/03/2012,11/16/2012,11/30/2012,USD
45,08/15/2012,Cash,$0.115,07/23/2012,08/17/2012,08/31/2012,USD
