,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/02/2023,Cash,$0.28,09/28/2023,11/03/2023,12/01/2023,USD
1,08/03/2023,Cash,$0.28,07/19/2023,08/04/2023,09/01/2023,USD
2,05/04/2023,Cash,$0.28,03/23/2023,05/05/2023,06/02/2023,USD
3,02/02/2023,Cash,$0.28,12/14/2022,02/03/2023,03/03/2023,USD
4,11/03/2022,Cash,$0.245,09/28/2022,11/04/2022,12/02/2022,USD
5,08/04/2022,Cash,$0.245,07/20/2022,08/05/2022,09/02/2022,USD
6,05/05/2022,Cash,$0.245,03/24/2022,05/06/2022,06/03/2022,USD
7,02/03/2022,Cash,$0.245,12/17/2021,02/04/2022,03/04/2022,USD
8,11/04/2021,Cash,$0.235,09/23/2021,11/05/2021,12/03/2021,USD
9,08/05/2021,Cash,$0.235,07/22/2021,08/06/2021,09/03/2021,USD
10,05/06/2021,Cash,$0.235,03/25/2021,05/07/2021,06/04/2021,USD
11,02/04/2021,Cash,$0.235,12/17/2020,02/05/2021,03/05/2021,USD
12,11/05/2020,Cash,$0.23,09/24/2020,11/06/2020,12/04/2020,USD
13,08/06/2020,Cash,$0.23,07/23/2020,08/07/2020,09/04/2020,USD
14,05/07/2020,Cash,$0.23,03/19/2020,05/08/2020,06/05/2020,USD
15,01/30/2020,Cash,$0.23,12/19/2019,01/31/2020,02/28/2020,USD
16,10/31/2019,Cash,$0.20,09/27/2019,11/01/2019,11/29/2019,USD
17,08/01/2019,Cash,$0.20,07/19/2019,08/02/2019,08/30/2019,USD
18,05/02/2019,Cash,$0.20,03/22/2019,05/03/2019,05/31/2019,USD
19,01/31/2019,Cash,$0.20,12/21/2018,02/01/2019,03/01/2019,USD
20,11/01/2018,Cash,$0.19125,09/27/2018,11/02/2018,11/30/2018,USD
21,08/02/2018,Cash,$0.19125,07/20/2018,08/03/2018,08/31/2018,USD
22,05/03/2018,Cash,$0.19125,03/22/2018,05/04/2018,06/01/2018,USD
23,02/01/2018,Cash,$0.19125,12/21/2017,02/02/2018,03/02/2018,USD
24,11/02/2017,Cash,$0.1875,09/28/2017,11/03/2017,12/01/2017,USD
25,08/02/2017,Cash,$0.1875,07/20/2017,08/04/2017,09/01/2017,USD
26,04/26/2017,Cash,$0.1875,03/23/2017,04/30/2017,06/02/2017,USD
27,01/26/2017,Cash,$0.1875,12/15/2016,01/30/2017,03/01/2017,USD
