,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/05/2023,Cash,$0.1815,08/22/2023,09/06/2023,09/15/2023,USD
1,06/01/2023,Cash,$0.1815,05/02/2023,06/02/2023,06/15/2023,USD
2,03/06/2023,Cash,$0.1815,02/21/2023,03/07/2023,03/15/2023,USD
3,12/09/2022,Cash,$0.1815,11/30/2022,12/12/2022,12/20/2022,USD
4,09/06/2022,Cash,$0.165,08/23/2022,09/07/2022,09/15/2022,USD
5,06/01/2022,Cash,$0.165,05/03/2022,06/02/2022,06/15/2022,USD
6,03/02/2022,Cash,$0.165,02/15/2022,03/03/2022,03/15/2022,USD
7,12/01/2021,Cash,$0.165,11/16/2021,12/02/2021,12/15/2021,USD
8,09/01/2021,Cash,$0.15,08/17/2021,09/02/2021,09/15/2021,USD
9,05/28/2021,Cash,$0.15,05/04/2021,06/01/2021,06/15/2021,USD
10,03/03/2021,Cash,$0.15,01/28/2021,03/04/2021,03/15/2021,USD
11,12/01/2020,Cash,$0.14,11/17/2020,12/02/2020,12/15/2020,USD
12,09/02/2020,Cash,$0.07,08/18/2020,09/03/2020,09/15/2020,USD
13,03/06/2020,Cash,$0.14,02/26/2020,03/09/2020,03/16/2020,USD
14,11/29/2019,Cash,$0.14,11/21/2019,12/02/2019,12/13/2019,USD
15,09/05/2019,Cash,$0.13,08/28/2019,09/06/2019,09/13/2019,USD
16,05/29/2019,Cash,$0.13,05/01/2019,05/30/2019,06/14/2019,USD
17,03/08/2019,Cash,$0.13,02/27/2019,03/11/2019,03/20/2019,USD
18,12/07/2018,Cash,$0.13,11/29/2018,12/10/2018,12/20/2018,USD
19,09/06/2018,Cash,$0.12,08/29/2018,09/07/2018,09/14/2018,USD
20,05/31/2018,Cash,$0.12,05/01/2018,06/01/2018,06/15/2018,USD
21,03/05/2018,Cash,$0.12,02/23/2018,03/06/2018,03/15/2018,USD
22,12/08/2017,Cash,$0.12,11/29/2017,12/11/2017,12/20/2017,USD
23,09/07/2017,Cash,$0.11,08/29/2017,09/08/2017,09/15/2017,USD
24,05/30/2017,Cash,$0.11,05/09/2017,06/01/2017,06/15/2017,USD
25,03/02/2017,Cash,$0.11,02/21/2017,03/06/2017,03/15/2017,USD
26,12/07/2016,Cash,$0.11,11/30/2016,12/09/2016,12/15/2016,USD
27,05/23/2016,Cash,$0.10,05/03/2016,05/25/2016,06/10/2016,USD
28,02/25/2016,Cash,$0.10,02/17/2016,02/29/2016,03/10/2016,USD
29,11/25/2015,Cash,$0.10,11/17/2015,11/30/2015,12/10/2015,USD
30,08/27/2015,Cash,$0.08,08/19/2015,08/31/2015,09/10/2015,USD
31,05/26/2015,Cash,$0.08,05/04/2015,05/28/2015,06/10/2015,USD
32,02/25/2015,Cash,$0.08,02/17/2015,02/27/2015,03/10/2015,USD
33,11/25/2014,Cash,$0.08,11/18/2014,11/28/2014,12/10/2014,USD
34,08/27/2014,Cash,$0.06,08/19/2014,08/29/2014,09/10/2014,USD
35,05/27/2014,Cash,$0.06,04/29/2014,05/29/2014,06/10/2014,USD
36,02/26/2014,Cash,$0.06,02/17/2014,02/28/2014,03/10/2014,USD
37,11/26/2013,Cash,$0.06,11/19/2013,11/29/2013,12/10/2013,USD
38,08/28/2013,Cash,$0.04,08/21/2013,08/30/2013,09/10/2013,USD
39,05/28/2013,Cash,$0.04,04/30/2013,05/30/2013,06/10/2013,USD
