,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/11/2024,Cash,$0.14,12/06/2023,01/12/2024,01/26/2024,USD
1,10/12/2023,Cash,$0.14,09/13/2023,10/13/2023,10/27/2023,USD
2,07/13/2023,Cash,$0.14,06/15/2023,07/14/2023,07/28/2023,USD
3,04/13/2023,Cash,$0.14,03/16/2023,04/14/2023,04/28/2023,USD
4,01/12/2023,Cash,$0.14,12/15/2022,01/13/2023,01/27/2023,USD
5,10/13/2022,Cash,$0.14,09/14/2022,10/14/2022,10/28/2022,USD
6,07/14/2022,Cash,$0.14,06/16/2022,07/15/2022,07/29/2022,USD
7,04/13/2022,Cash,$0.14,03/17/2022,04/14/2022,04/29/2022,USD
8,01/13/2022,Cash,$0.14,12/09/2021,01/14/2022,01/28/2022,USD
9,10/14/2021,Cash,$0.14,09/15/2021,10/15/2021,10/29/2021,USD
10,07/15/2021,Cash,$0.14,06/17/2021,07/16/2021,07/30/2021,USD
11,04/15/2021,Cash,$0.11,03/18/2021,04/16/2021,04/30/2021,USD
12,01/14/2021,Cash,$0.11,12/14/2020,01/15/2021,01/29/2021,USD
13,10/15/2020,Cash,$0.11,09/16/2020,10/16/2020,10/30/2020,USD
14,07/16/2020,Cash,$0.11,06/18/2020,07/17/2020,07/31/2020,USD
15,04/16/2020,Cash,$0.11,03/19/2020,04/17/2020,05/01/2020,USD
16,01/16/2020,Cash,$0.11,12/12/2019,01/17/2020,01/31/2020,USD
17,10/10/2019,Cash,$0.11,09/13/2019,10/11/2019,10/25/2019,USD
18,07/11/2019,Cash,$0.11,06/14/2019,07/12/2019,07/26/2019,USD
19,04/11/2019,Cash,$0.11,03/16/2019,04/12/2019,04/26/2019,USD
20,01/10/2019,Cash,$0.11,12/14/2018,01/11/2019,01/25/2019,USD
21,10/11/2018,Cash,$0.11,09/14/2018,10/12/2018,10/26/2018,USD
22,07/12/2018,Cash,$0.11,06/15/2018,07/13/2018,07/27/2018,USD
23,04/12/2018,Cash,$0.11,03/15/2018,04/13/2018,04/27/2018,USD
24,01/11/2018,Cash,$0.11,12/15/2017,01/12/2018,01/26/2018,USD
25,10/12/2017,Cash,$0.09,09/14/2017,10/13/2017,10/27/2017,USD
26,07/12/2017,Cash,$0.09,06/15/2017,07/14/2017,07/28/2017,USD
27,04/11/2017,Cash,$0.09,03/16/2017,04/14/2017,04/28/2017,USD
28,01/11/2017,Cash,$0.09,12/15/2016,01/13/2017,01/27/2017,USD
29,10/12/2016,Cash,$0.09,09/15/2016,10/14/2016,10/28/2016,USD
30,07/13/2016,Cash,$0.09,06/16/2016,07/15/2016,07/29/2016,USD
31,04/13/2016,Cash,$0.09,03/16/2016,04/15/2016,04/29/2016,USD
32,01/13/2016,Cash,$0.09,12/17/2015,01/15/2016,01/29/2016,USD
33,10/14/2015,Cash,$0.09,09/17/2015,10/16/2015,10/30/2015,USD
34,07/15/2015,Cash,$0.09,06/18/2015,07/17/2015,07/31/2015,USD
35,04/13/2015,Cash,$0.09,03/19/2015,04/15/2015,04/29/2015,USD
36,01/14/2015,Cash,$0.09,12/06/2014,01/16/2015,01/30/2015,USD
37,10/15/2014,Cash,$0.09,09/18/2014,10/17/2014,10/31/2014,USD
38,07/16/2014,Cash,$0.09,06/19/2014,07/18/2014,08/01/2014,USD
39,04/15/2014,Cash,$0.09,03/13/2014,04/18/2014,05/02/2014,USD
40,01/15/2014,Cash,$0.07,12/12/2013,01/17/2014,01/31/2014,USD
41,10/09/2013,Cash,$0.07,09/12/2013,10/11/2013,10/25/2013,USD
42,07/10/2013,Cash,$0.07,06/14/2013,07/12/2013,07/26/2013,USD
43,04/10/2013,Cash,$0.07,03/15/2013,04/12/2013,04/26/2013,USD
44,12/12/2012,Cash,$0.07,12/04/2012,12/14/2012,12/21/2012,USD
45,10/10/2012,Cash,$0.07,09/13/2012,10/12/2012,10/26/2012,USD
46,07/11/2012,Cash,$0.07,06/21/2012,07/13/2012,07/27/2012,USD
47,04/11/2012,Cash,$0.07,03/15/2012,04/13/2012,04/27/2012,USD
48,01/11/2012,Cash,$0.07,12/15/2011,01/13/2012,01/27/2012,USD
49,10/12/2011,Cash,$0.07,09/15/2011,10/14/2011,10/28/2011,USD
50,07/13/2011,Cash,$0.07,06/24/2011,07/15/2011,07/29/2011,USD
51,04/13/2011,Cash,$0.07,03/17/2011,04/15/2011,04/29/2011,USD
52,01/12/2011,Cash,$0.07,12/16/2010,01/14/2011,01/28/2011,USD
53,10/13/2010,Cash,$0.07,09/22/2010,10/15/2010,10/29/2010,USD
54,07/14/2010,Cash,$0.07,06/24/2010,07/16/2010,07/30/2010,USD
55,04/14/2010,Cash,$0.07,03/19/2010,04/16/2010,04/30/2010,USD
56,01/13/2010,Cash,$0.07,12/17/2009,01/15/2010,01/29/2010,USD
57,10/14/2009,Cash,$0.07,09/17/2009,10/16/2009,10/30/2009,USD
58,07/15/2009,Cash,$0.07,06/25/2009,07/17/2009,07/31/2009,USD
59,04/15/2009,Cash,$0.07,03/04/2009,04/17/2009,05/01/2009,USD
60,01/14/2009,Cash,$0.07,12/11/2008,01/16/2009,01/30/2009,USD
61,10/15/2008,Cash,$0.07,09/18/2008,10/17/2008,10/31/2008,USD
62,07/16/2008,Cash,$0.05,06/27/2008,07/18/2008,08/01/2008,USD
