,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/06/2023,Cash,$0.35,08/24/2023,09/07/2023,09/21/2023,USD
1,06/06/2023,Cash,$0.35,05/25/2023,06/07/2023,06/21/2023,USD
2,04/04/2023,Cash,$1.00,03/23/2023,04/05/2023,04/19/2023,USD
3,04/04/2023,Cash,$0.35,03/23/2023,04/05/2023,04/19/2023,USD
4,12/01/2022,Cash,$0.35,11/22/2022,12/02/2022,12/16/2022,USD
5,09/06/2022,Cash,$0.35,08/25/2022,09/07/2022,09/21/2022,USD
6,06/07/2022,Cash,$0.35,05/26/2022,06/08/2022,06/22/2022,USD
7,04/05/2022,Cash,$0.35,03/24/2022,04/06/2022,04/20/2022,USD
8,12/02/2021,Cash,$0.25,11/23/2021,12/03/2021,12/17/2021,USD
9,09/07/2021,Cash,$0.20,08/26/2021,09/08/2021,09/22/2021,USD
10,06/08/2021,Cash,$0.20,05/27/2021,06/09/2021,06/23/2021,USD
11,04/06/2021,Cash,$0.20,03/25/2021,04/07/2021,04/21/2021,USD
12,01/20/2021,Cash,$0.10,01/11/2021,01/21/2021,02/05/2021,USD
13,12/05/2019,Cash,$0.20,11/27/2019,12/06/2019,12/20/2019,USD
14,09/09/2019,Cash,$0.20,08/29/2019,09/10/2019,09/24/2019,USD
15,06/10/2019,Cash,$0.20,05/30/2019,06/11/2019,06/25/2019,USD
16,04/09/2019,Cash,$0.20,03/28/2019,04/10/2019,04/24/2019,USD
17,12/13/2018,Cash,$0.20,12/05/2018,12/14/2018,12/28/2018,USD
18,09/10/2018,Cash,$0.20,08/29/2018,09/11/2018,09/25/2018,USD
19,06/08/2018,Cash,$0.20,05/30/2018,06/11/2018,06/25/2018,USD
20,04/10/2018,Cash,$0.20,03/29/2018,04/11/2018,04/25/2018,USD
21,11/30/2017,Cash,$0.13,11/21/2017,12/01/2017,12/15/2017,USD
22,09/08/2017,Cash,$0.13,08/29/2017,09/11/2017,09/25/2017,USD
23,06/02/2017,Cash,$0.13,05/25/2017,06/06/2017,06/20/2017,USD
24,03/29/2017,Cash,$0.13,03/20/2017,03/31/2017,04/14/2017,USD
25,11/30/2016,Cash,$0.13,11/22/2016,12/02/2016,12/16/2016,USD
26,09/01/2016,Cash,$0.13,08/25/2016,09/06/2016,09/20/2016,USD
27,06/03/2016,Cash,$0.13,05/26/2016,06/07/2016,06/21/2016,USD
28,04/08/2016,Cash,$0.13,03/31/2016,04/12/2016,04/26/2016,USD
29,12/02/2015,Cash,$0.11,11/24/2015,12/04/2015,12/18/2015,USD
30,09/03/2015,Cash,$0.11,08/27/2015,09/08/2015,09/22/2015,USD
31,06/04/2015,Cash,$0.11,05/27/2015,06/08/2015,06/22/2015,USD
32,04/08/2015,Cash,$0.11,03/31/2015,04/10/2015,04/24/2015,USD
33,12/03/2014,Cash,$0.10,11/25/2014,12/05/2014,12/19/2014,USD
34,09/03/2014,Cash,$0.10,08/26/2014,09/05/2014,09/15/2014,USD
35,05/29/2014,Cash,$0.10,05/22/2014,06/02/2014,06/16/2014,USD
36,04/03/2014,Cash,$0.10,03/26/2014,04/07/2014,04/21/2014,USD
37,12/04/2013,Cash,$0.08,11/26/2013,12/06/2013,12/20/2013,USD
38,09/04/2013,Cash,$0.08,08/27/2013,09/06/2013,09/20/2013,USD
39,06/06/2013,Cash,$0.05,05/29/2013,06/10/2013,06/21/2013,USD
40,03/28/2013,Cash,$0.05,03/21/2013,04/02/2013,04/16/2013,USD
41,12/06/2012,Cash,$0.75,11/27/2012,12/10/2012,12/21/2012,USD
42,12/06/2012,Cash,$0.05,11/27/2012,12/10/2012,12/21/2012,USD
43,09/06/2012,Cash,$0.05,08/28/2012,09/10/2012,09/24/2012,USD
44,06/07/2012,Cash,$0.05,05/30/2012,06/11/2012,06/25/2012,USD
45,04/26/2012,Cash,$0.50,03/29/2012,04/30/2012,05/15/2012,USD
46,04/05/2012,Cash,$0.05,03/29/2012,04/10/2012,04/24/2012,USD
47,12/09/2011,Cash,$0.03,12/01/2011,12/13/2011,12/27/2011,USD
48,09/08/2011,Cash,$0.03,09/01/2011,09/12/2011,09/26/2011,USD
49,06/09/2011,Cash,$0.03,06/01/2011,06/13/2011,06/27/2011,USD
50,04/14/2011,Cash,$0.03,04/05/2011,04/18/2011,04/29/2011,USD
51,01/22/2009,Cash,$0.05,01/15/2009,01/26/2009,02/09/2009,USD
52,10/15/2008,Cash,$0.08,10/08/2008,10/17/2008,10/31/2008,USD
53,07/15/2008,Cash,$0.08,06/25/2008,07/17/2008,07/31/2008,USD
54,04/14/2008,Cash,$0.08,03/27/2008,04/16/2008,04/30/2008,USD
55,01/15/2008,Cash,$0.08,01/07/2008,01/17/2008,01/31/2008,USD
56,10/15/2007,Cash,$0.08,10/08/2007,10/17/2007,10/31/2007,USD
57,07/13/2007,Cash,$0.08,07/09/2007,07/17/2007,07/31/2007,USD
58,04/12/2007,Cash,$0.08,03/29/2007,04/16/2007,04/30/2007,USD
59,01/12/2007,Cash,$0.06,01/05/2007,01/17/2007,01/31/2007,USD
60,10/13/2006,Cash,$0.06,10/11/2006,10/17/2006,10/31/2006,USD
61,07/12/2006,Cash,$0.06,06/29/2006,07/14/2006,07/31/2006,USD
62,04/11/2006,Cash,$0.06,04/06/2006,04/14/2006,04/28/2006,USD
63,01/17/2006,Cash,$0.05,01/11/2006,01/19/2006,01/31/2006,USD
64,10/13/2005,Cash,$0.05,10/07/2005,10/17/2005,10/31/2005,USD
65,07/14/2005,Cash,$0.05,07/07/2005,07/18/2005,07/29/2005,USD
66,04/13/2005,Cash,$0.05,03/23/2005,04/15/2005,04/29/2005,USD
67,01/12/2005,Cash,$0.04,01/07/2005,01/17/2005,01/31/2005,USD
68,10/14/2004,Cash,$0.04,10/06/2004,10/18/2004,10/29/2004,USD
69,07/14/2004,Cash,$0.04,06/20/2004,07/16/2004,07/30/2004,USD
70,04/14/2004,Cash,$0.08,03/12/2004,04/16/2004,04/30/2004,USD
71,01/14/2004,Cash,$0.06,01/07/2004,01/16/2004,01/30/2004,USD
72,10/15/2003,Cash,$0.06,N/A,10/17/2003,10/31/2003,USD
73,07/11/2003,Cash,$0.06,06/18/2003,07/15/2003,07/31/2003,USD
74,04/15/2003,Cash,$0.03,04/09/2003,04/18/2003,04/30/2003,USD
75,01/15/2003,Cash,$0.03,01/06/2003,01/17/2003,01/31/2003,USD
76,10/15/2002,Cash,$0.03,10/03/2002,10/17/2002,10/31/2002,USD
77,07/11/2002,Cash,$0.03,N/A,07/15/2002,07/31/2002,USD
78,04/17/2002,Cash,$0.03,04/08/2002,04/19/2002,04/30/2002,USD
79,01/15/2002,Cash,$0.03,01/04/2002,01/17/2002,01/31/2002,USD
80,10/12/2001,Cash,$0.03,10/02/2001,10/16/2001,10/31/2001,USD
81,07/13/2001,Cash,$0.03,07/05/2001,07/17/2001,07/31/2001,USD
82,04/11/2001,Cash,$0.03,04/04/2001,04/16/2001,04/30/2001,USD
83,01/12/2001,Cash,$0.03,01/04/2001,01/17/2001,01/31/2001,USD
84,10/17/2000,Cash,$0.025,10/03/2000,10/19/2000,10/31/2000,USD
85,07/18/2000,Cash,$0.025,07/10/2000,07/20/2000,07/31/2000,USD
86,04/18/2000,Cash,$0.025,04/11/2000,04/21/2000,04/28/2000,USD
87,01/18/2000,Cash,$0.025,01/05/2000,01/20/2000,01/31/2000,USD
88,10/14/1999,Cash,$0.025,10/06/1999,10/18/1999,10/29/1999,USD
89,07/14/1999,Cash,$0.025,07/01/1999,07/16/1999,07/30/1999,USD
90,04/14/1999,Cash,$0.025,04/05/1999,04/16/1999,04/30/1999,USD
91,01/20/1999,Cash,$0.02,01/04/1999,01/22/1999,01/29/1999,USD
92,10/14/1998,Cash,$0.02,09/25/1998,10/16/1998,10/30/1998,USD
93,07/21/1998,Cash,$0.02,07/13/1998,07/23/1998,07/31/1998,USD
94,04/13/1998,Cash,$0.02,03/26/1998,04/15/1998,04/30/1998,USD
95,01/21/1998,Cash,$0.02,12/19/1997,01/23/1998,01/30/1998,USD
96,10/15/1997,Cash,$0.02,10/05/1997,10/17/1997,10/31/1997,USD
97,07/22/1997,Cash,$0.03,07/09/1997,07/24/1997,07/31/1997,USD
98,04/17/1997,Cash,$0.03,04/07/1997,04/21/1997,05/01/1997,USD
99,01/15/1997,Cash,$0.03,01/07/1997,01/20/1997,01/31/1997,USD
100,10/16/1996,Cash,$0.03,10/03/1996,10/18/1996,10/31/1996,USD
101,07/17/1996,Cash,$0.03,07/02/1996,07/19/1996,07/31/1996,USD
102,01/23/1996,Cash,$0.025,01/15/1996,01/25/1996,01/31/1996,USD
103,10/12/1995,Cash,$0.025,10/05/1995,10/16/1995,10/31/1995,USD
104,07/13/1995,Cash,$0.025,07/05/1995,07/17/1995,07/31/1995,USD
105,04/20/1995,Cash,$0.025,04/14/1995,04/26/1995,04/28/1995,USD
