,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/05/2023,Cash,$0.06,09/14/2023,10/06/2023,10/25/2023,USD
1,07/06/2023,Cash,$0.06,06/15/2023,07/07/2023,07/26/2023,USD
2,04/05/2023,Cash,$0.06,03/14/2023,04/07/2023,04/26/2023,USD
3,01/05/2023,Cash,$0.06,12/12/2022,01/06/2023,01/25/2023,USD
4,10/06/2022,Cash,$0.06,09/22/2022,10/07/2022,10/26/2022,USD
5,07/07/2022,Cash,$0.06,06/02/2022,07/08/2022,07/27/2022,USD
6,04/07/2022,Cash,$0.06,03/01/2022,04/08/2022,04/27/2022,USD
7,01/06/2022,Cash,$0.06,12/16/2021,01/07/2022,01/26/2022,USD
8,10/07/2021,Cash,$0.06,09/22/2021,10/11/2021,10/27/2021,USD
9,07/08/2021,Cash,$0.06,06/02/2021,07/09/2021,07/28/2021,USD
10,04/08/2021,Cash,$0.06,03/04/2021,04/09/2021,04/28/2021,USD
11,12/22/2020,Cash,$0.06,12/01/2020,12/23/2020,01/14/2021,USD
12,10/08/2020,Cash,$0.06,09/24/2020,10/12/2020,10/28/2020,USD
13,07/10/2020,Cash,$0.06,06/24/2020,07/13/2020,07/29/2020,USD
14,04/02/2020,Cash,$0.06,03/11/2020,04/03/2020,04/22/2020,USD
15,12/24/2019,Cash,$0.06,12/05/2019,12/26/2019,01/16/2020,USD
16,10/09/2019,Cash,$0.06,09/19/2019,10/10/2019,10/30/2019,USD
17,07/11/2019,Cash,$0.06,06/28/2019,07/12/2019,07/31/2019,USD
18,04/02/2019,Cash,$0.06,03/14/2019,04/03/2019,04/24/2019,USD
19,12/24/2018,Cash,$0.06,12/07/2018,12/26/2018,01/15/2019,USD
20,10/01/2018,Cash,$0.06,09/13/2018,10/02/2018,10/23/2018,USD
21,07/06/2018,Cash,$0.06,06/28/2018,07/09/2018,07/31/2018,USD
22,03/28/2018,Cash,$0.06,03/15/2018,03/29/2018,04/18/2018,USD
23,12/26/2017,Cash,$0.06,12/08/2017,12/27/2017,01/16/2018,USD
24,10/06/2017,Cash,$0.06,09/21/2017,10/10/2017,10/26/2017,USD
25,06/30/2017,Cash,$0.06,06/15/2017,07/05/2017,07/21/2017,USD
26,03/31/2017,Cash,$0.06,03/16/2017,04/04/2017,04/20/2017,USD
27,12/02/2016,Cash,$0.06,11/15/2016,12/06/2016,12/28/2016,USD
28,09/26/2016,Cash,$0.06,09/13/2016,09/28/2016,10/19/2016,USD
29,06/10/2016,Cash,$0.06,05/18/2016,06/14/2016,07/12/2016,USD
30,03/24/2016,Cash,$0.06,03/15/2016,03/29/2016,04/22/2016,USD
31,12/14/2015,Cash,$0.06,12/01/2015,12/16/2015,12/29/2015,USD
32,10/06/2015,Cash,$0.06,09/23/2015,10/08/2015,10/22/2015,USD
33,06/09/2015,Cash,$0.06,05/20/2015,06/11/2015,07/01/2015,USD
34,03/10/2015,Cash,$0.06,02/18/2015,03/12/2015,04/02/2015,USD
35,12/09/2014,Cash,$0.06,11/19/2014,12/11/2014,12/29/2014,USD
36,09/09/2014,Cash,$0.06,08/20/2014,09/11/2014,10/02/2014,USD
37,06/10/2014,Cash,$0.06,05/21/2014,06/12/2014,07/02/2014,USD
38,03/11/2014,Cash,$0.06,02/19/2014,03/13/2014,03/27/2014,USD
39,12/10/2013,Cash,$0.06,11/19/2013,12/12/2013,12/23/2013,USD
40,09/10/2013,Cash,$0.06,08/21/2013,09/12/2013,10/03/2013,USD
41,06/11/2013,Cash,$0.06,05/22/2013,06/13/2013,07/03/2013,USD
42,03/12/2013,Cash,$0.06,02/20/2013,03/14/2013,04/04/2013,USD
