,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/27/2023,Cash,$0.35,10/13/2023,10/30/2023,11/20/2023,USD
1,07/28/2022,Cash,$0.84,07/15/2022,07/30/2022,08/20/2022,USD
2,04/28/2022,Cash,$1.04,04/14/2022,04/30/2022,05/20/2022,USD
3,01/27/2022,Cash,$1.75,01/11/2022,01/30/2022,02/20/2022,USD
4,10/28/2021,Cash,$1.42,10/08/2021,10/30/2021,11/20/2021,USD
5,07/29/2021,Cash,$0.09,07/12/2021,07/30/2021,08/20/2021,USD
6,04/29/2021,Cash,$0.89,04/12/2021,04/30/2021,05/20/2021,USD
7,01/28/2021,Cash,$0.46,01/11/2021,01/30/2021,02/20/2021,USD
8,10/29/2020,Cash,$0.36,10/09/2020,10/30/2020,11/20/2020,USD
9,07/29/2020,Cash,$0.05,07/13/2020,07/30/2020,08/20/2020,USD
10,04/29/2020,Cash,$0.56,04/13/2020,04/30/2020,05/20/2020,USD
11,01/29/2020,Cash,$0.70,01/15/2020,01/30/2020,02/20/2020,USD
12,10/29/2019,Cash,$0.87,10/12/2019,10/30/2019,11/20/2019,USD
13,07/29/2019,Cash,$0.21,07/15/2019,07/30/2019,08/20/2019,USD
14,04/29/2019,Cash,$0.89,04/13/2019,04/30/2019,05/20/2019,USD
15,01/29/2019,Cash,$1.39,01/12/2019,01/30/2019,02/20/2019,USD
16,10/29/2018,Cash,$0.94,10/12/2018,10/30/2018,11/20/2018,USD
17,07/27/2018,Cash,$0.22,07/16/2018,07/30/2018,08/20/2018,USD
18,04/27/2018,Cash,$0.45,04/13/2018,04/30/2018,05/20/2018,USD
19,01/29/2018,Cash,$1.18,01/13/2018,01/30/2018,02/20/2018,USD
20,10/27/2017,Cash,$0.64,10/13/2017,10/30/2017,11/20/2017,USD
21,07/26/2017,Cash,$0.16,07/14/2017,07/30/2017,08/20/2017,USD
22,04/26/2017,Cash,$0.55,04/14/2017,04/30/2017,05/20/2017,USD
23,01/26/2017,Cash,$0.14,01/19/2017,01/30/2017,02/20/2017,USD
24,10/26/2016,Cash,$0.10,10/14/2016,10/30/2016,11/20/2016,USD
25,07/27/2016,Cash,$0.20,07/14/2016,07/30/2016,08/20/2016,USD
26,04/27/2016,Cash,$0.20,04/15/2016,04/30/2016,05/20/2016,USD
27,01/27/2016,Cash,$0.05,01/15/2016,01/30/2016,02/20/2016,USD
28,07/28/2015,Cash,$0.04,07/17/2015,07/30/2015,08/20/2015,USD
29,01/28/2015,Cash,$0.64,01/16/2015,01/30/2015,02/20/2015,USD
30,10/28/2014,Cash,$0.88,10/14/2014,10/30/2014,11/20/2014,USD
31,07/28/2014,Cash,$0.32,07/11/2014,07/30/2014,08/20/2014,USD
32,01/28/2014,Cash,$0.57,01/17/2014,01/30/2014,02/20/2014,USD
33,10/28/2013,Cash,$0.51,10/11/2013,10/30/2013,11/20/2013,USD
34,07/26/2013,Cash,$0.46,07/16/2013,07/30/2013,08/20/2013,USD
35,04/26/2013,Cash,$0.08,04/12/2013,04/30/2013,05/20/2013,USD
36,01/28/2013,Cash,$0.49,01/15/2013,01/30/2013,02/20/2013,USD
37,10/26/2012,Cash,$1.13,10/12/2012,10/30/2012,11/20/2012,USD
38,07/26/2012,Cash,$0.64,07/16/2012,07/30/2012,08/20/2012,USD
39,01/26/2012,Cash,$0.76,01/13/2012,01/30/2012,02/20/2012,USD
40,07/27/2011,Cash,$0.60,07/15/2011,07/30/2011,08/20/2011,USD
41,04/27/2011,Cash,$0.05,04/12/2011,04/30/2011,05/20/2011,USD
42,01/26/2011,Cash,$0.65,01/14/2011,01/30/2011,02/20/2011,USD
43,10/27/2010,Cash,$0.91,10/15/2010,10/30/2010,11/20/2010,USD
44,07/28/2010,Cash,$0.80,07/15/2010,07/30/2010,08/20/2010,USD
45,04/28/2010,Cash,$0.125,04/15/2010,04/30/2010,05/20/2010,USD
46,01/27/2010,Cash,$0.55,01/15/2010,01/30/2010,02/20/2010,USD
47,10/28/2009,Cash,$0.22,10/19/2009,10/30/2009,11/20/2009,USD
48,04/28/2009,Cash,$0.38,04/16/2009,04/30/2009,05/20/2009,USD
49,01/28/2009,Cash,$0.11,01/16/2009,01/30/2009,02/20/2009,USD
50,10/28/2008,Cash,$1.25,10/16/2008,10/30/2008,11/20/2008,USD
51,07/28/2008,Cash,$1.00,07/18/2008,07/30/2008,08/20/2008,USD
52,04/28/2008,Cash,$0.12,04/11/2008,04/30/2008,05/20/2008,USD
53,01/28/2008,Cash,$0.515,01/11/2008,01/30/2008,02/20/2008,USD
54,10/26/2007,Cash,$0.48,10/15/2007,10/30/2007,11/20/2007,USD
55,07/26/2007,Cash,$0.31,07/13/2007,07/30/2007,08/20/2007,USD
56,04/26/2007,Cash,$0.045,04/13/2007,04/30/2007,05/20/2007,USD
