,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/13/2023,Cash,$0.83,10/11/2023,11/14/2023,11/28/2023,USD
1,07/10/2023,Cash,$0.79,06/21/2023,07/11/2023,07/25/2023,USD
2,04/10/2023,Cash,$0.79,03/22/2023,04/11/2023,04/25/2023,USD
3,01/09/2023,Cash,$0.79,12/16/2022,01/10/2023,01/24/2023,USD
4,11/14/2022,Cash,$0.79,10/11/2022,11/15/2022,11/29/2022,USD
5,07/11/2022,Cash,$0.75,06/21/2022,07/12/2022,07/26/2022,USD
6,04/11/2022,Cash,$0.75,03/22/2022,04/12/2022,04/26/2022,USD
7,01/10/2022,Cash,$0.75,12/15/2021,01/11/2022,01/25/2022,USD
8,11/15/2021,Cash,$0.75,10/14/2021,11/16/2021,11/30/2021,USD
9,07/12/2021,Cash,$0.75,06/29/2021,07/13/2021,07/27/2021,USD
10,04/12/2021,Cash,$0.75,03/30/2021,04/13/2021,04/27/2021,USD
11,01/11/2021,Cash,$0.75,12/16/2020,01/12/2021,01/26/2021,USD
12,11/30/2020,Cash,$3.50,11/17/2020,12/01/2020,12/15/2020,USD
13,11/09/2020,Cash,$0.75,10/20/2020,11/10/2020,11/24/2020,USD
14,07/13/2020,Cash,$0.75,06/30/2020,07/14/2020,07/28/2020,USD
15,04/13/2020,Cash,$0.75,03/31/2020,04/14/2020,04/28/2020,USD
16,01/21/2020,Cash,$0.75,12/18/2019,01/22/2020,02/05/2020,USD
17,01/21/2020,Cash,$5.00,12/18/2019,01/22/2020,02/05/2020,USD
18,11/08/2019,Cash,$0.75,10/18/2019,11/12/2019,11/26/2019,USD
19,07/22/2019,Cash,$0.75,07/10/2019,07/23/2019,08/06/2019,USD
20,04/08/2019,Cash,$0.63,03/27/2019,04/09/2019,04/23/2019,USD
21,01/07/2019,Cash,$0.63,12/19/2018,01/08/2019,01/22/2019,USD
22,11/09/2018,Cash,$0.63,10/19/2018,11/13/2018,11/27/2018,USD
23,07/09/2018,Cash,$0.58,06/20/2018,07/10/2018,07/24/2018,USD
24,04/16/2018,Cash,$0.58,04/05/2018,04/17/2018,05/01/2018,USD
25,01/12/2018,Cash,$0.58,01/03/2018,01/16/2018,01/30/2018,USD
26,11/13/2017,Cash,$0.48,10/24/2017,11/14/2017,11/28/2017,USD
27,07/14/2017,Cash,$0.45,07/07/2017,07/18/2017,08/01/2017,USD
28,04/13/2017,Cash,$0.45,03/30/2017,04/18/2017,05/02/2017,USD
29,01/06/2017,Cash,$0.45,12/20/2016,01/10/2017,01/24/2017,USD
30,11/10/2016,Cash,$0.45,10/27/2016,11/15/2016,11/29/2016,USD
31,07/08/2016,Cash,$0.43,06/23/2016,07/12/2016,07/26/2016,USD
32,04/08/2016,Cash,$0.43,03/31/2016,04/12/2016,04/26/2016,USD
