,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/19/2023,Cash,$0.06,11/29/2023,12/20/2023,01/17/2024,USD
1,09/13/2023,Cash,$0.13,08/28/2023,09/14/2023,10/05/2023,USD
2,06/14/2023,Cash,$0.15,05/22/2023,06/15/2023,07/06/2023,USD
3,03/13/2023,Cash,$0.15,02/27/2023,03/14/2023,03/28/2023,USD
4,12/05/2022,Cash,$0.05,11/10/2022,12/06/2022,12/20/2022,USD
5,09/14/2022,Cash,$0.03,08/30/2022,09/15/2022,10/12/2022,USD
6,06/13/2022,Cash,$0.02,05/31/2022,06/14/2022,07/06/2022,USD
7,03/10/2022,Cash,$0.01,02/25/2022,03/11/2022,03/30/2022,USD
8,12/06/2021,Cash,$0.01,N/A,12/07/2021,12/21/2021,USD
9,09/23/2021,Cash,$0.01,08/30/2021,09/24/2021,10/14/2021,USD
10,06/03/2021,Cash,$0.02,05/25/2021,06/04/2021,06/18/2021,USD
11,03/11/2021,Cash,$0.02,02/26/2021,03/12/2021,03/31/2021,USD
12,12/01/2020,Cash,$0.04,11/16/2020,12/02/2020,12/15/2020,USD
13,08/27/2020,Cash,$0.20,05/20/2020,08/28/2020,09/04/2020,USD
14,05/22/2020,Cash,$0.14,03/18/2020,05/26/2020,06/05/2020,USD
15,02/28/2020,Cash,$0.07,02/18/2020,03/02/2020,03/16/2020,USD
16,12/04/2019,Cash,$0.02,11/26/2019,12/05/2019,12/18/2019,USD
17,08/29/2019,Cash,$0.01,08/19/2019,08/30/2019,09/20/2019,USD
18,05/24/2019,Cash,$0.03,05/15/2019,05/28/2019,06/12/2019,USD
19,02/28/2019,Cash,$0.04,02/20/2019,03/01/2019,03/15/2019,USD
20,11/20/2018,Cash,$0.10,11/02/2018,11/21/2018,12/07/2018,USD
21,08/21/2018,Cash,$0.02,07/25/2018,08/22/2018,09/07/2018,USD
22,05/23/2018,Cash,$0.01,04/27/2018,05/24/2018,06/12/2018,USD
23,02/20/2018,Cash,$0.03,01/26/2018,02/21/2018,03/09/2018,USD
24,11/10/2017,Cash,$0.03,10/19/2017,11/13/2017,12/05/2017,USD
25,08/10/2017,Cash,$0.10,07/21/2017,08/14/2017,08/31/2017,USD
26,05/18/2017,Cash,$0.20,04/19/2017,05/22/2017,06/08/2017,USD
27,02/08/2017,Cash,$0.20,01/23/2017,02/10/2017,02/24/2017,USD
28,08/15/2016,Cash,$0.25,07/28/2016,08/17/2016,08/31/2016,USD
29,05/10/2016,Cash,$0.43,04/25/2016,05/12/2016,05/27/2016,USD
30,01/25/2016,Cash,$0.43,01/13/2016,01/27/2016,02/10/2016,USD
31,10/27/2015,Cash,$0.38,10/14/2015,10/29/2015,11/12/2015,USD
32,07/27/2015,Cash,$0.40,07/15/2015,07/29/2015,08/12/2015,USD
33,05/05/2015,Cash,$0.38,04/14/2015,05/07/2015,05/21/2015,USD
34,01/20/2015,Cash,$0.22,01/09/2015,01/22/2015,02/09/2015,USD
35,10/20/2014,Cash,$0.14,10/07/2014,10/22/2014,11/05/2014,USD
36,07/23/2014,Cash,$0.13,07/11/2014,07/25/2014,08/11/2014,USD
37,05/13/2014,Cash,$0.23,04/02/2014,05/15/2014,05/27/2014,USD
38,02/18/2014,Cash,$0.12,01/27/2014,02/20/2014,03/03/2014,USD
39,11/26/2013,Cash,$0.16,10/16/2013,11/29/2013,12/11/2013,USD
40,11/18/2013,Cash,$0.16,10/16/2013,11/29/2013,12/11/2013,USD
41,07/29/2013,Cash,$0.16,07/09/2013,07/31/2013,08/13/2013,USD
42,04/26/2013,Cash,$0.16,04/16/2013,04/30/2013,05/14/2013,USD
43,01/28/2013,Cash,$0.16,01/17/2013,01/30/2013,02/13/2013,USD
44,11/27/2012,Cash,$0.30,11/15/2012,11/29/2012,12/12/2012,USD
45,05/16/2012,Cash,$0.30,05/07/2012,05/18/2012,06/01/2012,USD
46,02/21/2012,Cash,$0.30,02/13/2012,02/23/2012,03/02/2012,USD
47,11/21/2011,Cash,$0.30,11/07/2011,11/23/2011,12/02/2011,USD
48,08/17/2011,Cash,$0.30,08/08/2011,08/19/2011,08/31/2011,USD
49,05/16/2011,Cash,$0.30,05/09/2011,05/18/2011,06/01/2011,USD
50,02/22/2011,Cash,$0.25,02/14/2011,02/24/2011,03/04/2011,USD
51,11/18/2010,Cash,$0.25,11/08/2010,11/22/2010,12/03/2010,USD
52,08/18/2010,Cash,$0.60,08/06/2010,08/20/2010,09/02/2010,USD
53,05/17/2010,Cash,$0.60,05/10/2010,05/19/2010,06/01/2010,USD
54,02/19/2010,Cash,$0.25,02/12/2010,02/23/2010,03/05/2010,USD
55,11/19/2009,Cash,$0.10,11/09/2009,11/23/2009,12/04/2009,USD
56,08/19/2009,Cash,$0.50,08/07/2009,08/21/2009,09/04/2009,USD
57,05/18/2009,Cash,$0.88,05/05/2009,05/20/2009,06/03/2009,USD
58,02/23/2009,Cash,$0.87,02/13/2009,02/25/2009,03/09/2009,USD
59,11/19/2008,Cash,$1.61,11/07/2008,11/21/2008,12/02/2008,USD
60,08/19/2008,Cash,$1.60,08/08/2008,08/21/2008,09/02/2008,USD
61,05/21/2008,Cash,$1.18,05/05/2008,05/23/2008,06/03/2008,USD
62,05/15/2008,Cash,$1.00,N/A,05/19/2008,05/30/2008,USD
63,02/20/2008,Cash,$0.50,02/12/2008,02/22/2008,03/07/2008,USD
64,11/19/2007,Cash,$0.40,11/05/2007,11/21/2007,12/04/2007,USD
65,08/15/2007,Cash,$1.17,08/09/2007,08/17/2007,08/29/2007,USD
66,05/21/2007,Cash,$1.24,05/14/2007,05/23/2007,05/31/2007,USD
