,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/18/2023,Cash,$0.68,12/06/2023,12/19/2023,01/02/2024,USD
1,08/21/2023,Cash,$0.68,08/09/2023,08/22/2023,09/05/2023,USD
2,05/22/2023,Cash,$0.65,05/10/2023,05/23/2023,06/06/2023,USD
3,02/17/2023,Cash,$0.65,02/08/2023,02/21/2023,03/07/2023,USD
4,12/19/2022,Cash,$0.65,12/07/2022,12/20/2022,01/03/2023,USD
5,08/22/2022,Cash,$0.65,08/10/2022,08/23/2022,09/06/2022,USD
6,05/23/2022,Cash,$0.51,05/11/2022,05/24/2022,06/07/2022,USD
7,02/18/2022,Cash,$0.51,02/09/2022,02/22/2022,03/08/2022,USD
8,12/20/2021,Cash,$0.51,12/08/2021,12/21/2021,01/04/2022,USD
9,08/23/2021,Cash,$0.51,08/11/2021,08/24/2021,09/07/2021,USD
10,05/24/2021,Cash,$0.39,05/12/2021,05/25/2021,06/08/2021,USD
11,02/22/2021,Cash,$0.39,02/10/2021,02/23/2021,03/09/2021,USD
12,12/17/2020,Cash,$0.39,12/09/2020,12/18/2020,01/05/2021,USD
13,08/24/2020,Cash,$0.39,08/14/2020,08/25/2020,09/08/2020,USD
14,05/22/2020,Cash,$0.38,05/12/2020,05/26/2020,06/09/2020,USD
15,02/24/2020,Cash,$0.38,02/11/2020,02/25/2020,03/10/2020,USD
16,12/19/2019,Cash,$0.38,12/10/2019,12/20/2019,01/07/2020,USD
17,08/26/2019,Cash,$0.38,08/16/2019,08/27/2019,09/10/2019,USD
18,05/24/2019,Cash,$0.35,05/14/2019,05/28/2019,06/11/2019,USD
19,02/25/2019,Cash,$0.35,02/12/2019,02/26/2019,03/12/2019,USD
20,12/20/2018,Cash,$0.35,12/11/2018,12/21/2018,01/08/2019,USD
21,08/20/2018,Cash,$0.35,08/10/2018,08/21/2018,09/04/2018,USD
22,05/25/2018,Cash,$0.30,05/15/2018,05/29/2018,06/12/2018,USD
23,02/16/2018,Cash,$0.30,02/06/2018,02/20/2018,03/06/2018,USD
24,12/18/2017,Cash,$0.30,12/05/2017,12/19/2017,01/02/2018,USD
25,08/18/2017,Cash,$0.30,08/11/2017,08/22/2017,09/05/2017,USD
26,05/25/2017,Cash,$0.27,05/16/2017,05/30/2017,06/13/2017,USD
27,02/16/2017,Cash,$0.27,02/07/2017,02/21/2017,03/07/2017,USD
28,12/14/2016,Cash,$0.27,12/06/2016,12/16/2016,01/03/2017,USD
29,08/19/2016,Cash,$0.27,08/12/2016,08/23/2016,09/06/2016,USD
30,05/25/2016,Cash,$0.24,05/18/2016,05/27/2016,06/10/2016,USD
31,02/19/2016,Cash,$0.24,02/09/2016,02/23/2016,03/08/2016,USD
32,12/18/2015,Cash,$0.24,12/08/2015,12/22/2015,01/05/2016,USD
33,08/21/2015,Cash,$0.24,08/14/2015,08/25/2015,09/08/2015,USD
34,05/21/2015,Cash,$0.22,05/12/2015,05/26/2015,06/09/2015,USD
35,02/20/2015,Cash,$0.22,02/10/2015,02/24/2015,03/10/2015,USD
36,12/17/2014,Cash,$0.22,N/A,12/19/2014,01/06/2015,USD
37,08/22/2014,Cash,$0.22,08/15/2014,08/26/2014,09/09/2014,USD
38,05/22/2014,Cash,$0.18,05/13/2014,05/27/2014,06/10/2014,USD
39,02/21/2014,Cash,$0.18,02/11/2014,02/25/2014,03/11/2014,USD
40,12/18/2013,Cash,$0.18,12/10/2013,12/20/2013,01/07/2014,USD
41,08/23/2013,Cash,$0.18,08/16/2013,08/27/2013,09/10/2013,USD
42,02/22/2013,Cash,$0.15,02/12/2013,02/26/2013,03/12/2013,USD
43,06/04/2003,Cash,$0.15,N/A,06/04/2003,N/A,USD
44,02/19/2003,Cash,$0.15,N/A,02/19/2003,N/A,USD
45,12/11/2002,Cash,$0.15,N/A,12/11/2002,N/A,USD
46,08/28/2002,Cash,$0.15,N/A,08/28/2002,N/A,USD
47,06/05/2002,Cash,$0.14,N/A,06/05/2002,N/A,USD
48,02/20/2002,Cash,$0.14,N/A,02/20/2002,N/A,USD
49,12/12/2001,Cash,$0.14,N/A,12/12/2001,N/A,USD
50,08/29/2001,Cash,$0.14,N/A,08/29/2001,N/A,USD
51,06/04/2001,Cash,$0.14,N/A,06/04/2001,N/A,USD
52,02/21/2001,Cash,$0.14,N/A,02/21/2001,N/A,USD
53,12/13/2000,Cash,$0.14,N/A,12/13/2000,N/A,USD
54,08/23/2000,Cash,$0.26,N/A,08/23/2000,N/A,USD
55,05/31/2000,Cash,$0.26,N/A,05/31/2000,N/A,USD
56,03/01/2000,Cash,$0.26,N/A,03/01/2000,N/A,USD
57,12/15/1999,Cash,$0.26,N/A,12/15/1999,N/A,USD
58,09/01/1999,Cash,$0.24,N/A,09/01/1999,N/A,USD
59,06/02/1999,Cash,$0.24,N/A,06/02/1999,N/A,USD
60,03/03/1999,Cash,$0.24,N/A,03/03/1999,N/A,USD
61,12/09/1998,Cash,$0.24,N/A,12/09/1998,N/A,USD
62,09/02/1998,Cash,$0.22,N/A,09/02/1998,N/A,USD
63,06/03/1998,Cash,$0.22,N/A,06/03/1998,N/A,USD
64,03/04/1998,Cash,$0.22,N/A,03/04/1998,N/A,USD
65,12/10/1997,Cash,$0.22,N/A,12/10/1997,N/A,USD
66,09/03/1997,Cash,$0.20,N/A,09/03/1997,N/A,USD
67,06/04/1997,Cash,$0.20,N/A,06/04/1997,N/A,USD
68,03/05/1997,Cash,$0.20,N/A,03/05/1997,N/A,USD
69,12/03/1996,Cash,$0.20,N/A,12/03/1996,N/A,USD
70,08/28/1996,Cash,$0.18,N/A,08/28/1996,N/A,USD
71,05/29/1996,Cash,$0.18,N/A,05/29/1996,N/A,USD
72,02/28/1996,Cash,$0.18,N/A,02/28/1996,N/A,USD
73,11/29/1995,Cash,$0.18,N/A,11/29/1995,N/A,USD
74,08/31/1995,Cash,$0.16,N/A,08/31/1995,N/A,USD
75,05/26/1995,Cash,$0.16,N/A,05/26/1995,N/A,USD
76,02/27/1995,Cash,$0.16,N/A,02/27/1995,N/A,USD
77,11/28/1994,Cash,$0.16,N/A,11/28/1994,N/A,USD
78,08/29/1994,Cash,$0.14,N/A,08/29/1994,N/A,USD
